Year,Quarter,sj_div,account_nm,thstrm_dt,thstrm_amount
2022,Q1,BS,유동자산,2022.03.31 현재,"66,734,228,373"
2022,Q1,BS,비유동자산,2022.03.31 현재,"1,135,890,482,813"
2022,Q1,BS,자산총계,2022.03.31 현재,"1,202,624,711,186"
2022,Q1,BS,유동부채,2022.03.31 현재,"155,444,273,305"
2022,Q1,BS,비유동부채,2022.03.31 현재,"280,957,266,823"
2022,Q1,BS,부채총계,2022.03.31 현재,"436,401,540,128"
2022,Q1,BS,자본금,2022.03.31 현재,"13,707,635,000"
2022,Q1,BS,이익잉여금,2022.03.31 현재,"783,404,134,000"
2022,Q1,BS,자본총계,2022.03.31 현재,"766,223,171,058"
2022,Q1,IS,매출액,2022.01.01 ~ 2022.03.31,71295343477
2022,Q1,IS,영업이익,2022.01.01 ~ 2022.03.31,9670380604
2022,Q1,IS,법인세차감전 순이익,2022.01.01 ~ 2022.03.31,5689538582
2022,Q1,IS,당기순이익,2022.01.01 ~ 2022.03.31,4385607792
2022,Q1,IS,당기순이익(손실),2022.01.01 ~ 2022.03.31,4385607792
2022,Q2,BS,유동자산,2022.06.30 현재,"75,492,808,724"
2022,Q2,BS,비유동자산,2022.06.30 현재,"1,126,424,517,885"
2022,Q2,BS,자산총계,2022.06.30 현재,"1,201,917,326,609"
2022,Q2,BS,유동부채,2022.06.30 현재,"162,446,597,261"
2022,Q2,BS,비유동부채,2022.06.30 현재,"273,191,470,799"
2022,Q2,BS,부채총계,2022.06.30 현재,"435,638,068,060"
2022,Q2,BS,자본금,2022.06.30 현재,"13,707,635,000"
2022,Q2,BS,이익잉여금,2022.06.30 현재,"783,461,761,124"
2022,Q2,BS,자본총계,2022.06.30 현재,"766,279,258,549"
2022,Q2,IS,매출액,2022.01.01 ~ 2022.06.30,67146620500
2022,Q2,IS,영업이익,2022.01.01 ~ 2022.06.30,4151403278
2022,Q2,IS,법인세차감전 순이익,2022.01.01 ~ 2022.06.30,-92706689
2022,Q2,IS,당기순이익,2022.01.01 ~ 2022.06.30,57627124
2022,Q2,IS,당기순이익(손실),2022.01.01 ~ 2022.06.30,57627124
2022,Q3,BS,유동자산,2022.09.30 현재,"44,179,010,822"
2022,Q3,BS,비유동자산,2022.09.30 현재,"1,122,511,426,565"
2022,Q3,BS,자산총계,2022.09.30 현재,"1,166,690,437,387"
2022,Q3,BS,유동부채,2022.09.30 현재,"91,215,276,127"
2022,Q3,BS,비유동부채,2022.09.30 현재,"302,633,151,230"
2022,Q3,BS,부채총계,2022.09.30 현재,"393,848,427,357"
2022,Q3,BS,자본금,2022.09.30 현재,"13,707,635,000"
2022,Q3,BS,이익잉여금,2022.09.30 현재,"790,026,390,608"
2022,Q3,BS,자본총계,2022.09.30 현재,"772,842,010,030"
2022,Q3,IS,매출액,2022.01.01 ~ 2022.09.30,61934712945
2022,Q3,IS,영업이익,2022.01.01 ~ 2022.09.30,7799588723
2022,Q3,IS,법인세차감전 순이익,2022.01.01 ~ 2022.09.30,8927549456
2022,Q3,IS,당기순이익,2022.01.01 ~ 2022.09.30,6564629484
2022,Q3,IS,당기순이익(손실),2022.01.01 ~ 2022.09.30,6564629484
2022,Q4,BS,유동자산,2022.12.31 현재,"51,942,911,435"
2022,Q4,BS,비유동자산,2022.12.31 현재,"1,088,278,742,949"
2022,Q4,BS,자산총계,2022.12.31 현재,"1,140,221,654,384"
2022,Q4,BS,유동부채,2022.12.31 현재,"89,633,812,796"
2022,Q4,BS,비유동부채,2022.12.31 현재,"291,401,412,837"
2022,Q4,BS,부채총계,2022.12.31 현재,"381,035,225,633"
2022,Q4,BS,자본금,2022.12.31 현재,"13,707,635,000"
2022,Q4,BS,이익잉여금,2022.12.31 현재,"776,448,737,155"
2022,Q4,BS,자본총계,2022.12.31 현재,"759,186,428,751"
2022,Q4,IS,매출액,2022.01.01 ~ 2022.12.31,69403800610
2022,Q4,IS,영업이익,2022.01.01 ~ 2022.12.31,15275854339
2022,Q4,IS,법인세차감전 순이익,2022.01.01 ~ 2022.12.31,-19412812596
2022,Q4,IS,당기순이익,2022.01.01 ~ 2022.12.31,-13577653453
2022,Q4,IS,당기순이익(손실),2022.01.01 ~ 2022.12.31,-13577653453
