,name,year,quarter,sector,Relative Return,매출액 변화율,실업률 변화율,국제유가 변화율,이익잉여금 변화율,차입부채 변화율,유동부채 변화율,비유동부채 변화율,특정 증권 등 소유 수 변화율,총포괄손익 변화율,Label,Code
7,Hanwha_Corp,2022,Q4,에너지_화학,0.0308205276457557,-1.0237581106037599,-0.023809523809523725,0.12070563315019511,-0.15450970115248253,-4.19881652690236e-05,-0.4039553957249431,-0.49053800607483966,0.08272493707925532,0.08272493707925521,0.009056768558951885,000880
7,Korea_Shell_Petroleum,2022,Q4,에너지_화학,0.09474644483344002,-0.1354203233313902,-0.023809523809523725,0.12070563315019511,-0.05673820537103991,-1.4883724708870152e-07,-0.13438446461542464,0.6200809399011091,0.0,0.08414532772487882,-0.06968156815504406,002960
7,Taekwang_Industrial,2022,Q4,에너지_화학,-0.13026489303504069,0.04617889330012803,-0.023809523809523725,0.12070563315019511,0.02908236597900582,-0.0011498863135754706,0.2521861674603889,0.0523571566354083,0.08410135322263101,0.08410135322263113,0.05335805980715848,003240
7,Samsung_Fine Chemicals,2022,Q4,에너지_화학,-0.05705126970002132,0.21088241301150235,-0.023809523809523725,0.12070563315019511,0.03700585211190055,1.3923201058909078e-05,-0.34584216510694876,0.0903962733636191,0.08412168662222508,0.08412168662222519,-0.015176446988751294,004000
7,Hyosung,2022,Q4,에너지_화학,-0.053535440344627774,0.18812587739994435,-0.023809523809523725,0.12070563315019511,-0.0015024193889194848,-1.8697116503268554e-05,0.17126019977621942,0.17066816187182254,0.08403667721147867,0.08401412638479511,-0.059721801414566136,004800
7,SK_Chemicals,2022,Q4,에너지_화학,-0.05010432784557377,0.48963686217445435,-0.023809523809523725,0.12070563315019511,-0.028349155874551446,1.536636556686229e-05,-0.0046183805895059216,-0.08606886628551025,0.0,0.08412142471730577,-0.015287602301975267,006120
8,Korea_Petrochemical_Ind,2022,Q4,에너지_화학,-0.06991258951200548,0.23207160483950906,-0.023809523809523725,0.12070563315019511,0.052334205675730106,-1.6140714687619816e-05,-0.21864766850192807,0.3822129248219064,0.0841310683918004,0.0841310683918004,0.6242050939178035,006650
8,Kukdo_Chemical,2022,Q4,에너지_화학,-0.04837600414615183,0.1336868750046033,-0.023809523809523725,0.12070563315019511,0.004696169466216205,1.184947745181793e-05,0.3072815277905915,-0.02609377367734611,0.08414795098220562,0.08414795098220562,-0.03531292145252917,007690
7,Hanwha_Solutions,2022,Q4,에너지_화학,0.31461916574059035,0.02745942327164863,-0.023809523809523725,0.12070563315019511,-0.02623867523466572,3.532231905859709e-06,0.047899644162988086,-0.039082278443004936,0.08235531731994883,0.07562623748892217,-0.12296066215977364,009830
7,OCI,2022,Q4,에너지_화학,-0.2859413982752968,0.03704621643819095,-0.023809523809523725,0.12070563315019511,-0.02052802869871173,-5.139913627762625e-06,-0.02954896709685806,0.0621663206289923,0.08407331330787182,0.08407331330787193,-0.1546163132713171,010060
7,S-Oil,2022,Q4,에너지_화학,-0.12113210170712742,0.04753200446676309,-0.023809523809523725,0.12070563315019511,-0.03580663326459543,-8.083450658783801e-05,0.1712812281387457,-0.014333491430561951,0.08383730351784113,0.08383730351784113,-0.03229151951660891,010950
7,Lotte_Chemical,2022,Q4,에너지_화학,-0.12233255990113363,0.08721149474106615,-0.023809523809523725,0.12070563315019511,0.04693939626215937,6.25449968496553e-05,-0.15080331442142203,0.050627385226812316,0.08281216558280846,0.08281216558280857,0.2754767435070017,011170
7,Kumho_Petrochemical,2022,Q4,에너지_화학,-0.08931194720665005,0.12929583551260315,-0.023809523809523725,0.12070563315019511,-0.03449124636111578,9.245537645355945e-06,0.06839958273436042,-0.13741781761947336,0.08404599373433486,0.08404599373433486,0.05997984548202881,011780
7,SKC,2022,Q4,에너지_화학,-0.2852566011610772,66.03612322443155,-0.023809523809523725,0.12070563315019511,0.046906831819401806,-2.9954848999283933e-05,0.3474085154769069,-0.09523960303129586,0.08416414656306082,0.08416414656306082,0.031634967611084586,011790
8,Hansol_Chemical,2022,Q4,에너지_화학,-0.07393758050083162,-0.060270993315138854,-0.023809523809523725,0.12070563315019511,-0.03704016883045136,8.310838497843604e-06,-0.08850671728755533,0.03904408689811123,0.08414050751373747,0.08414050751373725,0.0584190873995316,014680
7,Dongwon_Systems,2022,Q4,에너지_화학,-0.07864873141887908,0.14930358451879067,-0.023809523809523725,0.12070563315019511,-0.0006191255625076497,1.36175528834265e-05,-0.002801489005951563,0.011778815904124995,0.08413896466409931,0.08413896466409942,-0.13241164102710476,014820
7,UNID,2022,Q4,에너지_화학,-0.045190387172995464,0.9017439374540251,-0.023809523809523725,0.12070563315019511,-0.012986610290667278,0.08415021974044978,0.10709326273706954,0.1466813200796644,0.0841502197404499,0.08415021974044978,-0.19132680836841617,014830
7,Namhae_Chemical,2022,Q4,에너지_화학,-0.088553181323329,0.08350777754073846,-0.023809523809523725,0.12070563315019511,0.05717457640830792,3.8813041102965726e-05,0.41307287582366625,0.157614910586797,0.0,0.08415286168497649,-0.0038479933458100187,025860
7,LG_Chem,2022,Q4,에너지_화학,0.1273836857763288,0.24059787801904509,-0.023809523809523725,0.12070563315019511,0.02888940553656505,3.82071139449628e-05,-0.0787253346598411,0.04394503162930108,0.08203866640388202,0.08808446233982181,0.08195786746005078,051910
7,Huchems,2022,Q4,에너지_화학,0.024267560210283826,0.14276615333731257,-0.023809523809523725,0.12070563315019511,-0.010198740755337887,1.1641030516840424e-05,0.059586599635388704,0.07966031248492333,0.08414188458687899,0.08414188458687888,0.03292553496315136,069260
7,GS_Holdings,2022,Q4,에너지_화학,0.0674972352904679,-0.007011393514460895,-0.023809523809523725,0.12070563315019511,-0.0038758624408496978,4.4270258769585774e-06,-0.008659360705352226,0.04222898007283726,0.08388826408046646,0.08388826408046657,0.012433971849198654,078930
7,Huvepharma,2022,Q4,에너지_화학,-0.08394919366849389,0.13573090326039272,-0.023809523809523725,0.12070563315019511,0.13065627309852867,-1.3393767870955714e-05,0.24009986279030793,-0.13212378435006755,0.08414641272414836,0.08414641272414836,-0.13517427837245605,079980
7,Huvis,2022,Q4,에너지_화학,-0.2456106011662289,0.0015294321205737704,-0.023809523809523725,0.12070563315019511,-0.051212345105674295,2.129707120829881e-06,-0.17324942179494363,0.05895512027482419,0.08414359708981345,0.08414359708981345,-0.13254918946406774,093370
7,SK_Innovation,2022,Q4,에너지_화학,-0.16202612674069822,0.08021279078020394,-0.023809523809523725,0.12070563315019511,-0.004592389365216887,3.061507257379714e-05,-0.3485921210865115,-0.028580344066869268,0.08154072984121352,0.08154072984121341,0.023599536234609742,096770
7,Kolon_Industries,2022,Q4,에너지_화학,-0.1147658346546264,-0.11962567766074805,-0.023809523809523725,0.12070563315019511,0.05193834150057042,1.9085159733997426e-05,0.01210024926419817,0.037162840470148395,0.08406764904006625,0.08406764904006625,-0.0577357722335889,120110
