접수번호,법인구분,회사코드,회사명,구분,발행할 주식 총수,현재까지 발행한 주식 총수,현재까지 감소한 주식의 총수,주식 수 감소,이익 소각,상환주식의 상환,기타,발행주식의 총수,자기주식수,유통주식수,결제일시,연도,분기
20160527000289,Y,00114792,동국홀딩스,보통주,-,"110,415,252","15,056,710",-,"15,056,710",-,-,"95,358,542","1,962,520","93,396,022",2015-12-31,2015,Q4
20160527000289,Y,00114792,동국홀딩스,우선주,-,"7,356,160","7,356,160",-,"7,356,160",-,-,-,-,-,2015-12-31,2015,Q4
20160527000289,Y,00114792,동국홀딩스,합계,"200,000,000","117,771,412","22,412,870",-,"22,412,870",-,-,"95,358,542","1,962,520","93,396,022",2015-12-31,2015,Q4
20160527000289,Y,00114792,동국홀딩스,비고,-,-,-,-,-,-,-,-,-,-,2015-12-31,2015,Q4
20170330001711,Y,00114792,동국홀딩스,보통주,-,"110,476,887","15,056,710",-,"15,056,710",-,-,"95,420,177","2,062,520","93,357,657",2016-12-31,2016,Q4
20170330001711,Y,00114792,동국홀딩스,우선주,-,"7,356,160","7,356,160",-,"7,356,160",-,-,-,-,-,2016-12-31,2016,Q4
20170330001711,Y,00114792,동국홀딩스,합계,"200,000,000","117,833,047","22,412,870",-,"22,412,870",-,-,"95,420,177","2,062,520","93,357,657",2016-12-31,2016,Q4
20170330001711,Y,00114792,동국홀딩스,비고,-,-,-,-,-,-,-,-,-,-,2016-12-31,2016,Q4
20180402003694,Y,00114792,동국홀딩스,보통주,-,"110,489,447","15,056,710",-,"15,056,710",-,-,"95,432,737","2,062,520","93,370,217",2017-12-31,2017,Q4
20180402003694,Y,00114792,동국홀딩스,우선주,-,"7,356,160","7,356,160",-,"7,356,160",-,-,-,-,-,2017-12-31,2017,Q4
20180402003694,Y,00114792,동국홀딩스,합계,"200,000,000","117,845,607","22,412,870",-,"22,412,870",-,-,"95,432,737","2,062,520","93,370,217",2017-12-31,2017,Q4
20180402003694,Y,00114792,동국홀딩스,비고,-,-,-,-,-,-,-,-,-,-,2017-12-31,2017,Q4
20190401004833,Y,00114792,동국홀딩스,보통주,-,"110,489,447","15,056,710",-,"15,056,710",-,-,"95,432,737","907,520","94,525,217",2018-12-31,2018,Q4
20190401004833,Y,00114792,동국홀딩스,우선주,-,"7,356,160","7,356,160",-,"7,356,160",-,-,-,-,-,2018-12-31,2018,Q4
20190401004833,Y,00114792,동국홀딩스,합계,"200,000,000","117,845,607","22,412,870",-,"22,412,870",-,-,"95,432,737","907,520","94,525,217",2018-12-31,2018,Q4
20190401004833,Y,00114792,동국홀딩스,비고,-,-,-,-,-,-,-,-,-,-,2018-12-31,2018,Q4
20200619000383,Y,00114792,동국홀딩스,보통주,-,"110,489,447","15,056,710",-,"15,056,710",-,-,"95,432,737","907,520","94,525,217",2019-12-31,2019,Q4
20200619000383,Y,00114792,동국홀딩스,우선주,-,"7,356,160","7,356,160",-,"7,356,160",-,-,-,-,-,2019-12-31,2019,Q4
20200619000383,Y,00114792,동국홀딩스,합계,"200,000,000","117,845,607","22,412,870",-,"22,412,870",-,-,"95,432,737","907,520","94,525,217",2019-12-31,2019,Q4
20200619000383,Y,00114792,동국홀딩스,비고,-,-,-,-,-,-,-,-,-,-,2019-12-31,2019,Q4
