접수번호,법인구분,회사코드,회사명,주식종류,이름,관계,기초 소유 주식 수,기초 소유주식 지분율,기말 소유주식 수,기말 소유주식 지분율,비고,결제일시,연도,분기
20160330003977,Y,00126371,삼성전기,의결권 있는 주식,삼성전자, 본 인 ,"17,693,084",23.69,"17,693,084",23.69,-,2015-12-31,2015,Q4
20160330003977,Y,00126371,삼성전기,의결권 있는 주식,이윤태,특수관계인,0,0.00,"5,000",0.01,장내매수,2015-12-31,2015,Q4
20160330003977,Y,00126371,삼성전기,의결권 있는 주식,홍완훈,특수관계인,0,0.00,"6,000",0.01,장내매수,2015-12-31,2015,Q4
20160330003977,Y,00126371,삼성전기,의결권 있는 주식,권영노,특수관계인,"3,000",0.00,"4,000",0.01,장내매수,2015-12-31,2015,Q4
20160330003977,Y,00126371,삼성전기,의결권 있는 주식,이승재,특수관계인,"5,000",0.01,"6,000",0.01,장내매수,2015-12-31,2015,Q4
20160330003977,Y,00126371,삼성전기,의결권 있는 주식,권태균,특수관계인,600,0.00,600,0.00,-,2015-12-31,2015,Q4
20160330003977,Y,00126371,삼성전기,의결권 있는 주식,"삼성생명보험
(특별계정)",특수관계인,"87,524",0.12,"96,535",0.13,장내매수,2015-12-31,2015,Q4
20160330003977,Y,00126371,삼성전기,의결권 있는 주식,계,,"17,790,208",23.82,"17,811,219",23.85,-,2015-12-31,2015,Q4
20160330003977,Y,00126371,삼성전기,의결권 없는 주식,계,,-,-,-,-,-,2015-12-31,2015,Q4
20170331004394,Y,00126371,삼성전기,의결권 있는 주식,삼성전자,본 인 ,"17,693,084",23.69,"17,693,084",23.69,-,2016-12-31,2016,Q4
20170331004394,Y,00126371,삼성전기,의결권 있는 주식,이윤태,특수관계인,"5,000",0.01,"5,000",0.01,-,2016-12-31,2016,Q4
20170331004394,Y,00126371,삼성전기,의결권 있는 주식,홍완훈,특수관계인,"6,000",0.01,"6,000",0.01,-,2016-12-31,2016,Q4
20170331004394,Y,00126371,삼성전기,의결권 있는 주식,권영노,특수관계인,"4,000",0.01,0,0.00,임원퇴임,2016-12-31,2016,Q4
20170331004394,Y,00126371,삼성전기,의결권 있는 주식,이승재,특수관계인,"6,000",0.01,"7,500",0.01,장내매수,2016-12-31,2016,Q4
20170331004394,Y,00126371,삼성전기,의결권 있는 주식,권태균,특수관계인,600,0.00,600,0.00,-,2016-12-31,2016,Q4
20170331004394,Y,00126371,삼성전기,의결권 있는 주식,"삼성생명보험
(특별계정)",특수관계인,"96,535",0.13,"50,064",0.07,장내매수/매도,2016-12-31,2016,Q4
20170331004394,Y,00126371,삼성전기,의결권 있는 주식,계,,"17,811,219",23.85,"17,762,248",23.78,-,2016-12-31,2016,Q4
20170331004394,Y,00126371,삼성전기,의결권 없는 주식,계,,-,-,-,-,-,2016-12-31,2016,Q4
20180814001230,Y,00126371,삼성전기,보통주,삼성전자,본 인 ,"17,693,084",23.69,"17,693,084",23.69,-,2017-12-31,2017,Q4
20180814001230,Y,00126371,삼성전기,보통주,이윤태,특수관계인,"5,000",0.01,"5,000",0.01,-,2017-12-31,2017,Q4
20180814001230,Y,00126371,삼성전기,보통주,홍완훈,특수관계인,"6,000",0.01,"6,000",0.01,-,2017-12-31,2017,Q4
20180814001230,Y,00126371,삼성전기,보통주,이승재,특수관계인,"7,500",0.01,"4,000",0.01,장내매도,2017-12-31,2017,Q4
20180814001230,Y,00126371,삼성전기,보통주,권태균,특수관계인,600,0.00,500,0.00,장내매도,2017-12-31,2017,Q4
20180814001230,Y,00126371,삼성전기,보통주,삼성생명보험(특별계정),특수관계인,"50,064",0.07,"217,061",0.29,장내매매,2017-12-31,2017,Q4
20180814001230,Y,00126371,삼성전기,우선주,삼성생명보험(특별계정),특수관계인,0,0.00,"9,090",0.31,장내매매,2017-12-31,2017,Q4
20180814001230,Y,00126371,삼성전기,보통주,계,,"17,762,248",23.78,"17,925,645",24.00,-,2017-12-31,2017,Q4
20180814001230,Y,00126371,삼성전기,우선주,계,,0,0.00,"9,090",0.31,-,2017-12-31,2017,Q4
20190401003500,Y,00126371,삼성전기,보통주,삼성전자,최대주주 본인 ,"17,693,084",23.69,"17,693,084",23.69,-,2018-12-31,2018,Q4
20190401003500,Y,00126371,삼성전기,보통주,이윤태,"최대주주 계열회사의 임원
(발행회사의 임원/대표이사)","5,000",0.01,"5,000",0.01,-,2018-12-31,2018,Q4
20190401003500,Y,00126371,삼성전기,보통주,허강헌,"최대주주 계열회사의 임원
(발행회사의 임원)","2,000",0.00,"2,000",0.00,-,2018-12-31,2018,Q4
20190401003500,Y,00126371,삼성전기,보통주,이병준,"최대주주 계열회사의 임원
(발행회사의 임원)",300,0.00,300,0.00,-,2018-12-31,2018,Q4
20190401003500,Y,00126371,삼성전기,보통주,권태균,"최대주주 계열회사의 사외이사
(발행회사의 사외이사)",500,0.00,500,0.00,-,2018-12-31,2018,Q4
20190401003500,Y,00126371,삼성전기,보통주,삼성생명보험(특별계정),최대주주 계열회사,"217,061",0.29,"166,731",0.22,장내매매,2018-12-31,2018,Q4
20190401003500,Y,00126371,삼성전기,우선주,삼성생명보험(특별계정),최대주주 계열회사,"9,090",0.31,"19,231",0.66,장내매매,2018-12-31,2018,Q4
20190401003500,Y,00126371,삼성전기,보통주,계,,"17,917,945",23.99,"17,867,615",23.92,-,2018-12-31,2018,Q4
20190401003500,Y,00126371,삼성전기,우선주,계,,"9,090",0.31,"19,231",0.66,-,2018-12-31,2018,Q4
20200330003915,Y,00126371,삼성전기,보통주,삼성전자,최대주주 본인,"17,693,084",23.69,"17,693,084",23.69,-,2019-12-31,2019,Q4
20200330003915,Y,00126371,삼성전기,보통주,이윤태,"최대주주 계열회사의 임원
(발행회사의 임원/대표이사)","5,000",0.01,"7,500",0.01,-,2019-12-31,2019,Q4
20200330003915,Y,00126371,삼성전기,보통주,허강헌,"최대주주 계열회사의 임원
(발행회사의 임원)","2,000",0.00,"2,000",0.00,-,2019-12-31,2019,Q4
20200330003915,Y,00126371,삼성전기,보통주,이병준,"최대주주 계열회사의 임원
(발행회사의 임원)",300,0.00,300,0.00,-,2019-12-31,2019,Q4
20200330003915,Y,00126371,삼성전기,보통주,권태균,"최대주주 계열회사의 사외이사
(발행회사의 사외이사)",500,0.00,500,0.00,-,2019-12-31,2019,Q4
20200330003915,Y,00126371,삼성전기,보통주,삼성생명보험(특별계정),최대주주 계열회사,"166,731",0.22,"157,972",0.21,장내매매,2019-12-31,2019,Q4
20200330003915,Y,00126371,삼성전기,우선주,삼성생명보험(특별계정),최대주주 계열회사,"19,231",0.66,"23,582",0.81,장내매매,2019-12-31,2019,Q4
20200330003915,Y,00126371,삼성전기,보통주,계,,"17,867,615",23.92,"17,861,356",23.91,-,2019-12-31,2019,Q4
20200330003915,Y,00126371,삼성전기,우선주,계,,"19,231",0.66,"23,582",0.81,-,2019-12-31,2019,Q4
20210309000338,Y,00126371,삼성전기,보통주,삼성전자,최대주주 본인,"17,693,084",23.69,"17,693,084",23.69,-,2020-12-31,2020,Q4
20210309000338,Y,00126371,삼성전기,보통주,경계현,"최대주주 계열회사의 임원
(발행회사의 임원)",0,0.00,"5,000",0.01,장내매매,2020-12-31,2020,Q4
20210309000338,Y,00126371,삼성전기,보통주,허강헌,"최대주주 계열회사의 임원
(발행회사의 임원)","2,000",0.00,"2,000",0.00,-,2020-12-31,2020,Q4
20210309000338,Y,00126371,삼성전기,보통주,강봉용,"최대주주 계열회사의 임원
(발행회사의 임원)","1,000",0.00,"1,000",0.00,-,2020-12-31,2020,Q4
20210309000338,Y,00126371,삼성전기,보통주,여윤경,"최대주주 계열회사의 사외이사
(발행회사의 사외이사)",50,0.00,50,0.00,-,2020-12-31,2020,Q4
20210309000338,Y,00126371,삼성전기,보통주,삼성생명보험(특별계정),최대주주 계열회사,"157,972",0.21,"173,602",0.23,장내매매,2020-12-31,2020,Q4
20210309000338,Y,00126371,삼성전기,우선주,삼성생명보험(특별계정),최대주주 계열회사,"23,582",0.81,"29,336",1.01,장내매매,2020-12-31,2020,Q4
20210309000338,Y,00126371,삼성전기,보통주,계,,"17,854,106",23.90,"17,874,736",23.93,-,2020-12-31,2020,Q4
20210309000338,Y,00126371,삼성전기,우선주,계,,"23,582",0.81,"29,336",1.01,-,2020-12-31,2020,Q4
20220308000667,Y,00126371,삼성전기,보통주,삼성전자,최대주주 본인,"17,693,084",23.69,"17,693,084",23.69,-,2021-12-31,2021,Q4
20220308000667,Y,00126371,삼성전기,보통주,경계현,"계열회사의 임원
(발행회사의 임원/대표이사)
겸 최대주주의 미등기임원","5,000",0.01,"6,000",0.01,장내매매,2021-12-31,2021,Q4
20220308000667,Y,00126371,삼성전기,보통주,허강헌,계열회사 임원,"2,000",0.00,0,0.00,임원퇴임,2021-12-31,2021,Q4
20220308000667,Y,00126371,삼성전기,보통주,강봉용,계열회사 임원,"1,000",0.00,"2,200",0.00,장내매매,2021-12-31,2021,Q4
20220308000667,Y,00126371,삼성전기,보통주,김두영,계열회사 임원,0,0.00,"1,000",0.00,임원선임,2021-12-31,2021,Q4
20220308000667,Y,00126371,삼성전기,보통주,여윤경,계열회사 임원,50,0.00,50,0.00,-,2021-12-31,2021,Q4
20220308000667,Y,00126371,삼성전기,보통주,삼성생명보험(특별계정),계열회사,"173,602",0.23,"122,552",0.16,장내매매,2021-12-31,2021,Q4
20220308000667,Y,00126371,삼성전기,우선주,삼성생명보험(특별계정),계열회사,"29,336",1.01,"7,294",0.25,장내매매,2021-12-31,2021,Q4
20220308000667,Y,00126371,삼성전기,보통주,계,,"17,874,736",23.93,"17,824,886",23.86,-,2021-12-31,2021,Q4
20220308000667,Y,00126371,삼성전기,우선주,계,,"29,336",1.01,"7,294",0.25,-,2021-12-31,2021,Q4
20230307000653,Y,00126371,삼성전기,보통주,삼성전자,최대주주 본인,"17,693,084",23.69,"17,693,084",23.69,-,2022-12-31,2022,Q4
20230307000653,Y,00126371,삼성전기,보통주,장덕현,계열회사 임원,0,0.00,"2,000",0.00,임원선임,2022-12-31,2022,Q4
20230307000653,Y,00126371,삼성전기,보통주,김두영,계열회사 임원,"1,000",0.00,"1,000",0.00,-,2022-12-31,2022,Q4
20230307000653,Y,00126371,삼성전기,보통주,김성진,계열회사 임원,0,0.00,"1,000",0.00,임원선임,2022-12-31,2022,Q4
20230307000653,Y,00126371,삼성전기,보통주,여윤경,계열회사 임원,50,0.00,50,0.00,-,2022-12-31,2022,Q4
20230307000653,Y,00126371,삼성전기,보통주,삼성생명보험(특별계정),계열회사,"122,552",0.16,"114,838",0.15,장내매매,2022-12-31,2022,Q4
20230307000653,Y,00126371,삼성전기,우선주,삼성생명보험(특별계정),계열회사,"7,294",0.25,"5,920",0.20,장내매매,2022-12-31,2022,Q4
20230307000653,Y,00126371,삼성전기,보통주,계,,"17,816,686",23.85,"17,811,972",23.85,-,2022-12-31,2022,Q4
20230307000653,Y,00126371,삼성전기,우선주,계,,"7,294",0.25,"5,920",0.20,-,2022-12-31,2022,Q4
20240329002895,Y,00126371,삼성전기,보통주,삼성전자,최대주주 본인,"17,693,084",23.69,"17,693,084",23.69,-,2023-12-31,2023,Q4
20240329002895,Y,00126371,삼성전기,보통주,장덕현,계열회사 임원,"2,000",0.00,"4,000",0.01,장내매수,2023-12-31,2023,Q4
20240329002895,Y,00126371,삼성전기,보통주,김두영,계열회사 임원,"1,000",0.00,"1,000",0.00,-,2023-12-31,2023,Q4
20240329002895,Y,00126371,삼성전기,보통주,김성진,계열회사 임원,"1,000",0.00,"1,000",0.00,-,2023-12-31,2023,Q4
20240329002895,Y,00126371,삼성전기,보통주,여윤경,계열회사 임원,50,0.00,50,0.00,-,2023-12-31,2023,Q4
20240329002895,Y,00126371,삼성전기,보통주,삼성생명보험(특별계정),계열회사,"114,838",0.15,"132,939",0.18,장내매매,2023-12-31,2023,Q4
20240329002895,Y,00126371,삼성전기,우선주,삼성생명보험(특별계정),계열회사,"5,920",0.20,"2,058",0.07,장내매매,2023-12-31,2023,Q4
20240329002895,Y,00126371,삼성전기,보통주,계,,"17,811,972",23.85,"17,832,073",23.87,-,2023-12-31,2023,Q4
20240329002895,Y,00126371,삼성전기,우선주,계,,"5,920",0.20,"2,058",0.07,-,2023-12-31,2023,Q4
20250311001190,Y,00126371,삼성전기,보통주,삼성전자,최대주주 본인,"17,693,084",23.69,"17,693,084",23.69,-,2024-12-31,2024,Q4
20250311001190,Y,00126371,삼성전기,보통주,장덕현,계열회사 임원,"4,000",0.01,"4,000",0.01,-,2024-12-31,2024,Q4
20250311001190,Y,00126371,삼성전기,보통주,김두영,계열회사 임원,"1,000",0.00,0,0.00,임원퇴임,2024-12-31,2024,Q4
20250311001190,Y,00126371,삼성전기,보통주,김성진,계열회사 임원,"1,000",0.00,"1,000",0.00,-,2024-12-31,2024,Q4
20250311001190,Y,00126371,삼성전기,보통주,최재열,계열회사 임원,0,0.00,199,0.00,임원선임,2024-12-31,2024,Q4
20250311001190,Y,00126371,삼성전기,보통주,여윤경,계열회사 임원,50,0.00,50,0.00,-,2024-12-31,2024,Q4
20250311001190,Y,00126371,삼성전기,보통주,삼성생명보험(특별계정),계열회사,"132,939",0.18,"107,778",0.14,장내매매,2024-12-31,2024,Q4
20250311001190,Y,00126371,삼성전기,우선주,삼성생명보험(특별계정),계열회사,"2,058",0.07,0,0.00,장내매매,2024-12-31,2024,Q4
20250311001190,Y,00126371,삼성전기,보통주,계,,"17,832,073",23.87,"17,806,111",23.84,-,2024-12-31,2024,Q4
20250311001190,Y,00126371,삼성전기,우선주,계,,"2,058",0.07,0,0.00,-,2024-12-31,2024,Q4
