접수번호,법인구분,회사코드,회사명,변동일,최대주주명,보유 주식 수,보유 지분율,변동원인,비고,결제일시,연도,분기
20160513004792,Y,00260408,팜스코,2008년 10월 10일,농수산홈쇼핑외,"20,692,662",67.76%,-,대상홀딩스에서 농수산홈쇼핑으로 최대주주변경,2015-12-31,2015,Q4
20160513004792,Y,00260408,팜스코,2011년 02월 28일,(주)농수산홀딩스외,"26,427,186",83.48%,-,농수산홈쇼핑에서 (주)농수산홀딩스로 최대주주변경,2015-12-31,2015,Q4
20160513004792,Y,00260408,팜스코,2012년 10월 15일,(주)농수산홀딩스외,"20,763,679",56.53%,-,보고의무면제로 인한 자사주 제외,2015-12-31,2015,Q4
20160513004792,Y,00260408,팜스코,2012년 12월 31일,제일홀딩스(주)외,"20,763,679",56.34%,-,(주)농수산홀딩스와 제일홀딩스(주)의 합병,2015-12-31,2015,Q4
20170331003306,Y,00260408,팜스코,2008년 10월 10일,농수산홈쇼핑외,"20,692,662",67.76%,-,대상홀딩스에서 농수산홈쇼핑으로 최대주주변경,2016-12-31,2016,Q4
20170331003306,Y,00260408,팜스코,2011년 02월 28일,(주)농수산홀딩스외,"26,427,186",83.48%,-,농수산홈쇼핑에서 (주)농수산홀딩스로 최대주주변경,2016-12-31,2016,Q4
20170331003306,Y,00260408,팜스코,2012년 10월 15일,(주)농수산홀딩스외,"20,763,679",56.53%,-,보고의무면제로 인한 자사주 제외,2016-12-31,2016,Q4
20170331003306,Y,00260408,팜스코,2012년 12월 31일,제일홀딩스(주)외,"20,763,679",56.34%,-,(주)농수산홀딩스와 제일홀딩스(주)의 합병,2016-12-31,2016,Q4
20180330000608,Y,00260408,팜스코,2008년 10월 10일,농수산홈쇼핑외,"20,692,662",67.76%,-,대상홀딩스에서 농수산홈쇼핑으로 최대주주변경,2017-12-31,2017,Q4
20180330000608,Y,00260408,팜스코,2011년 02월 28일,(주)농수산홀딩스외,"26,427,186",83.48%,-,농수산홈쇼핑에서 (주)농수산홀딩스로 최대주주변경,2017-12-31,2017,Q4
20180330000608,Y,00260408,팜스코,2012년 10월 15일,(주)농수산홀딩스외,"20,763,679",56.53%,-,보고의무면제로 인한 자사주 제외,2017-12-31,2017,Q4
20180330000608,Y,00260408,팜스코,2012년 12월 31일,제일홀딩스(주)외,"20,763,679",56.34%,-,(주)농수산홀딩스와 제일홀딩스(주)의 합병,2017-12-31,2017,Q4
20190328000006,Y,00260408,팜스코,2008년 10월 10일,농수산홈쇼핑외,"20,692,662",67.76%,대상홀딩스에서 농수산홈쇼핑으로 최대주주변경,-,2018-12-31,2018,Q4
20190328000006,Y,00260408,팜스코,2011년 02월 28일,(주)농수산홀딩스외,"26,427,186",83.48%,농수산홈쇼핑에서 (주)농수산홀딩스로 최대주주변경,-,2018-12-31,2018,Q4
20190328000006,Y,00260408,팜스코,2012년 10월 15일,(주)농수산홀딩스외,"20,763,679",56.53%,보고의무면제로 인한 자사주 제외,-,2018-12-31,2018,Q4
20190328000006,Y,00260408,팜스코,2012년 12월 31일,제일홀딩스(주)외,"20,763,679",56.34%,(주)농수산홀딩스와 제일홀딩스(주)의 합병,-,2018-12-31,2018,Q4
20190328000006,Y,00260408,팜스코,2018년 07월 02일,(주)하림지주외,"20,763,679",56.34%,(주)제일홀딩스와 (주)하림홀딩스의 합병,-,2018-12-31,2018,Q4
20200331000162,Y,00260408,팜스코,2008년 10월 10일,농수산홈쇼핑외,"20,692,662",67.76%,대상홀딩스에서 농수산홈쇼핑으로 최대주주변경,-,2019-12-31,2019,Q4
20200331000162,Y,00260408,팜스코,2011년 02월 28일,(주)농수산홀딩스외,"26,427,186",83.48%,농수산홈쇼핑에서 (주)농수산홀딩스로 최대주주변경,-,2019-12-31,2019,Q4
20200331000162,Y,00260408,팜스코,2012년 10월 15일,(주)농수산홀딩스외,"20,763,679",56.53%,보고의무면제로 인한 자사주 제외,-,2019-12-31,2019,Q4
20200331000162,Y,00260408,팜스코,2012년 12월 31일,제일홀딩스(주)외,"20,763,679",56.34%,(주)농수산홀딩스와 제일홀딩스(주)의 합병,-,2019-12-31,2019,Q4
20200331000162,Y,00260408,팜스코,2018년 07월 02일,(주)하림지주외,"20,763,679",56.34%,(주)제일홀딩스와 (주)하림홀딩스의 합병,-,2019-12-31,2019,Q4
20210318000680,Y,00260408,팜스코,2008년 10월 10일,농수산홈쇼핑외,"20,692,662",67.76%,대상홀딩스에서 농수산홈쇼핑으로 최대주주변경,-,2020-12-31,2020,Q4
20210318000680,Y,00260408,팜스코,2011년 02월 28일,(주)농수산홀딩스외,"26,427,186",83.48%,농수산홈쇼핑에서 (주)농수산홀딩스로 최대주주변경,-,2020-12-31,2020,Q4
20210318000680,Y,00260408,팜스코,2012년 10월 15일,(주)농수산홀딩스외,"20,763,679",56.53%,보고의무면제로 인한 자사주 제외,-,2020-12-31,2020,Q4
20210318000680,Y,00260408,팜스코,2012년 12월 31일,제일홀딩스(주)외,"20,763,679",56.34%,(주)농수산홀딩스와 제일홀딩스(주)의 합병,-,2020-12-31,2020,Q4
20210318000680,Y,00260408,팜스코,2018년 07월 02일,(주)하림지주외,"20,763,679",56.34%,(주)제일홀딩스와 (주)하림홀딩스의 합병,-,2020-12-31,2020,Q4
20230228005108,Y,00260408,팜스코,2008년 10월 10일,농수산홈쇼핑외,"20,692,662",67.76%,대상홀딩스에서 농수산홈쇼핑으로 최대주주변경,-,2021-12-31,2021,Q4
20230228005108,Y,00260408,팜스코,2011년 02월 28일,(주)농수산홀딩스외,"26,427,186",83.48%,농수산홈쇼핑에서 (주)농수산홀딩스로 최대주주변경,-,2021-12-31,2021,Q4
20230228005108,Y,00260408,팜스코,2012년 10월 15일,(주)농수산홀딩스외,"20,763,679",56.53%,보고의무면제로 인한 자사주 제외,-,2021-12-31,2021,Q4
20230228005108,Y,00260408,팜스코,2012년 12월 31일,제일홀딩스(주)외,"20,763,679",56.34%,(주)농수산홀딩스와 제일홀딩스(주)의 합병,-,2021-12-31,2021,Q4
20230228005108,Y,00260408,팜스코,2018년 07월 02일,(주)하림지주외,"20,763,679",56.34%,(주)제일홀딩스와 (주)하림홀딩스의 합병,-,2021-12-31,2021,Q4
20230321001369,Y,00260408,팜스코,2008년 10월 10일,농수산홈쇼핑외,"20,692,662",67.76%,대상홀딩스에서 농수산홈쇼핑으로 최대주주변경,-,2022-12-31,2022,Q4
20230321001369,Y,00260408,팜스코,2011년 02월 28일,(주)농수산홀딩스외,"26,427,186",83.48%,농수산홈쇼핑에서 (주)농수산홀딩스로 최대주주변경,-,2022-12-31,2022,Q4
20230321001369,Y,00260408,팜스코,2012년 10월 15일,(주)농수산홀딩스외,"20,763,679",56.53%,보고의무면제로 인한 자사주 제외,-,2022-12-31,2022,Q4
20230321001369,Y,00260408,팜스코,2012년 12월 31일,제일홀딩스(주)외,"20,763,679",56.34%,(주)농수산홀딩스와 제일홀딩스(주)의 합병,-,2022-12-31,2022,Q4
20230321001369,Y,00260408,팜스코,2018년 07월 02일,(주)하림지주외,"20,763,679",56.34%,(주)제일홀딩스와 (주)하림홀딩스의 합병,-,2022-12-31,2022,Q4
20240315000769,Y,00260408,팜스코,2008년 10월 10일,농수산홈쇼핑외,"20,692,662",67.76%,대상홀딩스에서 농수산홈쇼핑으로 최대주주변경,-,2023-12-31,2023,Q4
20240315000769,Y,00260408,팜스코,2011년 02월 28일,(주)농수산홀딩스외,"26,427,186",83.48%,농수산홈쇼핑에서 (주)농수산홀딩스로 최대주주변경,-,2023-12-31,2023,Q4
20240315000769,Y,00260408,팜스코,2012년 10월 15일,(주)농수산홀딩스외,"20,763,679",56.53%,보고의무면제로 인한 자사주 제외,-,2023-12-31,2023,Q4
20240315000769,Y,00260408,팜스코,2012년 12월 31일,제일홀딩스(주)외,"20,763,679",56.34%,(주)농수산홀딩스와 제일홀딩스(주)의 합병,-,2023-12-31,2023,Q4
20240315000769,Y,00260408,팜스코,2018년 07월 02일,(주)하림지주외,"20,763,679",56.34%,(주)제일홀딩스와 (주)하림홀딩스의 합병,-,2023-12-31,2023,Q4
20250318001293,Y,00260408,팜스코,2008년 10월 10일,농수산홈쇼핑외,"20,692,662",67.76%,대상홀딩스에서 농수산홈쇼핑으로 최대주주변경,-,2024-12-31,2024,Q4
20250318001293,Y,00260408,팜스코,2011년 02월 28일,(주)농수산홀딩스외,"26,427,186",83.48%,농수산홈쇼핑에서 (주)농수산홀딩스로 최대주주변경,-,2024-12-31,2024,Q4
20250318001293,Y,00260408,팜스코,2012년 10월 15일,(주)농수산홀딩스외,"20,763,679",56.53%,보고의무면제로 인한 자사주 제외,-,2024-12-31,2024,Q4
20250318001293,Y,00260408,팜스코,2012년 12월 31일,제일홀딩스(주)외,"20,763,679",56.34%,(주)농수산홀딩스와 제일홀딩스(주)의 합병,-,2024-12-31,2024,Q4
20250318001293,Y,00260408,팜스코,2018년 07월 02일,(주)하림지주외,"20,763,679",56.34%,(주)제일홀딩스와 (주)하림홀딩스의 합병,-,2024-12-31,2024,Q4
