날짜,시가,고가,저가,종가,거래량,등락률
2015-01-02,28094,28659,28028,28560,99909,0.11567988221684719
2015-01-05,28227,28592,27596,28527,134044,-0.11554621848739496
2015-01-06,27961,28359,27562,27929,129083,-2.0962596838083223
2015-01-07,27762,28194,27695,27962,70827,0.11815675462780621
2015-01-08,27862,28426,27862,28328,93428,1.308919247550247
2015-01-09,28825,29787,28692,29722,244129,4.920926292007907
2015-01-12,29522,29522,29123,29390,76903,-1.1170176973285781
2015-01-13,29456,29555,28526,28692,76021,-2.37495746852671
2015-01-14,28592,29156,28559,28925,68452,0.8120730517217343
2015-01-15,28957,29256,28626,29058,95326,0.4598098530682801
2015-01-16,29057,29057,27961,27995,95996,-3.658200839699911
2015-01-19,28359,29489,28359,29058,116263,3.797106626183247
2015-01-20,29223,29489,28858,29025,62815,-0.11356597150526535
2015-01-21,28957,29156,28459,28527,75858,-1.7157622739018088
2015-01-22,28559,29356,28559,28925,112515,1.3951694885547026
2015-01-23,30020,30884,29887,29988,181729,3.6750216076058773
2015-01-26,30087,30684,29854,30121,67496,0.44351073762838467
2015-01-27,30452,30617,30087,30286,42706,0.5477905780020583
2015-01-28,30220,30617,29920,30519,78103,0.7693323647890115
2015-01-29,30884,30884,30220,30419,94117,-0.32766473344473934
2015-01-30,30684,31215,30452,30818,129919,1.311680199875078
2015-02-02,30518,30983,30220,30220,89517,-1.9404244272827567
2015-02-03,30419,30518,29953,30220,45054,0.0
2015-02-04,30419,30784,30153,30286,62562,0.21839841164791532
2015-02-05,30286,30452,29555,29755,103733,-1.753285346364657
2015-02-06,29754,30087,29655,29888,44296,0.4469837002184507
2015-02-09,29655,29920,29522,29755,53763,-0.4449946466809422
2015-02-10,29721,29987,29489,29523,47698,-0.7797008906066207
2015-02-11,29688,29854,28957,29257,78730,-0.9009924465670832
2015-02-12,29024,29356,28659,29191,72257,-0.22558703899921384
2015-02-13,29223,29787,28858,29191,102214,0.0
2015-02-16,29090,29489,29090,29191,44331,0.0
2015-02-17,29156,29190,28758,28891,102221,-1.027714021444966
2015-02-23,28957,30253,28957,30121,157140,4.257381191374476
2015-02-24,29920,31581,29920,31482,208468,4.518442282792736
2015-02-25,31315,31813,31116,31582,139424,0.31764182707578936
2015-02-26,31614,32079,31215,31482,101782,-0.3166360585143436
2015-02-27,31548,32743,31548,32180,172718,2.2171399529890095
2015-03-02,32079,32544,31880,31880,118149,-0.9322560596643878
2015-03-03,31880,32909,31747,32445,150859,1.772271016311167
2015-03-04,32145,32544,31880,31880,86812,-1.7414085375250423
2015-03-05,31581,32012,31448,31748,79530,-0.41405269761606023
2015-03-06,31747,32743,31747,32678,139184,2.9293183822603
2015-03-09,32411,32544,31415,31515,99890,-3.558969337168737
2015-03-10,32279,32511,31249,31482,84841,-0.10471204188481677
2015-03-11,30851,31149,30087,30121,197250,-4.323105266501493
2015-03-12,30551,30651,29655,29655,333089,-1.547093389993692
2015-03-13,30020,30319,29223,29357,359917,-1.0048895633114148
2015-03-16,29522,29522,29057,29125,122151,-0.7902714855060121
2015-03-17,29323,30751,29323,30752,344872,5.5862660944206
2015-03-18,30452,31016,30352,30553,213861,-0.6471123829344433
2015-03-19,31381,31448,30684,31150,205704,1.953981605734298
2015-03-20,31083,31182,30717,31083,108691,-0.21508828250401285
2015-03-23,31282,32478,31116,32147,288099,3.4230930090403113
2015-03-24,32179,32610,31946,32412,321124,0.8243381964102405
2015-03-25,32345,33109,32212,32977,226544,1.7431815377020856
2015-03-26,32577,33275,32478,32943,152632,-0.10310216211298784
2015-03-27,33009,33673,32943,33541,166541,1.8152566554351455
2015-03-30,33806,35001,33208,34936,315563,4.159088876300647
2015-03-31,34935,35732,34404,34736,317825,-0.572475383558507
2015-04-01,34470,35201,33873,35069,212118,0.9586596038691848
2015-04-02,35068,35798,34736,35268,203224,0.5674527360346745
2015-04-03,35466,37127,35466,36928,242108,4.706816377452648
2015-04-06,36928,37459,36595,37327,212671,1.0804809358752168
2015-04-07,37658,37725,36595,37194,204523,-0.3563104455220082
2015-04-08,36994,38588,36795,38257,258638,2.8579878475022853
2015-04-09,38057,38521,36861,37859,138079,-1.0403324881720992
2015-04-10,38256,40647,38190,40316,290677,6.48987030824903
2015-04-13,41112,42971,40780,41578,281670,3.130270860204385
2015-04-14,41510,42839,39584,40914,318808,-1.5969984126220595
2015-04-15,41179,43104,40248,42973,377931,5.032507210245882
2015-04-16,43768,43835,41710,43039,245232,0.15358480906615782
2015-04-17,42507,42905,41245,41312,334930,-4.012639698877762
2015-04-20,40514,41112,40049,40648,413506,-1.6072811773818745
2015-04-21,41643,41643,39651,39652,271670,-2.450305058059437
2015-04-22,39651,42373,39518,40515,419573,2.1764349843639663
2015-04-23,41710,41843,40115,41378,258815,2.130075280760212
2015-04-24,41378,41843,39518,40183,211503,-2.8880081202571417
2015-04-27,40448,41311,40182,40714,132033,1.3214543463653785
2015-04-28,40979,41843,40382,40382,180544,-0.8154443189075011
2015-04-29,40713,41046,38521,39054,266668,-3.2885939279877174
2015-04-30,38987,40248,38057,39453,162782,1.0216623137194654
2015-05-04,40049,40049,38654,38656,111491,-2.0201252122779003
2015-05-06,38455,38521,35665,35866,332471,-7.217508278145695
2015-05-07,35998,37193,35334,36928,327328,2.9610215803267717
2015-05-08,36861,37526,36197,37061,118836,0.36016031195840553
2015-05-11,37924,38720,37725,37859,189971,2.1532068751517768
2015-05-12,37526,38057,36861,37925,114931,0.17433107055125596
2015-05-13,37592,38720,37526,37592,135272,-0.878048780487805
2015-05-14,37259,38521,37259,38389,114179,2.1201319429665886
2015-05-15,38987,39119,36529,36663,155099,-4.496079606137174
2015-05-18,36662,37658,36064,37393,199355,1.991108201729264
2015-05-19,37393,38787,37193,38522,281173,3.019281683737598
2015-05-20,38389,40115,38322,40050,231260,3.966564560510877
2015-05-21,40115,40382,39053,39652,178856,-0.9937578027465668
2015-05-22,39916,41843,39916,41578,298964,4.857258145869061
2015-05-26,41510,41577,39651,40382,196329,-2.876521237192746
2015-05-27,39451,39717,38588,38921,177827,-3.6179485909563667
2015-05-28,39252,39651,38521,38522,113956,-1.0251535160967087
2015-05-29,38057,39385,37924,37991,132093,-1.3784331031618298
2015-06-01,37990,38588,37127,37925,97211,-0.1737253560053697
2015-06-02,38455,39651,38123,38389,172127,1.2234673698088332
2015-06-03,39053,39451,38322,38656,118092,0.6955117351324598
2015-06-04,38920,39186,37924,38190,95894,-1.2055049668874174
2015-06-05,37924,38057,36795,36795,180077,-3.652788688138256
2015-06-08,36795,38987,35865,38656,170155,5.057752412012502
2015-06-09,38455,38987,37990,38921,125707,0.685533940397351
2015-06-10,39186,39451,37725,37859,92272,-2.72860409547545
2015-06-11,38256,39053,37259,37526,179843,-0.8795794923267914
2015-06-12,37592,38455,36330,36596,164701,-2.478281724670895
2015-06-15,36861,37060,35599,35999,92146,-1.6313258279593397
2015-06-16,35665,35998,34603,34736,208406,-3.5084307897441596
2015-06-17,34935,35334,34204,35003,162529,0.7686549976969138
2015-06-18,35334,35533,34270,34936,125620,-0.19141216467159958
2015-06-19,35798,37127,35533,35600,209919,1.9006182734142432
2015-06-22,35599,36197,34669,35003,149912,-1.6769662921348314
2015-06-23,35998,36795,35533,35600,259558,1.7055680941633573
2015-06-24,35798,36131,35201,35334,130426,-0.747191011235955
2015-06-25,35068,36462,34736,36197,183309,2.4424067470425084
2015-06-26,36197,36330,35599,35733,150244,-1.2818741884686575
2015-06-29,34868,34868,33076,33176,285777,-7.155850334424761
2015-06-30,33142,34138,33142,33541,164591,1.1001929105377382
2015-07-01,33740,34537,33341,34272,112511,2.1794221996958947
2015-07-02,34603,34935,33275,33342,304663,-2.7135854341736696
2015-07-03,33474,34005,33142,33541,141092,0.5968448203467098
2015-07-06,32544,32743,31614,31615,192907,-5.742225932440894
2015-07-07,32179,32245,31282,31914,126532,0.9457535979756444
2015-07-08,32079,32145,31215,31217,128793,-2.1839944851789186
2015-07-09,30617,31415,29987,31316,136736,0.31713489444853765
2015-07-10,31415,31747,30784,30917,116610,-1.2741090816196194
2015-07-13,31348,33109,31215,32811,190154,6.12607950318595
2015-07-14,33275,33407,32378,32412,117496,-1.2160555911127366
2015-07-15,33042,33474,32478,32544,108541,0.40725657164013324
2015-07-16,32677,32943,32012,32478,150933,-0.2028023598820059
2015-07-17,32876,33142,31648,31880,116555,-1.8412463821663898
2015-07-20,31880,32079,31182,31350,80842,-1.6624843161856961
2015-07-21,31515,31747,31016,31350,82197,0.0
2015-07-22,31083,31282,30253,30586,146997,-2.4370015948963317
2015-07-23,30584,31348,30319,31150,99012,1.8439809062969985
2015-07-24,30684,30950,29854,29888,167887,-4.051364365971107
2015-07-27,29555,29555,27695,28328,391618,-5.21948608137045
2015-07-28,27562,29123,27562,28992,166479,2.343970629765603
2015-07-29,29057,29223,28359,28626,163109,-1.2624172185430464
2015-07-30,28890,29023,28226,28493,92848,-0.46461258995318944
2015-07-31,28492,29190,28359,29191,105723,2.4497244937353035
2015-08-03,29223,29489,28094,28128,119392,-3.641533349319996
2015-08-04,27928,28559,27928,28328,141103,0.7110352673492605
2015-08-05,28227,28393,27596,27829,216258,-1.7615080485738492
2015-08-06,28028,29688,27995,29357,307239,5.490675194940529
2015-08-07,29223,29688,28891,29523,108932,0.5654528732499915
2015-08-10,29622,29953,29123,29357,102981,-0.5622734816922399
2015-08-11,29821,30120,28227,28228,135263,-3.84576080662193
2015-08-12,28426,28858,27695,28692,182322,1.6437579708091257
2015-08-13,28791,29256,28426,28891,111710,0.6935731214275757
2015-08-17,28924,29787,28659,29290,192268,1.381052923055623
2015-08-18,29555,29555,28426,28427,119369,-2.9463980880846705
2015-08-19,28061,28359,26865,27397,177417,-3.623315861680797
2015-08-20,26898,27231,26134,26235,217993,-4.24134029273278
2015-08-21,25304,25603,24308,25139,463671,-4.177625309700781
2015-08-24,24906,25304,24075,24973,216124,-0.6603285731333783
2015-08-25,25039,25902,24408,25571,272025,2.3945861530452888
2015-08-26,25404,26666,25105,26235,205535,2.596691564663095
2015-08-27,26567,26567,26002,26002,178658,-0.888126548503907
2015-08-28,26301,26832,26267,26666,202035,2.5536497192523653
2015-08-31,26367,26666,25703,25936,250381,-2.7375684392109805
2015-09-01,25770,26035,25271,25305,116635,-2.4329117828500926
2015-09-02,24640,25006,24574,24741,212562,-2.228808535862478
2015-09-03,24906,25072,24607,24708,109171,-0.13338183581908572
2015-09-04,24706,25238,24574,24675,105021,-0.13355998057309373
2015-09-07,24906,24906,24441,24508,100635,-0.6767983789260386
2015-09-08,24441,24873,24042,24641,142394,0.5426799412436756
2015-09-09,25138,25969,24906,25903,271645,5.12154539182663
