종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
002380,KCC,"405,500","-10,500","2.52","11,801,642,431","4,280,666,021,500"
108670,LG하우시스,"133,500","-5,000","3.61","7,804,222,000","1,197,183,945,000"
000210,대림산업,"87,500","-3,400","3.74","18,661,435,748","3,045,000,000,000"
047040,대우건설,"6,100","-180","2.87","10,513,808,660","2,535,298,091,800"
028050,삼성엔지니어링,"10,550","-300","2.76","30,138,991,250","2,067,800,000,000"
003410,쌍용양회,"19,300","-100","0.52","1,838,591,400","1,440,946,414,800"
010780,아이에스동서,"46,550","-650","1.38","8,322,194,150","1,269,425,342,850"
003300,한일시멘트,"93,400","500","0.54","1,287,192,100","704,732,234,200"
052690,한전기술,"31,050","-200","0.64","2,886,919,000","1,186,731,000,000"
000720,현대건설,"40,250","-1,900","4.51","33,975,013,700","4,482,069,541,250"
012630,현대산업,"46,100","150","0.33","12,953,190,220","3,475,210,698,000"
