종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
001040,CJ,"198,000","2,500","1.28","28,532,368,515","5,771,006,604,000"
097950,CJ제일제당,"345,500","-2,000","0.58","16,186,811,100","4,546,848,409,000"
007070,GS리테일,"48,050","900","1.91","18,729,550,389","3,699,850,000,000"
030200,KT,"29,650","-150","0.50","14,684,808,422","7,741,965,107,200"
033780,KT&G,"111,500","1,500","1.36","35,946,780,492","15,308,113,415,500"
051900,LG생활건강,"971,000","26,000","2.75","42,113,529,238","15,165,269,287,000"
032640,LG유플러스,"11,100","50","0.45","17,259,223,990","4,846,386,107,100"
017670,SK텔레콤,"210,000","1,500","0.72","23,623,952,704","16,956,599,310,000"
003920,남양유업,"827,000","11,000","1.35","377,973,000","595,440,000,000"
004370,농심,"397,500","-2,500","0.62","9,886,629,500","2,417,850,195,000"
001680,대상,"28,950","-100","0.34","3,372,345,500","996,215,096,250"
049770,동원F&B,"328,000","-6,500","1.94","1,987,742,000","1,265,792,672,000"
115390,락앤락,"14,100","-250","1.74","4,316,208,800","775,500,000,000"
004990,롯데제과,"2,553,000","-15,000","0.58","3,248,067,000","3,628,834,200,000"
005300,롯데칠성,"1,814,000","-5,000","0.27","7,526,824,000","2,244,286,242,000"
002270,롯데푸드,"826,000","-12,000","1.43","4,301,822,000","1,131,154,136,000"
033920,무학,"35,850","-200","0.55","1,834,873,900","1,007,385,000,000"
005180,빙그레,"69,900","500","0.72","2,020,332,300","688,601,745,900"
005610,삼립식품,"216,500","2,500","1.17","6,837,102,000","1,868,180,448,500"
145990,삼양사,"94,500","-200","0.21","1,986,313,500","972,386,383,500"
000070,삼양홀딩스,"157,500","0","0.00","2,675,231,000","1,348,872,682,500"
002790,아모레G,"146,500","0","0.00","21,303,191,308","11,689,378,570,000"
090430,아모레퍼시픽,"390,000","3,500","0.91","56,925,288,924","22,798,811,100,000"
078520,에이블씨엔씨,"29,000","-500","1.69","4,852,830,700","406,105,618,000"
007310,오뚜기,"928,000","21,000","2.32","13,822,127,000","3,192,320,000,000"
001800,오리온,"918,000","4,000","0.44","20,811,964,189","5,486,051,538,000"
139480,이마트,"172,500","-3,000","1.71","20,909,975,810","4,808,578,777,500"
192820,코스맥스,"126,000","500","0.40","12,384,222,000","1,133,938,134,000"
005740,크라운제과,"509,000","-19,000","3.60","7,480,258,000","750,023,716,000"
036580,팜스코,"11,800","200","1.72","2,267,770,300","433,389,727,400"
000080,하이트진로,"26,950","-1,950","6.75","118,800,148,850","1,890,100,816,450"
000140,하이트진로홀딩스,"15,150","-150","0.98","656,389,550","351,582,489,750"
036460,한국가스공사,"38,000","-350","0.91","6,202,082,400","3,507,894,000,000"
015760,한국전력,"59,100","-1,100","1.83","61,099,957,595","37,940,076,950,700"
161890,한국콜마,"83,600","2,300","2.83","12,005,960,700","1,763,972,623,600"
005440,현대그린푸드,"19,200","-200","1.03","4,553,387,250","1,875,926,054,400"
