code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,이자비용,차입부채
150,Doosan_Corp,기타금융,2017,Q4,"980,974,192,542","2,969,055,186,294","3,950,029,378,836","1,319,119,682,612","431,150,948,434","1,750,270,631,046","1,731,752,950,996","2,199,758,747,790",740381884313.0,67526745305.0,49879017422.0,38276597664.0,38276597664.0,"134,845,735,000",214132817862.0,,,,,,,,,
240,Hankook_Tire_Worldwide,기타금융,2017,Q4,"201,226,919,436","2,087,475,992,635","2,288,702,912,071","22,990,479,147","59,457,045,683","82,447,524,830","867,838,105,896","2,206,255,387,241",17996908104.0,3657433657.0,9920989002.0,7962704869.0,7962704869.0,"46,510,086,500",,,,,,,,,,
640,Dong-A_Socio_Holdings,기타금융,2017,Q4,"123,027,438,796","776,235,486,737","899,262,925,533","156,437,416,808","106,360,514,862","262,797,931,670","421,105,496,106","636,464,993,863",13493524789.0,-312005818.0,-445983833.0,-1117757711.0,-1117757711.0,"30,691,140,000",,,,,,,,,,
1040,CJ_Corp,기타금융,2017,Q4,"54,058,009,000","2,789,526,288,000","2,843,584,297,000","127,098,466,000","6,976,259,000","134,074,725,000","1,725,052,995,000","2,709,509,572,000",,7677593000.0,7311101000.0,6141402000.0,6141402000.0,"157,914,810,000",,,,,,,,,,
1230,Dongkuk_Steel,기타금융,2017,Q4,"1,676,374,188,315","4,516,385,447,571","6,192,759,635,886","2,702,759,496,234","623,689,284,567","3,326,448,780,801","1,201,195,054,044","2,866,310,855,085",1302902025624.0,37680417154.0,18678207310.0,692579897.0,692579897.0,"690,953,196,364",,,,,,,,,,
1800,Orion_Corp,기타금융,2017,Q4,"27,097,648,943","1,877,328,739,788","1,907,981,603,396","3,874,567,697","1,129,512,643","5,004,080,340","2,255,430,451,866","1,902,977,523,056",5938031064.0,1865695908.0,-201312420.0,4063216592.0,4063216592.0,"31,322,026,500",,,,,,,,,,
3030,SeAH_Steel,기타금융,2017,Q4,"574,580,107,815","1,174,945,629,958","1,749,525,737,773","378,486,750,548","209,765,216,750","588,251,967,298","1,028,533,157,079","1,161,273,770,475",379846656236.0,29902645388.0,-43183129158.0,-52492998137.0,-52492998137.0,"30,000,000,000",,,,,,,,,,
3550,LG_Corp,기타금융,2017,Q4,"720,313,000,000","8,518,580,000,000","9,238,893,000,000","280,068,000,000","177,483,000,000","457,551,000,000","5,454,267,000,000","8,781,342,000,000",108700000000.0,50855000000.0,36340000000.0,19827000000.0,19827000000.0,"879,359,000,000",,,,,,,,,,
4150,Hansol_Holdings,기타금융,2017,Q4,"8,656,683,896","452,754,909,587","461,411,593,483","9,105,276,838","22,038,461,788","31,143,738,626","81,399,817,430","430,267,854,857",,1884574515.0,-151650967914.0,-152362467780.0,-152362467780.0,"231,799,355,000",,,,,,,,,,
4800,Hyosung,기타금융,2017,Q4,"1,933,353,526,637","5,910,929,611,489","7,844,283,138,126","3,111,121,679,591","1,259,450,224,041","4,370,571,903,632","2,937,089,257,164","3,473,711,234,494",2381937319090.0,71069806889.0,-190068707247.0,-170504636859.0,-170504636859.0,"175,587,275,000",,,,,,,,,,
5440,Hyundai_Green_Food,기타금융,2017,Q4,"417,891,184,000","1,201,230,172,000","1,619,121,356,000","139,397,005,000","161,104,046,000","300,501,051,000","737,085,393,000","1,318,620,305,000",350037199000.0,-6590010000.0,68154361000.0,48751992000.0,48751992000.0,"48,852,241,000",,,,,,,,,,
5740,Crown_Confectionery,기타금융,2017,Q4,"1,701,076,009","353,440,336,089","355,141,412,098","46,604,845,662","14,939,535,942","61,544,381,604","457,760,669,947","293,597,030,494",3032839195.0,191023463.0,-568325501.0,1261278810.0,1261278810.0,"7,724,036,500",,,,,,,,,,
