code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,이자비용,차입부채
50,Kyungbang,유통,2016,Q1,"81,958,323,354","1,176,700,657,273","1,258,658,980,627","141,872,585,390","443,413,538,931","585,286,124,321","659,897,364,045","673,372,856,306",77537494571.0,8682084832.0,6427075130.0,5028325183.0,5028325183.0,,,,,,,,,,,
1120,LG_International,유통,2016,Q1,"821,821,740,894","2,007,354,641,116","2,829,176,382,010","736,511,576,922","855,003,315,669","1,591,514,892,591","894,435,311,345","1,237,661,489,419",762107333799.0,5589137104.0,22947240289.0,18556967602.0,18556967602.0,,,,,,,,,,,
1740,SK_Networks,유통,2016,Q1,"3,297,268,187,068","4,337,571,070,831","7,634,839,257,899","3,831,067,009,886","1,378,027,798,373","5,209,094,808,259","988,549,627,811","2,425,744,449,640",4319905605240.0,22331890451.0,10206722382.0,9055922512.0,9055922512.0,"648,653,775,000",,,,,,,,,,
4170,Shinsegae,유통,2016,Q1,"243,086,525,688","5,398,654,295,224","5,641,740,820,912","1,233,876,106,644","1,510,772,310,634","2,744,648,417,278","1,777,754,652,142","2,897,092,403,634",377897209532.0,44320147281.0,50520078296.0,40160090634.0,40160090634.0,,,,,,,,,,,
7070,GS_Retail,유통,2016,Q1,"476,927,312,962","3,203,307,211,931","3,680,234,524,893","924,523,604,177","1,005,093,052,790","1,929,616,656,967",,"1,750,617,867,926",1597603817700.0,26743281079.0,28809982866.0,22320941627.0,22320941627.0,,,,,,,,,,,
8770,Hotel_Shilla,유통,2016,Q1,-,-,"2,186,920,760,824",-,-,"1,408,886,872,975",,"778,033,887,849",751963340752.0,27174137661.0,30383236876.0,23571751687.0,23571751687.0,"200,000,000,000",,,,,,,,,,
9240,Hanssem,유통,2016,Q1,"423,780,436,096","309,979,557,325","733,759,993,421","302,078,410,636","16,254,396,295","318,332,806,931","405,563,971,464","415,427,186,490",417060207215.0,29379024950.0,30684462689.0,23388243505.0,23388243505.0,,,,,,,,,,,
23530,Lotte_Shopping,유통,2016,Q1,"3,796,379,336,096","22,031,402,234,815","25,827,781,570,911","5,538,056,828,484","4,716,868,710,413","10,254,925,538,897","11,124,938,324,661","15,572,856,032,014",4010312028976.0,189696868916.0,156984982444.0,113286488866.0,113286488866.0,,,,,,,,,,,
28260,Samsung_C&T,유통,2016,Q1,"8,798,759,190,398","24,149,753,607,351","32,977,048,389,221","11,048,235,759,457","6,385,516,967,673","17,433,752,727,130","4,540,589,986,484","15,543,295,662,091",4559672268780.0,-406055444239.0,-303654806890.0,-248474388051.0,-248474388051.0,,,,,,,,,,,
47050,Daewoo_International,유통,2016,Q1,"3,902,925,842,000","3,547,464,173,000","7,450,390,015,000","3,534,114,864,000","1,509,139,536,000","5,043,254,400,000","1,483,494,996,000","2,407,135,615,000",3745286956000.0,104676144000.0,122513835000.0,98565914000.0,98565914000.0,,,,,,,,,,,
69960,Hyundai_Department_Store,유통,2016,Q1,"685,402,626,000","3,951,903,050,000","4,637,317,275,000","852,925,344,000","730,677,966,000","1,583,603,310,000","2,286,667,305,000","3,053,713,965,000",343592239000.0,71926442000.0,84030580000.0,63634185000.0,63634185000.0,"117,012,205,000",,,,,,,,,,
111770,Youngone_Corporation,유통,2016,Q1,"332,481,797,601","955,833,901,234","1,288,315,698,835","251,308,746,736","244,415,339,956","495,724,086,692","294,984,624,651","792,591,612,143",245492449243.0,18112803566.0,17435941930.0,13331943984.0,13331943984.0,"22,155,734,000",,,,,,,,,,
139480,Emart,유통,2016,Q1,"1,012,444,238,697","12,398,499,657,973","13,410,943,896,670","3,400,192,005,033","2,805,050,185,586","6,205,242,190,619","1,769,215,750,155","7,205,701,706,051",2914457560794.0,188621880378.0,195682723396.0,151642416514.0,151642416514.0,"139,379,095,000",,,,,,,,,,
