code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,이자비용,차입부채
80,Hite_Jinro,음식료·담배,2022,Q2,"943,993,668,635","2,269,540,654,519","3,213,534,323,154","1,444,040,862,779","651,063,352,899","2,095,104,215,678","329,084,377,791","1,118,430,107,476",566196528811.0,53082450665.0,45800682826.0,32582497758.0,32582497758.0,"368,842,230,000",,,,,,,,,,
1680,Daesang,음식료·담배,2022,Q2,"1,324,102,552,461","1,519,683,155,577","2,843,785,708,038","769,919,938,749","820,987,043,763","1,590,906,982,512","975,852,523,822","1,252,878,725,526",829237816974.0,45686480179.0,40641557273.0,30362110607.0,30362110607.0,"36,018,248,000",,,,,,,,,,
3920,Namyang_Dairy_Products,음식료·담배,2022,Q2,"418,849,404,467","548,356,246,541","967,205,651,008","91,131,540,979","97,903,250,895","189,034,791,874","795,220,897,285","778,170,859,134",229582744448.0,-18594095937.0,-14324272629.0,-10932151425.0,-10932151425.0,"4,433,310,000",,,,,,,,,,
4370,Nongshim,음식료·담배,2022,Q2,"808,282,218,683","1,800,882,493,376","2,609,164,712,059","498,442,450,803","68,457,130,289","566,899,581,092","1,967,173,188,337","2,042,265,130,967",584453572174.0,-3020739316.0,7707904204.0,5714444646.0,5714444646.0,"30,413,210,000",,,,,,,,,,
5180,Binggrae,음식료·담배,2022,Q2,"289,503,701,852","459,283,334,068","748,787,035,920","154,250,472,427","25,859,593,996","180,110,066,423","17,706,626,576","568,676,969,497",300583883700.0,16661990756.0,19650630593.0,13273079690.0,13273079690.0,"49,756,205,000",,,,,,,,,,
5300,Lotte_Chilsung_Beverage,음식료·담배,2022,Q2,"983,775,712,885","2,550,077,401,580","3,533,853,114,465","1,008,653,940,173","1,193,693,103,598","2,202,347,043,771","1,935,249,141,856","1,331,506,070,694",707282932596.0,54539094733.0,44676911559.0,34846070135.0,34846070135.0,"5,027,097,000",,,,,,,,,,
5610,SPC_Samlip,음식료·담배,2022,Q2,"281,601,082,493","678,088,895,403","959,689,977,896","380,623,349,830","235,077,691,190","615,701,041,020","325,389,903,202","343,988,936,876",403481384355.0,19645636550.0,17127011149.0,13051642918.0,13051642918.0,"43,145,045,000",,,,,,,,,,
7310,Ottogi,음식료·담배,2022,Q2,"823,600,840,667","1,412,408,807,877","2,236,009,648,544","624,137,119,730","169,612,870,509","793,749,990,239","1,384,069,348,064","1,442,259,658,305",695256025165.0,42162299741.0,35086969129.0,27145731257.0,27145731257.0,"18,359,905,000",,,,,,,,,,
33780,KT&G,음식료·담배,2022,Q2,"3,965,688,263,816","5,940,527,335,178","9,906,215,598,994","1,800,401,206,108","75,037,450,202","1,875,438,656,310","599,167,986,457","8,030,776,942,684",966346260699.0,312650238664.0,478084215730.0,350468417180.0,350468417180.0,"954,959,485,000",,,,,,,,,,
33920,Muhak,음식료·담배,2022,Q2,"58,754,130,326","549,413,727,184","608,167,857,510","142,251,718,540","955,298,003","143,207,016,543","460,267,639,058","464,960,840,967",38134333284.0,3164875542.0,-23244960591.0,-18337252191.0,-18337252191.0,"5,700,000,000",,,,,,,,,,
36580,Farmsco,음식료·담배,2022,Q2,"629,447,171,237","410,180,121,533","1,039,627,292,770","740,297,049,397","15,577,075,330","755,874,124,727","188,239,638,247","283,753,168,043",416427270500.0,10540272758.0,-16728243412.0,-17629531406.0,-17629531406.0,"18,363,971,500",,,,,,,,,,
49770,Dongwon_F&B,음식료·담배,2022,Q2,"482,692,914,932","835,104,986,060","1,317,797,900,992","345,791,602,919","289,315,442,549","635,107,045,468","34,600,706,200","682,690,855,524",427309132678.0,9669020419.0,8649934602.0,6922749453.0,6922749453.0,"19,295,620,000",,,,,,,,,,
97950,CJ_CheilJedang,음식료·담배,2022,Q2,"1,863,438,656,000","9,114,707,923,000","10,978,146,579,000","2,593,476,500,000","3,221,621,869,000","5,815,098,369,000","3,618,360,580,000","5,163,048,210,000",1897398975000.0,122610457000.0,71137939000.0,62604167000.0,62604167000.0,"81,908,095,000",,,,,,,,,,
145990,Samyang_Foods,음식료·담배,2022,Q2,"791,917,000,000","1,445,298,000,000","2,237,215,000,000","383,277,000,000","678,658,000,000","1,061,935,000,000","262,669,000,000","1,175,280,000,000",520350000000.0,14141000000.0,7946000000.0,6497000000.0,6497000000.0,"53,417,000,000",,,,,,,,,,
