code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,이자비용,차입부채
660,S_hynix,전기·전자,2018,Q2,"12,776,977,000,000","39,168,989,000,000","51,945,966,000,000","8,758,476,000,000","3,734,652,000,000","12,493,128,000,000","32,382,153,000,000","39,452,838,000,000",10254269000000.0,5479012000000.0,5758325000000.0,4205829000000.0,4205829000000.0,"3,657,652,000,000",,,,,,,,,,
4490,SEBANG_Global_Battery,전기·전자,2018,Q2,"714,903,993,631","463,172,270,204","1,178,076,263,835","242,056,498,005","8,586,304,015","250,642,802,020","870,465,559,736","927,433,461,815",276892379041.0,22287433270.0,27182229532.0,20681993176.0,20681993176.0,"7,000,000,000",,,,,,,,,,
4710,Hansol_Technics,전기·전자,2018,Q2,"169,117,618,153","298,187,456,171","467,305,074,324","151,807,084,919","130,767,679,956","282,574,764,875","4,531,154,450","184,730,309,449",115761993912.0,-354646848.0,-2793834814.0,-2798912546.0,-2798912546.0,"110,549,390,000",,,,,,,,,,
5930,Samsung_Electronics,전기·전자,2018,Q2,"68,070,224,000,000","135,899,888,000,000","203,970,112,000,000","40,203,756,000,000","1,926,719,000,000","42,130,475,000,000","159,960,751,000,000","161,839,637,000,000",41314723000000.0,11049605000000.0,11094590000000.0,8077985000000.0,8077985000000.0,"897,514,000,000",,,,,,,,,,
6400,Samsung_SDI,전기·전자,2018,Q2,"3,321,426,548,487","10,444,812,506,184","13,766,239,054,671","2,436,720,934,723","902,664,543,925","3,339,385,478,648","5,300,687,330,048","10,426,853,576,023",1949845232012.0,109504324142.0,95940572521.0,83632956891.0,83632956891.0,"356,712,130,000",,,,,,,,,,
7340,Dong-A_Tire,전기·전자,2018,Q2,"92,180,084,054","249,399,689,826","341,579,773,880","19,068,259,261","5,605,760,938","24,674,020,199","585,364,892,465","316,905,753,681",33115949204.0,1963441725.0,18770672846.0,15374135245.0,15374135245.0,"4,997,002,500",,,,,,,,,,
9150,Samsung_Electro-Mechanics,전기·전자,2018,Q2,"1,435,478,007,427","3,745,082,752,247","5,180,560,759,674","984,247,269,633","399,625,577,852","1,383,872,847,485","122,914,779,052","3,796,687,912,189",1275617741346.0,92158385197.0,126822997714.0,102961916297.0,102961916297.0,"388,003,400,000",,,,,,,,,,
10120,LS_Electric,전기·전자,2018,Q2,"1,180,659,516,048","961,257,126,198","2,141,916,642,246","568,178,338,123","457,488,112,034","1,025,666,450,157","999,328,798,662","1,116,250,192,089",516916347601.0,55477513046.0,47218658333.0,31891948093.0,31891948093.0,"150,000,000,000",,,,,,,,,,
11070,LG_Innotek,전기·전자,2018,Q2,"1,749,314,299,053","3,122,864,771,804","4,872,179,070,857","1,582,718,182,349","1,502,191,792,965","3,084,909,975,314","518,833,084,347","1,787,269,095,543",1425121114483.0,-26253947453.0,-2813594264.0,633797813.0,633797813.0,"118,335,535,000",,,,,,,,,,
20150,Iljin_Materials,전기·전자,2018,Q2,"340,816,000,000","215,011,000,000","555,827,000,000","35,915,000,000","22,612,000,000","58,527,000,000","78,985,000,000","497,300,000,000",78857000000.0,11935000000.0,16880000000.0,13547000000.0,13547000000.0,"23,055,000,000",,,,,,,,,,
25540,Korea_Electric_Terminal,전기·전자,2018,Q2,"376,576,809,507","445,316,141,319","821,892,950,826","145,382,606,663","44,219,463,787","189,602,070,450","584,371,073,953","632,290,880,376",178333419427.0,8803161766.0,11628377494.0,9157334595.0,9157334595.0,"5,207,500,000",,,,,,,,,,
29530,Sindoh,전기·전자,2018,Q2,"666,230,489,492","251,391,567,083","917,622,056,575","48,483,110,902","12,795,021,412","61,278,132,314","697,862,811,897","856,343,924,261",122881274113.0,4335267956.0,11191992825.0,9337225542.0,9337225542.0,"50,400,145,000",,,,,,,,,,
34220,LG_Display,전기·전자,2018,Q2,"7,080,194,000,000","19,861,978,000,000","26,942,172,000,000","8,191,149,000,000","5,606,041,000,000","13,797,190,000,000","9,104,790,000,000","13,144,982,000,000",5034966000000.0,-409068000000.0,-475205000000.0,-417239000000.0,-417239000000.0,"1,789,079,000,000",,,,,,,,,,
66570,LG_Electronics,전기·전자,2018,Q2,"10,540,821,000,000","18,513,401,000,000","29,054,222,000,000","11,382,933,000,000","7,532,229,000,000","18,915,162,000,000","6,215,015,000,000","10,139,060,000,000",8109625000000.0,420035000000.0,481744000000.0,355229000000.0,355229000000.0,"904,169,000,000",,,,,,,,,,
