code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,이자비용,차입부채
210,DL_Holdings,화학,2017,Q2,"6,474,139,990,761","4,809,265,846,559","11,283,405,837,320","4,853,383,712,751","1,716,130,571,563","6,569,514,284,314","3,985,856,456,022","4,713,891,553,006",2905198494889.0,133639240590.0,93375208589.0,3843687164.0,3843687164.0,,,,,,,,,,,
880,Hanwha_Corp,화학,2017,Q2,"1,680,548,000,000","5,762,516,000,000","7,443,064,000,000","2,719,239,000,000","1,512,492,000,000","4,231,731,000,000","2,142,411,000,000","3,211,333,000,000",1124020000000.0,77598000000.0,103325000000.0,74111000000.0,74111000000.0,,,,,,,,,,,
2350,Nexen_Tire,화학,2017,Q2,"725,810,473,835","1,574,463,828,882","2,300,274,302,717","374,470,373,287","735,801,885,746","1,110,272,259,033","1,088,802,437,370","1,190,002,043,684",402931281768.0,43699440953.0,48140842491.0,40553629609.0,40553629609.0,,,,,,,,,,,
2380,KCC,화학,2017,Q2,"1,926,541,308,075","7,882,109,211,588","9,808,650,519,663","2,261,956,528,255","1,104,777,142,349","3,366,733,670,604","4,219,562,086,884","6,441,916,849,059",884074853545.0,83478180670.0,93459715769.0,70362462167.0,70362462167.0,,,,,,,,,,,
2790,AmoreG,화학,2017,Q2,"360,830,991,301","1,372,742,241,171","1,733,573,232,472","5,442,429,119","40,666,116,087","46,108,545,206","1,103,005,233,769","1,687,464,687,266",7760459061.0,425177935.0,1342595884.0,1083945311.0,1083945311.0,,,,,,,,,,,
2960,Korea_Shell_Petroleum,화학,2017,Q2,"96,380,656,413","17,677,071,480","114,057,727,893","26,963,939,172","103,430,991","27,067,370,163","79,459,315,209","86,990,357,730",53531894399.0,7245081374.0,7590906397.0,5777392743.0,5777392743.0,,,,,,,,,,,
3240,Taekwang_Industrial,화학,2017,Q2,"1,204,268,345,694","1,515,388,233,803","2,719,656,579,497","300,442,056,128","128,091,535,974","428,533,592,102","2,294,047,662,211","2,291,122,987,395",478952777910.0,29090245615.0,35592256047.0,27748125754.0,27748125754.0,,,,,,,,,,,
4000,Samsung_Fine Chemicals,화학,2017,Q2,"769,783,183,740","900,338,239,628","1,670,121,423,368","351,751,832,648","198,942,289,419","550,694,122,067","654,805,126,311","1,119,427,301,301",322178410872.0,33901949226.0,35689080440.0,27279241323.0,27279241323.0,,,,,,,,,,,
6650,Korea_Petrochemical_Ind,화학,2017,Q2,"336,090,107,551","1,460,748,102,099","1,796,838,209,650","272,882,010,471","240,903,790,154","513,785,800,625","981,403,078,729","1,283,052,409,025",221410933021.0,-11866109833.0,-8252097908.0,-6091617911.0,-6091617911.0,,,,,,,,,,,
7690,Kukdo_Chemical,화학,2017,Q2,"284,957,302,127","330,612,366,924","615,569,669,051","143,241,776,325","56,430,162,597","199,671,938,922","340,286,697,054","415,897,730,129",173858700379.0,13487242844.0,14623735162.0,11351500359.0,11351500359.0,,,,,,,,,,,
8490,Seohung,화학,2017,Q2,"129,623,556,071","277,642,236,810","407,265,792,881","87,290,405,752","94,683,323,552","181,973,729,304","172,711,057,755","225,292,063,577",67674946740.0,5973399374.0,5670128331.0,5645159318.0,5645159318.0,,,,,,,,,,,
9830,Hanwha_Solutions,화학,2017,Q2,"1,052,107,162,428","6,370,553,600,106","7,422,660,762,534","1,263,711,774,821","1,594,775,080,635","2,858,486,855,456","2,983,189,468,733","4,564,173,907,078",976621104395.0,157301863122.0,146988212573.0,111616833588.0,111616833588.0,,,,,,,,,,,
10950,S-Oil,화학,2017,Q2,"7,161,208,000,000","6,649,127,000,000","13,810,335,000,000","4,469,029,000,000","3,156,260,000,000","7,625,289,000,000","4,538,766,000,000","6,185,046,000,000",4665003000000.0,117267000000.0,69946000000.0,66043000000.0,66043000000.0,"291,512,000,000",,,,,,,,,,
11170,Lotte_Chemical,화학,2017,Q2,"4,328,496,443,467","10,359,214,685,161","14,687,711,128,628","2,545,664,913,756","2,501,914,635,594","5,047,579,549,350","8,496,995,444,550","9,640,131,579,278",2459347321498.0,516760897982.0,502108423296.0,370785664764.0,370785664764.0,"171,377,095,000",,,,,,,,,,
11780,Kumho_Petrochemical,화학,2017,Q2,"979,859,282,725","2,472,078,704,534","3,451,937,987,259","1,655,809,518,362","450,129,713,082","2,105,939,231,444","863,603,337,804","1,345,998,755,815",955097336548.0,34923219573.0,25458694447.0,16584278257.0,16584278257.0,,,,,,,,,,,
11790,SKC,화학,2017,Q2,"381,235,315,275","2,393,879,364,969","2,775,114,680,244","462,080,895,049","767,266,982,205","1,229,347,877,254","1,250,819,204,794","1,545,766,802,990",348661793051.0,38830519617.0,34891237685.0,24601914436.0,24601914436.0,"187,672,775,000",,,,,,,,,,
14680,Hansol_Chemical,화학,2017,Q2,"146,795,040,575","375,644,854,778","522,439,895,353","102,566,732,797","137,996,421,028","240,563,153,825","192,991,651,508","281,876,741,528",77809176287.0,12443586476.0,11668547761.0,8633712296.0,8633712296.0,,,,,,,,,,,
14820,Dongwon_Systems,화학,2017,Q2,"139,068,438,421","497,707,617,453","636,776,055,874","308,814,256,646","34,629,763,380","343,444,020,026","85,690,746,634","293,332,035,848",103184647054.0,8291456217.0,3803886317.0,5329720408.0,5329720408.0,"121,724,560,000",,,,,,,,,,
14830,UNID,화학,2017,Q2,"294,732,220,650","548,837,832,287","843,570,052,937","180,940,221,841","88,603,507,902","269,543,729,743","501,015,345,387","574,026,323,194",131523570757.0,15015498821.0,16873320922.0,12814143917.0,12814143917.0,"44,449,215,000",,,,,,,,,,
25860,Namhae_Chemical,화학,2017,Q2,"349,667,108,599","211,040,308,372","560,707,416,971","139,016,668,387","3,006,047,819","142,022,716,206","331,467,998,840","418,684,700,765",315089324568.0,17819236552.0,19110634566.0,14869663532.0,14869663532.0,,,,,,,,,,,
51900,LG_Household & Health Care,화학,2017,Q2,"791,405,203,233","2,384,972,538,816","3,176,377,742,049","776,664,004,179","287,461,526,751","1,064,125,530,930","1,995,872,362,330","2,112,252,211,119",898836065585.0,160884115157.0,223844828697.0,188506327336.0,188506327336.0,,,,,,,,,,,
51910,LG_Chem,화학,2017,Q2,"7,325,522,000,000","11,561,951,000,000","18,887,473,000,000","2,776,576,000,000","1,256,071,000,000","4,032,647,000,000","12,534,773,000,000","14,854,826,000,000",5154792000000.0,599352000000.0,663708000000.0,544079000000.0,544079000000.0,,,,,,,,,,,
69260,Huchems,화학,2017,Q2,"361,209,425,440","410,413,918,432","771,623,343,872","88,740,118,997","140,108,767,852","228,848,886,849","363,796,709,198","542,774,457,023",178919075581.0,41212658455.0,48923701561.0,38359452073.0,38359452073.0,,,,,,,,,,,
73240,Kumho_Tire,화학,2017,Q2,"1,010,016,828,212","2,372,806,762,663","3,382,823,590,875","1,387,946,785,437","637,811,116,020","2,025,757,901,457","325,347,721,248","1,357,065,689,418",565488530648.0,-24671930490.0,-37539126863.0,-31819519338.0,-31819519338.0,,,,,,,,,,,
78520,Able_C&C,화학,2017,Q2,"174,147,085,625","63,624,849,863","237,771,935,488","46,598,201,701","6,875,609,150","53,473,810,851","132,641,213,597","184,298,124,637",91487681577.0,4138876433.0,3841794877.0,3513007082.0,3513007082.0,"8,445,391,000",,,,,,,,,,
79980,Huvepharma,화학,2017,Q2,"256,433,920,433","532,345,487,956","788,779,408,389","295,742,082,843","129,659,121,578","425,401,204,421","168,948,003,609","363,378,203,968",233501145453.0,6570472514.0,6711050544.0,5315463701.0,5315463701.0,,,,,,,,,,,
90430,Amorepacific,화학,2017,Q2,"1,616,774,918,530","3,075,433,628,393","4,692,208,546,923","642,445,349,627","100,920,080,195","743,365,429,822","3,200,533,644,018","3,948,843,117,101",857585479520.0,88610839978.0,98595166101.0,72402930688.0,72402930688.0,,,,,,,,,,,
93370,Huvis,화학,2017,Q2,"101,032,583,974","192,125,432,620","293,158,016,594","72,922,278,903","53,096,671,836","126,018,950,739","62,721,195,054","167,139,065,855",64726726133.0,11222543043.0,11107472286.0,2808292455.0,2808292455.0,"46,199,876,500",,,,,,,,,,
96770,SK_Innovation,화학,2017,Q2,"672,290,429,000","12,758,892,114,000","13,431,182,543,000","212,333,764,000","1,128,194,134,000","1,340,527,898,000","5,899,798,079,000","12,090,654,645,000",286791798000.0,-46619064000.0,-50764920000.0,-73625076000.0,-73625076000.0,,,,,,,,,,,
108670,LG_Hausys,화학,2017,Q2,"1,020,409,000,000","1,181,804,000,000","2,202,213,000,000","621,154,000,000","614,593,000,000","1,235,747,000,000","313,232,000,000","966,466,000,000",712384000000.0,37948000000.0,36944000000.0,29029000000.0,29029000000.0,"50,000,000,000",,,,,,,,,,
115390,Lock_&_Lock,화학,2017,Q2,"98,371,385,577","534,357,231,787","632,728,617,364","28,948,873,453","6,873,883,921","35,822,757,374","279,670,570,392","596,905,859,990",43445642651.0,2043537406.0,26091402678.0,23791845045.0,23791845045.0,"27,500,000,000",,,,,,,,,,
120110,Kolon_Industries,화학,2017,Q2,"1,233,074,476,883","2,632,088,181,780","3,865,162,658,663","1,320,243,828,487","821,868,458,664","2,142,112,287,151","574,898,414,887","1,723,050,371,512",770073193611.0,48865479023.0,36101149193.0,27503141977.0,27503141977.0,,,,,,,,,,,
161390,Hankook_Tire_&_Technology,화학,2017,Q2,"2,019,683,467,686","4,169,329,391,722","6,189,012,859,408","1,701,108,713,540","323,480,865,243","2,024,589,578,783","1,645,377,754,653","4,164,423,280,625",865336458491.0,42878035617.0,98345613695.0,91532479032.0,91532479032.0,,,,,,,,,,,
161890,KOLMAR_Korea,화학,2017,Q2,"297,538,009,362","237,173,227,085","534,711,236,447","145,533,859,113","118,517,131,274","264,050,990,387","141,370,993,150","270,660,246,060",171097319532.0,15040939272.0,14273472024.0,11882775922.0,11882775922.0,,,,,,,,,,,
192820,COSMAX,화학,2017,Q2,"251,362,907,024","206,988,431,553","458,351,338,577","213,442,917,380","43,126,141,803","256,569,059,183","56,658,978,326","201,782,279,394",137660190546.0,6974860967.0,7840345642.0,6021608611.0,6021608611.0,,,,,,,,,,,
