Year,Quarter,sj_div,account_nm,thstrm_dt,thstrm_amount
2020,Q1,BS,유동자산,2020.03.31 현재,"71,491,037,046"
2020,Q1,BS,비유동자산,2020.03.31 현재,"487,575,045,208"
2020,Q1,BS,자산총계,2020.03.31 현재,"559,066,082,254"
2020,Q1,BS,유동부채,2020.03.31 현재,"83,155,943,652"
2020,Q1,BS,비유동부채,2020.03.31 현재,"13,177,191,649"
2020,Q1,BS,부채총계,2020.03.31 현재,"96,333,135,301"
2020,Q1,BS,자본금,2020.03.31 현재,"5,700,000,000"
2020,Q1,BS,이익잉여금,2020.03.31 현재,"448,579,638,558"
2020,Q1,BS,자본총계,2020.03.31 현재,"462,732,946,953"
2020,Q1,IS,매출액,2020.01.01 ~ 2020.03.31,33185491885
2020,Q1,IS,영업이익,2020.01.01 ~ 2020.03.31,731683256
2020,Q1,IS,법인세차감전 순이익,2020.01.01 ~ 2020.03.31,-67225695217
2020,Q1,IS,당기순이익,2020.01.01 ~ 2020.03.31,-52956488271
2020,Q1,IS,당기순이익(손실),2020.01.01 ~ 2020.03.31,-52956488271
2020,Q2,BS,유동자산,2020.06.30 현재,"89,171,502,934"
2020,Q2,BS,비유동자산,2020.06.30 현재,"531,032,098,480"
2020,Q2,BS,자산총계,2020.06.30 현재,"620,203,601,414"
2020,Q2,BS,유동부채,2020.06.30 현재,"114,989,573,019"
2020,Q2,BS,비유동부채,2020.06.30 현재,"13,134,378,258"
2020,Q2,BS,부채총계,2020.06.30 현재,"128,123,951,277"
2020,Q2,BS,자본금,2020.06.30 현재,"5,700,000,000"
2020,Q2,BS,이익잉여금,2020.06.30 현재,"480,823,133,932"
2020,Q2,BS,자본총계,2020.06.30 현재,"492,079,650,137"
2020,Q2,IS,매출액,2020.01.01 ~ 2020.06.30,34078917240
2020,Q2,IS,영업이익,2020.01.01 ~ 2020.06.30,808500547
2020,Q2,IS,법인세차감전 순이익,2020.01.01 ~ 2020.06.30,42189908340
2020,Q2,IS,당기순이익,2020.01.01 ~ 2020.06.30,32243495374
2020,Q2,IS,당기순이익(손실),2020.01.01 ~ 2020.06.30,32243495374
2020,Q3,BS,유동자산,2020.09.30 현재,"87,563,483,282"
2020,Q3,BS,비유동자산,2020.09.30 현재,"548,804,062,664"
2020,Q3,BS,자산총계,2020.09.30 현재,"636,367,545,946"
2020,Q3,BS,유동부채,2020.09.30 현재,"120,771,327,868"
2020,Q3,BS,비유동부채,2020.09.30 현재,"13,458,911,223"
2020,Q3,BS,부채총계,2020.09.30 현재,"134,230,239,091"
2020,Q3,BS,자본금,2020.09.30 현재,"5,700,000,000"
2020,Q3,BS,이익잉여금,2020.09.30 현재,"490,894,810,370"
2020,Q3,BS,자본총계,2020.09.30 현재,"502,137,306,855"
2020,Q3,IS,매출액,2020.01.01 ~ 2020.09.30,33661600345
2020,Q3,IS,영업이익,2020.01.01 ~ 2020.09.30,793487560
2020,Q3,IS,법인세차감전 순이익,2020.01.01 ~ 2020.09.30,13007684706
2020,Q3,IS,당기순이익,2020.01.01 ~ 2020.09.30,10071676438
2020,Q3,IS,당기순이익(손실),2020.01.01 ~ 2020.09.30,10071676438
2020,Q4,BS,유동자산,2020.12.31 현재,"83,311,410,388"
2020,Q4,BS,비유동자산,2020.12.31 현재,"509,974,267,613"
2020,Q4,BS,자산총계,2020.12.31 현재,"593,285,678,001"
2020,Q4,BS,유동부채,2020.12.31 현재,"67,575,323,100"
2020,Q4,BS,비유동부채,2020.12.31 현재,"4,938,241,792"
2020,Q4,BS,부채총계,2020.12.31 현재,"72,513,564,892"
2020,Q4,BS,자본금,2020.12.31 현재,"5,700,000,000"
2020,Q4,BS,이익잉여금,2020.12.31 현재,"509,453,809,160"
2020,Q4,BS,자본총계,2020.12.31 현재,"520,772,113,109"
2020,Q4,IS,매출액,2020.01.01 ~ 2020.12.31,35079284480
2020,Q4,IS,영업이익,2020.01.01 ~ 2020.12.31,493351221
2020,Q4,IS,법인세차감전 순이익,2020.01.01 ~ 2020.12.31,24995919668
2020,Q4,IS,당기순이익,2020.01.01 ~ 2020.12.31,18558998790
2020,Q4,IS,당기순이익(손실),2020.01.01 ~ 2020.12.31,18558998790
