접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160330003375,Y,00164636,HDC,소액주주,-,-,-,-,-,-,2015-12-31,2015,Q4
20170331005230,Y,00164636,HDC,소액주주,-,-,-,-,-,-,2016-12-31,2016,Q4
20180402004250,Y,00164636,HDC,소액주주,-,-,-,-,-,-,2017-12-31,2017,Q4
20210209000850,Y,00164636,HDC,소액주주,"23,826",-,99.92%,"26,298,861",-,44.02%,2018-12-31,2018,Q4
20210209000858,Y,00164636,HDC,소액주주,"28,829",-,99.94%,"27,582,310",-,46.17%,2019-12-31,2019,Q4
20210317001090,Y,00164636,HDC,소액주주,"38,125","38,153",99.92%,"24,379,907","53,312,408",45.73%,2020-12-31,2020,Q4
20220321001432,Y,00164636,HDC,소액주주,"47,750","47,757",99.99%,"30,426,807","59,741,721",50.93%,2021-12-31,2021,Q4
20230316001462,Y,00164636,HDC,소액주주,"42,376","42,384",99.98%,"27,966,451","59,741,721",46.81%,2022-12-31,2022,Q4
20240321000304,Y,00164636,HDC,소액주주,"37,923","37,931",99.98%,"25,728,496","59,741,721",43.07%,2023-12-31,2023,Q4
20250318001151,Y,00164636,HDC,소액주주,"29,549","29,560",99.96%,"21,482,851","59,741,721",35.96%,2024-12-31,2024,Q4
