접수번호,법인구분,회사코드,회사명,직원 수,총 급여액,1인평균급여,비고,결제일시,연도,분기
20160330001940,Y,00728638,한세실업,291,"19,141,068,000","65,777,000",-,2015-12-31,2015,Q4
20160330001940,Y,00728638,한세실업,377,"21,285,959,000","56,461,000",-,2015-12-31,2015,Q4
20170331003682,Y,00728638,한세실업,266,"18,584,194,000","69,865,000",-,2016-12-31,2016,Q4
20170331003682,Y,00728638,한세실업,357,"20,661,544,000","57,875,000",-,2016-12-31,2016,Q4
20180330000282,Y,00728638,한세실업,235,"16,615,359,000","70,704,000",-,2017-12-31,2017,Q4
20180330000282,Y,00728638,한세실업,360,"20,077,614,000","55,771,000",-,2017-12-31,2017,Q4
20190329003830,Y,00728638,한세실업,223,"17,012,223,000","76,288,000",-,2018-12-31,2018,Q4
20190329003830,Y,00728638,한세실업,378,"22,698,366,000","60,048,000",-,2018-12-31,2018,Q4
20200330004438,Y,00728638,한세실업,241,"17,900,988,000","74,278,000",-,2019-12-31,2019,Q4
20200330004438,Y,00728638,한세실업,403,"24,554,031,000","60,928,000",-,2019-12-31,2019,Q4
20211112000526,Y,00728638,한세실업,220,"17,547,205,000","77,135,000",-,2020-12-31,2020,Q4
20211112000526,Y,00728638,한세실업,348,"26,210,564,000","67,526,000",-,2020-12-31,2020,Q4
20220324000782,Y,00728638,한세실업,216,"16,530,447,000","76,499,000",-,2021-12-31,2021,Q4
20220324000782,Y,00728638,한세실업,345,"23,887,538,000","69,892,000",-,2021-12-31,2021,Q4
20230320000937,Y,00728638,한세실업,181,"15,026,190,000","75,371,000",-,2022-12-31,2022,Q4
20230320000937,Y,00728638,한세실업,327,"23,972,973,000","70,430,000",-,2022-12-31,2022,Q4
20240320000621,Y,00728638,한세실업,161,"13,942,077,000","80,832,000",-,2023-12-31,2023,Q4
20240320000621,Y,00728638,한세실업,294,"23,439,019,000","74,631,000",-,2023-12-31,2023,Q4
20250318000934,Y,00728638,한세실업,154,"12,516,910,000","78,437,000",-,2024-12-31,2024,Q4
20250318000934,Y,00728638,한세실업,289,"21,769,210,000","72,437,000",-,2024-12-31,2024,Q4
