접수번호,법인구분,회사코드,회사명,변동일,최대주주명,보유 주식 수,보유 지분율,변동원인,비고,결제일시,연도,분기
20160330001086,Y,00124504,포스코인터내셔널,-,-,-,-,-,-,2015-12-31,2015,Q4
20170331003834,Y,00124504,포스코인터내셔널,-,-,-,-,-,-,2016-12-31,2016,Q4
20180611000449,Y,00124504,포스코인터내셔널,-,-,-,-,-,-,2017-12-31,2017,Q4
20190401001008,Y,00124504,포스코인터내셔널,-,-,-,-,-,-,2018-12-31,2018,Q4
20200330002757,Y,00124504,포스코인터내셔널,-,-,-,-,-,-,2019-12-31,2019,Q4
20210305000796,Y,00124504,포스코인터내셔널,-,-,-,-,-,-,2020-12-31,2020,Q4
20220311001166,Y,00124504,포스코인터내셔널,-,-,-,-,-,-,2021-12-31,2021,Q4
20230310000736,Y,00124504,포스코인터내셔널,-,-,-,-,-,-,2022-12-31,2022,Q4
20240329001908,Y,00124504,포스코인터내셔널,-,-,-,-,-,-,2023-12-31,2023,Q4
20250314001718,Y,00124504,포스코인터내셔널,-,-,-,-,-,-,2024-12-31,2024,Q4
