Variable,VIF
const,1.1544696017153124
F_유동자산 변화율,1.0976106207053904
F_비유동자산 변화율,1.7058859324286781
F_자산총계 변화율,2.5967217699140352
F_유동부채 변화율,1.5790123826919318
F_비유동부채 변화율,1.2962740405305024
F_부채총계 변화율,2.969858249367066
F_이익잉여금 변화율,1.0160847480524928
F_자본총계 변화율,1.23855435837194
F_매출액 변화율,1.0183053688779462
F_영업이익 변화율,1.033795031652938
F_법인세차감전 순이익 변화율,1.1027460916602938
F_당기순이익(손실) 변화율,1.1088381942479177
M_소비자물가지수 변화율,1.3097976926929404
M_금리 변화율,3.0964313374075623
M_수출액 변화율,6.758090245514617
M_실업률 변화율,3.185787004096038
M_국제유가 변화율,3.5994544408570888
Relative Return,1.01414418403324
