,name,year,quarter,sector,Relative Return,국제유가 변화율,영업이익 변화율,부채총계 변화율,비유동자산 변화율,자본총계 변화율,당기순이익(손실) 변화율,Label,Code
32,하이트진로,2016,Q4,생활소비재,-0.17068264442794995,0.07425742574257432,0.5945980863061411,0.0059240144008561035,-0.04539864215488432,0.003149333770795737,1.1561944920314025,0.008827454099233585,000080
32,대림산업,2016,Q4,건설,-0.13911732572419963,0.07425742574257432,-0.631734228367981,0.037730571384379186,0.245349989686229,-0.0023878317318795084,-3.4807539410036314,-0.04877684289017979,000210
32,현대건설,2016,Q4,건설,0.01665776516054719,0.07425742574257432,0.5521103791601398,0.0011534637001027193,-0.024582035243341127,0.03617309184826767,0.7510697700520506,-0.0775925137133953,000720
32,CJ,2016,Q4,생활소비재,-0.06228555020128465,0.07425742574257432,-1.507780598108885,-0.5115601538842177,-0.0029915826804676193,0.0014896240139863348,-0.43830879223159,0.08616570802638535,001040
32,대상,2016,Q4,생활소비재,-0.27888938087563453,0.07425742574257432,-0.6610568037007278,0.0875491700333304,0.05000286677985821,0.014699641968033639,-0.8217672235197082,-0.0014950147294593014,001680
32,오리온,2016,Q4,생활소비재,-0.17317446296599925,0.07425742574257432,1.1705523407574985,-0.0844492334837108,-0.010088811730867397,0.06363068434894026,2.0733401055251224,0.027978559900321075,001800
32,KCC,2016,Q4,건설,-0.2071485078598309,0.07425742574257432,-0.61397610886999,0.029587879986948673,-0.053048630772714045,-0.0474361893502272,-1.32949897802654,-0.054690556496670914,002380
32,아모레G,2016,Q4,생활소비재,-0.3155265935223543,0.07425742574257432,5.94840716503445,-0.011646533927661795,-0.0009515157808068775,-0.002792161117715075,2.250603977012336,0.17803149956341605,002790
32,한일시멘트,2016,Q4,건설,0.1901894167030761,0.07425742574257432,0.11372150549171689,-0.17322283144209838,-0.09829025257893786,0.04629759129273414,-3.7712877094125195,0.17624072955812897,003300
32,남양유업,2016,Q4,생활소비재,0.1127092949915663,0.07425742574257432,-0.050865889816780974,0.07246816804818668,-0.03123044619619475,0.017232223001516722,0.4459613870663428,0.0280128958658215,003920
32,농심,2016,Q4,생활소비재,-0.12867600189882653,0.07425742574257432,0.2375492303198128,0.04403045515508164,0.011920345819755651,0.0060661360339018255,0.004688513944910211,0.053451118845538895,004370
32,빙그레,2016,Q4,생활소비재,-0.039775037143353675,0.07425742574257432,-1.1106541645203827,-0.22830464897410152,-0.011338339105857798,-0.004381350905932058,-1.1793023694982006,0.010195139951130222,005180
32,롯데칠성,2016,Q4,생활소비재,-0.208945235739463,0.07425742574257432,-0.9025448676583396,0.03625398232987065,0.0074899873225373614,-0.027142960925605863,-3.2648444007048965,0.18490208706588046,005300
32,현대그린푸드,2016,Q4,생활소비재,-0.18310686026381745,0.07425742574257432,-0.2556593681390432,-0.21155892163717516,-0.016114039097194555,-0.004397573980799874,-0.22405551970678783,-0.018718508791556884,005440
32,삼립식품,2016,Q4,생활소비재,0.15027343740866905,0.07425742574257432,1.8195132077132818,0.09354667350754031,0.03423376449459181,0.020488702147476667,1.891118483478949,-0.05828595940424144,005610
32,크라운제과,2016,Q4,생활소비재,0.03330212457718697,0.07425742574257432,0.19524440796007791,0.045664932978127126,0.004904479453922583,0.0067414913954599864,0.8308999435556443,0.0,005740
32,GS리테일,2016,Q4,생활소비재,-0.04133650312588509,0.07425742574257432,-0.6378310957966427,-0.21833429191693587,0.016861409222990842,0.06323523895317584,1.2208332227145307,0.012463982432955698,007070
32,오뚜기,2016,Q4,생활소비재,0.04818200962376175,0.07425742574257432,-0.6341590848788383,-0.027791486835656465,0.06412917918282268,0.024052659967940038,-0.28154623824596503,-0.0016605484100455162,007310
32,아이에스동서,2016,Q4,건설,-0.15739864160906342,0.07425742574257432,0.17854701849090127,0.026291056618072517,0.19145076129796323,0.08385135287715606,0.3813589542712763,-0.04969911223983275,010780
32,현대산업,2016,Q4,건설,-0.29298896140738145,0.07425742574257432,-0.11376401513649037,0.06544449273760278,0.02701776346884044,0.02091079284423203,-0.2985605645873587,0.05333080336953553,012630
32,한국전력,2016,Q4,생활소비재,-0.09982619946331711,0.07425742574257432,-1.0221304486067753,0.021732045194793992,0.004745829788893374,-0.0024112613104536607,-1.107113261027892,-0.1303947848014619,015760
32,삼성엔지니어링,2016,Q4,건설,0.1877029336552789,0.07425742574257432,0.05983395304708039,0.02539404383836752,0.013342843655157255,-0.1513034928274678,-3.3611783366800814,-0.10751161223983274,028050
32,KT&G,2016,Q4,생활소비재,-0.18682754603796783,0.07425742574257432,-0.13376435959057187,0.4163644097535151,0.032014009805027,0.05069261936732894,0.7258245430379655,0.029667874939654428,033780
32,무학,2016,Q4,생활소비재,-0.1610136296638855,0.07425742574257432,0.06044625717439844,0.15012934168848924,0.0407633943235437,0.02348317946761269,-0.815584256475536,-0.044411175558610044,033920
32,한국가스공사,2016,Q4,생활소비재,-0.08167581703302781,0.07425742574257432,-2.0798515689817316,0.02377573485381035,-0.011484497835075658,-0.1591897305306177,27.932980116240035,0.017709626698220356,036460
32,팜스코,2016,Q4,생활소비재,-0.056758347454124905,0.07425742574257432,-0.6926888839461732,-0.11176154694431295,0.006434146787518635,-0.022748098959007645,-1.3600672755750858,-0.05020742474204881,036580
32,대우건설,2016,Q4,건설,-0.028748295485192324,0.07425742574257432,-8.47635924428269,0.07231550698396205,0.04649327031831718,-0.2483487058687769,-27.468005534433864,0.017384365568766415,047040
32,동원F&B,2016,Q4,생활소비재,0.012064274627888005,0.07425742574257432,-1.047653731958844,0.15288705907667421,-0.004594730123672397,-0.007289306214766089,-1.066206520380124,0.0989024494119185,049770
32,LG생활건강,2016,Q4,생활소비재,-0.14670661495958995,0.07425742574257432,-0.3014829032526236,-0.050069797765684654,0.03966630321248821,0.03519099125280367,-0.5686188973162247,0.11507100709921253,051900
32,한전기술,2016,Q4,건설,0.029857739630720317,0.07425742574257432,15.323901817072649,-0.11650580845826564,-0.009842301607977944,-0.05089606399306623,0.7666631662824277,-0.2067921877794011,052690
32,에이블씨엔씨,2016,Q4,생활소비재,0.13080745708407376,0.07425742574257432,134.7280927092502,0.3677787356430866,-0.016892946222105354,0.05417112762478005,-4.424320226949359,0.13429772545505658,078520
32,아모레퍼시픽,2016,Q4,생활소비재,-0.33883019855786173,0.07425742574257432,-0.4669413480889092,-0.00555631874412843,0.07692301559103587,0.016719527951228885,-0.22262165825935532,0.16589264307931617,090430
32,CJ제일제당,2016,Q4,생활소비재,-0.1466937667737538,0.07425742574257432,-0.7625759289343758,0.13684361013213397,0.07689402240499743,0.008911252473925657,-0.7528258587236004,-0.05189363471174286,097950
32,LG하우시스,2016,Q4,건설,-0.0411936734727648,0.07425742574257432,0.2878114220007666,-0.1431091030143118,0.020883339770765286,0.017624607943165893,3.542243628336344,-0.032759136992307994,108670
32,락앤락,2016,Q4,생활소비재,-0.097978548455144,0.07425742574257432,0.4187584406154503,0.1269468329169261,0.03509866835319908,0.004658368337543184,-0.8733324495369823,-0.0750493671288299,115390
32,이마트,2016,Q4,생활소비재,0.001773946808808033,0.07425742574257432,-0.3401496188041405,-0.007720500192945012,0.02012291803356714,0.011522876233952761,-0.7581397888009005,0.03623838776016725,139480
32,삼양사,2016,Q4,생활소비재,-0.2081990990132944,0.07425742574257432,-1.1479909826282986,0.06848800579359082,-0.03617865082460592,-0.006536482593962556,-1.0299198250728863,-0.04819484205349735,145990
32,한국콜마,2016,Q4,생활소비재,-0.164350161287377,0.07425742574257432,0.24394853208731737,0.08184217397563365,0.13788343708507478,0.04955402958848931,0.5184340293445722,0.08648838776016723,161890
32,코스맥스,2016,Q4,생활소비재,-0.038787551117069954,0.07425742574257432,-0.1100738038623218,-0.07429747316240276,0.08723822845767848,1.0207078535102387,0.6624312699029178,-0.09780248980519052,192820
