trade_start,trade_end,score,open_price,close_price,change_ratio,confusion_label
2021-01-06,2021-01-06,-1.0,28950,28950,0.0,NP
2021-02-02,2021-02-22,0.0,27150,27450,0.011,
2021-03-11,2021-03-11,0.0,28050,28000,-0.0018,
2021-04-06,2021-04-06,0.0,32900,33050,0.0046,
2021-05-05,2021-05-25,0.0,33300,40800,0.2252,
2021-06-22,2021-06-22,0.0,41850,42450,0.0143,
2021-07-11,2021-07-11,0.0,42800,41800,-0.0234,
2021-08-03,2021-08-31,1.0,41900,37600,-0.1026,PN
2021-10-13,2021-10-22,0.0,37550,42950,0.1438,
2021-11-09,2021-11-24,1.0,43900,41700,-0.0501,PN
2022-01-24,2022-01-24,0.0,34150,33400,-0.022,
2022-02-02,2022-02-15,0.0,33000,32250,-0.0227,
2022-03-14,2022-03-31,0.0,44650,41800,-0.0638,
2022-04-15,2022-04-15,0.0,40900,40350,-0.0134,
2022-05-12,2022-05-18,0.0,37200,36200,-0.0269,
2022-06-08,2022-06-27,2.0,37350,37050,-0.008,PN
2022-07-11,2022-07-11,0.0,38250,38250,0.0,
2022-08-11,2022-08-29,2.0,42000,40900,-0.0262,PN
2022-09-02,2022-09-19,1.0,39550,36050,-0.0885,PN
2022-10-06,2022-10-21,0.0,34050,31700,-0.069,
2022-11-14,2022-11-23,1.0,34400,34750,0.0102,PP
2022-12-15,2022-12-22,1.0,34600,35300,0.0202,PP
2023-01-10,2023-01-31,1.0,33400,34600,0.0359,PP
2023-02-12,2023-02-12,0.0,33350,32700,-0.0195,
2023-03-01,2023-03-08,1.0,32300,35900,0.1115,PP
2023-04-16,2023-04-24,1.0,37200,37200,0.0,PP
2023-05-22,2023-05-22,0.0,35000,35350,0.01,
2023-06-15,2023-06-28,1.0,33800,33200,-0.0178,PN
2023-07-01,2023-07-26,0.0,33400,32250,-0.0344,
2023-08-08,2023-08-31,1.0,34050,33550,-0.0147,PN
2023-09-14,2023-09-18,1.0,32900,32950,0.0015,PP
2023-10-04,2023-10-19,0.0,32750,33750,0.0305,
2023-11-05,2023-11-28,2.0,33450,34550,0.0329,PP
2023-12-05,2023-12-26,0.0,34900,36000,0.0315,
2024-01-11,2024-01-16,1.0,33600,33900,0.0089,PP
2024-02-06,2024-02-23,1.0,34600,37550,0.0853,PP
2024-03-14,2024-03-28,-2.0,37900,36300,-0.0422,NN
2024-04-24,2024-04-24,1.0,34500,34300,-0.0058,PN
2024-05-02,2024-05-09,1.0,35100,35900,0.0228,PP
2024-06-03,2024-06-27,3.0,37150,37150,0.0,PP
2024-07-12,2024-07-31,1.0,36450,39350,0.0796,PP
2024-08-01,2024-08-30,2.0,39500,41650,0.0544,PP
2024-09-13,2024-09-26,2.0,42450,42800,0.0082,PP
2024-10-07,2024-10-29,2.0,43050,44800,0.0407,PP
2024-11-04,2024-11-26,3.0,43650,47150,0.0802,PP
2024-12-01,2024-12-22,2.0,47000,47200,0.0043,PP
2025-01-02,2025-01-21,1.0,44150,45750,0.0362,PP
2025-02-05,2025-02-24,-2.0,46800,43100,-0.0791,NN
2025-03-13,2025-03-27,2.0,41300,41650,0.0085,PP
