trade_start,trade_end,score,open_price,close_price,change_ratio,confusion_label
2021-01-03,2021-01-29,2.0,646161,718610,0.1121,PP
2021-02-17,2021-02-24,0.0,799869,672595,-0.1591,
2021-03-03,2021-03-27,0.0,672595,633434,-0.0582,
2021-04-13,2021-04-28,1.0,651056,653015,0.003,PP
2021-05-04,2021-05-26,-1.0,616790,623644,0.0111,NP
2021-06-03,2021-06-27,0.0,595251,673574,0.1316,
2021-07-07,2021-07-27,2.0,733295,744065,0.0147,PP
2021-08-03,2021-08-31,1.0,735253,776373,0.0559,PP
2021-09-01,2021-09-29,0.0,776373,694134,-0.1059,
2021-10-10,2021-10-23,2.0,672595,721547,0.0728,PP
2021-11-03,2021-11-15,2.0,716652,738191,0.0301,PP
2021-12-07,2021-12-21,2.0,686301,631476,-0.0799,PN
2022-01-03,2022-01-23,4.0,649098,669658,0.0317,PP
2022-02-05,2022-02-20,1.0,576649,543363,-0.0577,PN
2022-03-04,2022-03-16,0.0,536509,487558,-0.0912,
2022-04-03,2022-04-28,2.0,563922,585461,0.0382,PP
2022-05-02,2022-05-30,-2.0,591335,568818,-0.0381,NN
2022-06-07,2022-06-23,-1.0,550215,521824,-0.0516,NN
2022-07-09,2022-07-27,2.0,527698,544342,0.0315,PP
2022-08-01,2022-08-23,2.0,557069,574692,0.0316,PP
2022-09-05,2022-09-26,0.0,564901,584482,0.0347,
2022-10-03,2022-10-27,1.0,538467,711757,0.3218,PP
2022-11-03,2022-11-10,0.0,695113,709799,0.0211,
2022-12-06,2022-12-18,-1.0,670637,653015,-0.0263,NN
2023-01-11,2023-01-30,3.0,605041,672595,0.1117,PP
2023-02-12,2023-02-28,1.0,713715,681407,-0.0453,PN
2023-03-06,2023-03-29,1.0,732315,719589,-0.0174,PN
2023-04-13,2023-04-25,2.0,737211,691197,-0.0624,PN
2023-05-14,2023-05-24,1.0,652035,699029,0.0721,PP
2023-06-14,2023-06-30,0.0,724484,654973,-0.0959,
2023-07-05,2023-07-24,1.0,700008,697071,-0.0042,PN
2023-08-10,2023-08-17,0.0,613853,595252,-0.0303,
2023-09-05,2023-09-30,2.0,598188,501264,-0.162,PN
2023-10-03,2023-10-26,2.0,473361,414131,-0.1251,PN
2023-11-10,2023-11-29,0.0,418046,461614,0.1042,
2023-12-07,2023-12-27,1.0,429795,445949,0.0376,PP
2024-01-02,2024-01-15,0.0,459166,391613,-0.1471,
2024-02-06,2024-02-20,-1.0,374479,386718,0.0327,NP
2024-03-05,2024-03-25,0.0,363220,475810,0.31,
2024-04-02,2024-04-23,2.0,443502,398466,-0.1015,PN
2024-05-02,2024-05-14,1.0,428816,429306,0.0011,PP
2024-06-03,2024-06-21,1.0,367136,380843,0.0373,PP
2024-07-04,2024-07-24,1.0,363709,326507,-0.1023,PN
2024-08-07,2024-08-29,2.0,305457,350983,0.149,PP
2024-09-06,2024-09-30,-2.0,359794,370564,0.0299,NP
2024-10-13,2024-10-30,1.0,357835,331892,-0.0725,PN
2024-11-06,2024-11-28,-1.0,314269,266297,-0.1526,NN
2024-12-02,2024-12-31,-3.0,253569,242310,-0.0444,NN
2025-01-03,2025-01-26,-5.0,230072,221751,-0.0362,NN
2025-02-04,2025-02-24,-2.0,206086,241821,0.1734,NP
2025-03-03,2025-03-25,-1.0,217345,197764,-0.0901,NN
