year,quarter,disclosure_date,code,name,sector,prediction,reason
2021,Q4,2022-03-18,120,CJ대한통운,산업재,down,"요약본에서는 CJ대한통운 관련 대리점들이 부당 노동 행위를 했다는 주장이 있으며, 이는 노동 분쟁과 법적 문제로 인해 회사의 평판과 운영에 부정적인 영향을 미칠 수 있습니다."
2021,Q4,2022-03-22,150,두산,산업재,irrelevant,"요약본에서는 두산 그룹의 다양한 투자 기회와 관련된 내용이 언급되었으나, 특정한 경제적 또는 금융적 이슈가 두산(000150)의 주가에 직접적인 영향을 미친다는 명확한 정보는 제공되지 않았습니다."
2021,Q4,2022-03-16,1120,LG상사,산업재,irrelevant,"요약본에서는 LG상사(001120)와 직접적으로 관련된 정보가 없으며, 주로 핵에너지 부문과 새로운 주식 추천에 대한 내용이 포함되어 있어 LG상사의 주가에 직접적인 영향을 미치지 않을 것으로 보입니다."
2021,Q4,2022-03-15,3490,대한항공,산업재,up,"요약본에서는 대한항공의 재정 상태 개선과 팬데믹 이후 항공기 확장, 장거리 및 프리미엄 노선의 수요 회복 기대가 언급되어 주가에 긍정적인 영향을 줄 수 있습니다."
2021,Q4,2022-02-18,3570,S&T중공업,산업재,,
2021,Q4,2022-03-21,6260,LS,산업재,,
2021,Q4,2022-03-18,10120,LS산전,산업재,,
2021,Q4,2022-03-21,11200,현대상선,산업재,up,"요약본에서는 외국인 투자 증가, 강력한 재무 성과, 경쟁 우위 및 시장에서의 긍정적인 인식이 언급되어 있어 주가에 긍정적인 영향을 줄 수 있습니다."
2021,Q4,2022-03-17,25540,한국단자,산업재,,
2021,Q4,2022-03-14,47050,대우인터내셔널,산업재,irrelevant,요약본은 대우인터내셔널(047050)과 직접적인 관련이 없는 포스코인터내셔널의 환경 문제와 국제적 반응에 대한 내용입니다. 따라서 대우인터내셔널의 주가에 직접적인 영향을 미칠 정보가 없습니다.
2021,Q4,2022-03-22,47810,한국항공우주,산업재,up,"영상에서는 우크라이나 분쟁으로 인한 방위 및 항공우주 산업의 기회 증가와 한국항공우주(KAI)의 유망성을 강조하고 있으며, 새로운 정부의 항공우주 산업 발전 계획도 언급되어 주가에 긍정적인 영향을 줄 수 있습니다."
2021,Q4,2022-03-21,51600,한전KPS,산업재,irrelevant,"요약본에서는 한전KPS(051600)와 직접적으로 관련된 정보가 없으며, 주가에 영향을 미칠 만한 특정한 내용이 언급되지 않았습니다."
2021,Q4,2022-03-15,86280,현대글로비스,산업재,irrelevant,"요약본은 현대의 중고차 시장 진입과 관련된 내용으로, 현대글로비스와 직접적인 관련이 없으며, 주가에 영향을 미칠 만한 정보가 포함되어 있지 않습니다."
2021,Q4,2022-03-22,660,SK하이닉스,정보기술,up,"요약본에서는 DDR5 기술의 상용화와 서버 수요 증가가 SK하이닉스의 미래 성장에 긍정적인 영향을 미칠 것으로 예상되며, 현재의 시장 하락은 기술 발전에 따른 미래 반등의 기회로 여겨집니다."
2021,Q4,2022-03-21,3550,LG,정보기술,,
2021,Q4,2022-03-15,4710,한솔테크닉스,정보기술,,
2021,Q4,2022-03-08,5930,삼성전자,정보기술,up,"요약본에서는 삼성전자가 반도체 시장에서의 강력한 위치와 성장 전략을 강조하고 있으며, 특히 NAND 플래시 메모리 시장의 혼란이 삼성전자에 유리하게 작용할 수 있음을 언급하고 있습니다. 또한, 파운드리 사업에 대한 대규모 투자가 주가에 긍정적인 영향을 미칠 수 있습니다."
2021,Q4,2022-03-08,6400,삼성SDI,정보기술,down,"요약본에서는 삼성SDI가 반도체 부족과 지정학적 긴장으로 인한 생산 문제에 직면하고 있으며, 러시아 제재가 한국 기업에 미치는 영향을 언급하고 있어 주가에 부정적인 영향을 미칠 수 있습니다."
2021,Q4,2022-03-17,8060,대덕전자,정보기술,,
2021,Q4,2022-03-08,9150,삼성전기,정보기술,,
2021,Q4,2022-02-23,11070,LG이노텍,정보기술,up,요약본에 따르면 LG이노텍은 증강 현실 및 메타버스 하드웨어 분야에서의 성장과 자율주행차 부품 공급을 통해 매출 성장을 기대하고 있습니다. 이러한 새로운 사업 분야에서의 긍정적인 전망이 주가에 긍정적인 영향을 미칠 수 있습니다.
2021,Q4,2022-03-08,18260,삼성에스디에스,정보기술,down,"요약본에서는 삼성에스디에스의 주가가 현재 시장 상황에서 부진하며, 추가 하락 가능성이 있다는 점이 언급되었습니다. 또한, 삼성전자와 같은 대형주의 시장 변화가 필요하다는 점에서 주가에 부정적인 영향을 미칠 수 있습니다."
2021,Q4,2022-03-18,20150,일진머티리얼즈,정보기술,irrelevant,"요약본에서는 일진머티리얼즈와 직접적으로 관련된 정보가 없으며, 주로 시장 변동성, 투자 전략, 반도체 및 2차 전지 산업에 대한 일반적인 논의가 포함되어 있습니다. 따라서 일진머티리얼즈의 주가에 직접적인 영향을 미칠 만한 내용은 없습니다."
2021,Q4,2022-03-07,29530,신도리코,정보기술,,
2021,Q4,2022-03-13,34220,LG디스플레이,정보기술,irrelevant,요약본에서는 LG디스플레이의 주가에 직접적인 영향을 미칠 수 있는 구체적인 정보나 분석이 포함되어 있지 않습니다. 주로 기술적 분석 방법론과 다른 회사들의 주가 움직임에 대한 내용이 중심입니다.
2021,Q4,2022-03-17,34730,SK,정보기술,irrelevant,요약본은 SK(034730)와 관련된 정보가 없으므로 주가에 직접적인 영향을 미치지 않습니다.
2021,Q4,2022-03-03,42700,한미반도체,정보기술,up,"요약본에서 반도체 시장의 긍정적인 흐름과 금리 인상 조정으로 인한 기술주 반등이 언급되어, 한미반도체와 같은 반도체 관련 주식에 긍정적인 영향을 미칠 수 있습니다."
2021,Q4,2022-03-11,66570,LG전자,정보기술,up,LG전자가 특허 보유 및 수익화 전략을 모색하고 있다는 점에서 주가에 긍정적인 영향을 미칠 수 있습니다. 이는 모바일 사업 철수 이후 새로운 수익 창출 기회를 탐색하는 것으로 보입니다.
