year,quarter,disclosure_date,code,name,sector,prediction,reason
2016,Q2,2016-08-16,120,CJ대한통운,산업재,up,"요약본에서는 CJ대한통운이 포함된 택배 시장의 성장과 매출 증가가 언급되어 있으며, 이는 주가에 긍정적인 영향을 줄 수 있습니다."
2016,Q2,2016-08-16,150,두산,산업재,up,"요약본에서는 두산이 두산밥캣의 IPO를 통해 약 1조 원을 조달할 것으로 예상되며, 이는 두산의 글로벌 소형 건설 장비 시장에서의 입지를 강화하려는 전략의 일환으로 보입니다. 이러한 IPO는 두산의 주가에 긍정적인 영향을 미칠 수 있습니다."
2016,Q2,2016-08-16,1120,LG상사,산업재,,
2016,Q2,2016-08-12,3490,대한항공,산업재,down,요약본에서는 대한항공의 경영진에 대한 세무조사 요구와 관련된 부정적인 이슈가 언급되어 있어 주가에 부정적인 영향을 미칠 수 있습니다.
2016,Q2,2016-08-04,3570,S&T중공업,산업재,,
2016,Q2,2016-08-12,6260,LS,산업재,up,"요약본에서는 LS전선아시아의 상장과 관련된 긍정적인 소식이 포함되어 있으며, 이는 LS그룹의 현금화와 베트남 현지 생산공장 및 설비 건설에 긍정적인 영향을 미칠 수 있어 주가에 긍정적인 영향을 줄 수 있습니다."
2016,Q2,2016-08-12,10120,LS산전,산업재,up,"요약본에서는 LS산전이 에너지 효율을 높이고 환경 개선을 위한 다양한 기술과 솔루션을 제공하고 있으며, 국내 첫 BEMS 설치확인서 취득과 같은 성과를 이루었다고 언급되어 있습니다. 이러한 기술적 성과와 혁신은 주가에 긍정적인 영향을 줄 수 있습니다."
2016,Q2,2016-08-12,11200,현대상선,산업재,down,"요약본에서는 현대상선의 공매도 논란과 주가 급락에 대한 내용이 포함되어 있으며, 이는 주가에 부정적인 영향을 미칠 수 있는 요소로 판단됩니다."
2016,Q2,2016-08-16,25540,한국단자,산업재,,
2016,Q2,2016-08-12,47050,포스코대우,산업재,up,"포스코대우가 인도네시아 최대 국영조선소와 대규모 기자재 공급 합의서를 체결하고, 과거 성공적인 기술 이전 경험을 바탕으로 사업을 확대할 계획이므로 주가에 긍정적인 영향을 줄 수 있습니다."
2016,Q2,2016-08-16,47810,한국항공우주,산업재,down,"요약본에는 한국항공우주(047810)와 관련된 구체적인 정보가 없으므로 주가에 대한 판단을 내리기에는 정보가 부족하지만, 기본적인 판단으로 하락을 선택했습니다."
2016,Q2,2016-08-16,51600,한전KPS,산업재,,
2016,Q2,2016-08-16,86280,현대글로비스,산업재,down,"요약본은 일감 몰아주기 규제와 관련된 내용이지만, 현대글로비스의 주가에 직접적인 영향을 미칠 수 있는 구체적인 정보는 부족합니다. 따라서 기본적으로 부정적인 판단을 내렸습니다."
