year,quarter,disclosure_date,code,name,sector,prediction,reason
2022,Q4,2023-03-21,660,SK하이닉스,정보기술,down,"요약본에서는 SK하이닉스의 단기적인 부진과 2023년의 손실 전망이 언급되어 있으며, 투자자들에게는 보유를 유지하되 추가 매수는 권장하지 않는다는 내용이 포함되어 있어 주가에 부정적인 영향을 줄 수 있습니다."
2022,Q4,2023-03-21,3550,LG,정보기술,down,"요약본은 LG의 기업 구조, 재무 성과, 시장 위치 및 평가에 대한 정보를 제공하지만, 주가에 직접적인 영향을 미칠 수 있는 구체적인 경제적 또는 금융적 이슈에 대한 정보는 부족합니다. 따라서 정보가 불충분하여 기본적으로 하락으로 판단했습니다."
2022,Q4,2023-03-20,4710,한솔테크닉스,정보기술,up,요약본에서는 한솔테크닉스의 전자 부품 및 태양광 제품에 대한 집중과 반도체 부문에서의 성장 가능성이 언급되어 주가에 긍정적인 영향을 줄 수 있습니다.
2022,Q4,2023-03-07,5930,삼성전자,정보기술,up,"요약본에서는 삼성전자의 반도체 부문, 특히 DRAM 수요 증가가 예상되며, 시장이 회복될 때 삼성전자를 매수하는 것이 수익성이 있을 수 있다고 언급되어 주가에 긍정적인 영향을 줄 수 있습니다."
2022,Q4,2023-03-07,6400,삼성SDI,정보기술,up,"삼성SDI가 GM과의 파트너십을 통해 미국에 합작 회사를 설립하는 것은 긍정적인 전략적 움직임으로, 이는 주가에 긍정적인 영향을 미칠 수 있습니다."
2022,Q4,2023-03-16,8060,대덕,정보기술,,
2022,Q4,2023-03-07,9150,삼성전기,정보기술,up,"요약본에서 삼성전기(삼성전기)에 대한 긍정적인 기관 투자와 긍정적인 보고서가 언급되었으며, 장기 보유에 유리하다는 평가가 있어 주가에 긍정적인 영향을 줄 수 있습니다."
2022,Q4,2023-02-22,11070,LG이노텍,정보기술,up,"요약본에서는 LG이노텍이 XR 기기와 자율주행 분야에서 강력한 성장 잠재력을 가지고 있으며, 2022년 기록적인 실적을 바탕으로 주가가 저평가되어 있다고 언급되어 주가에 긍정적인 영향을 줄 수 있습니다."
2022,Q4,2023-03-07,18260,삼성에스디에스,정보기술,up,"삼성SDS가 베트남 시장에 디지털물류 플랫폼 '첼로스퀘어'를 출시하며, 베트남의 글로벌 생산허브로서의 입지가 강화되고 있다는 점이 긍정적으로 작용할 수 있습니다. 또한, 미중무역분쟁으로 인한 탈중국 추세로 베트남 물류사업 확대가 예상되어 주가에 긍정적인 영향을 줄 수 있습니다."
2022,Q4,2023-03-23,20150,롯데에너지머티리얼즈,정보기술,up,"영상에서는 롯데에너지머티리얼즈가 말레이시아 정부와의 관계를 강화하고, 안정적인 인프라를 활용하여 사업을 확장할 가능성이 언급되어 주가에 긍정적인 영향을 줄 수 있습니다."
2022,Q4,2023-03-12,29530,신도리코,정보기술,down,"요약본에서는 신도리코의 핵심 제품 부문인 다기능 프린터의 매출 정체와 3D 프린터 매출 감소로 인해 전반적인 사업 성장이 정체되었다고 언급하고 있습니다. 또한, 운영 이익률이 감소하고 있어 주가에 부정적인 영향을 미칠 수 있습니다."
2022,Q4,2023-03-09,34220,LG디스플레이,정보기술,up,요약본에서는 LG디스플레이가 LCD TV 사업을 축소하고 OLED 기술을 기반으로 새로운 시장을 적극 공략하며 사업구조를 고도화하려는 계획을 강조하고 있습니다. 이러한 전략적 전환은 회사의 수익성 개선과 성장 가능성을 높일 수 있어 주가에 긍정적인 영향을 미칠 수 있습니다.
2022,Q4,2023-03-20,34730,SK,정보기술,down,요약본에는 SK(034730)의 주가에 직접적인 영향을 미칠 만한 정보가 부족합니다. 따라서 기본적으로 주가 하락으로 판단했습니다.
2022,Q4,2023-03-15,42700,한미반도체,정보기술,,
2022,Q4,2023-03-13,66570,LG전자,정보기술,down,"요약본에는 LG전자의 재생에너지 전환 계획과 관련된 내용이 포함되어 있으나, 주가에 직접적인 영향을 미칠 수 있는 구체적인 정보는 부족합니다. 따라서 기본적으로 주가에 부정적인 영향을 미친다고 판단했습니다."
