code,name,sector,year,quarter,upload_date,disclosure_date,price_upload,price_closure,prediction,label
000120,CJ대한통운,산업재,2016,Q1,2016-05-09,2016-05-16,206000.0,210500,up,down
000120,CJ대한통운,산업재,2016,Q2,2016-08-10,2016-08-16,217500.0,210500,up,up
000120,CJ대한통운,산업재,2016,Q3,2016-11-09,2016-11-14,199500.0,190500,up,up
000120,CJ대한통운,산업재,2016,Q4,2017-03-27,2017-03-31,171000.0,166500,up,up
000120,CJ대한통운,산업재,2017,Q1,2017-05-12,2017-05-15,184000.0,176500,down,up
000120,CJ대한통운,산업재,2017,Q2,2017-08-08,2017-08-14,180000.0,169000,down,up
000120,CJ대한통운,산업재,2017,Q3,2017-11-08,2017-11-14,158500.0,154500,up,up
000120,CJ대한통운,산업재,2017,Q4,2018-03-29,2018-04-02,130500.0,138000,up,down
000120,CJ대한통운,산업재,2018,Q1,2018-05-11,2018-05-15,165500.0,171500,up,down
000120,CJ대한통운,산업재,2018,Q2,2018-08-08,2018-08-14,152500.0,144500,down,up
000120,CJ대한통운,산업재,2018,Q3,2018-11-12,2018-11-14,155500.0,150000,down,up
000120,CJ대한통운,산업재,2018,Q4,2019-03-29,2019-04-01,161500.0,169500,up,down
000120,CJ대한통운,산업재,2019,Q1,2019-05-08,2019-05-15,161500.0,154000,down,up
000120,CJ대한통운,산업재,2019,Q2,2019-08-08,2019-08-14,131000.0,142000,up,down
000120,CJ대한통운,산업재,2019,Q3,2019-11-12,2019-11-14,157500.0,159000,down,down
000120,CJ대한통운,산업재,2019,Q4,2020-03-29,2020-03-30,129500.0,132500,down,down
000120,CJ대한통운,산업재,2020,Q1,2020-05-12,2020-05-15,143000.0,148500,up,down
000120,CJ대한통운,산업재,2020,Q2,2020-08-12,2020-08-14,154500.0,154000,down,up
000120,CJ대한통운,산업재,2020,Q3,2020-11-12,2020-11-16,158000.0,159500,up,down
000120,CJ대한통운,산업재,2020,Q4,2021-03-16,2021-03-19,172000.0,169500,down,up
000120,CJ대한통운,산업재,2021,Q1,2021-05-07,2021-05-14,170000.0,170000,down,down
000120,CJ대한통운,산업재,2021,Q2,2021-08-11,2021-08-17,169000.0,166000,up,up
000120,CJ대한통운,산업재,2021,Q3,2021-11-08,2021-11-15,144500.0,140000,down,up
000120,CJ대한통운,산업재,2021,Q4,2022-03-11,2022-03-18,133000.0,135500,down,down
000120,CJ대한통운,산업재,2022,Q1,2022-05-11,2022-05-16,121500.0,131500,up,down
000120,CJ대한통운,산업재,2022,Q2,2022-08-11,2022-08-16,125500.0,128000,up,down
000120,CJ대한통운,산업재,2022,Q3,2022-11-08,2022-11-14,87900.0,90000,down,down
000120,CJ대한통운,산업재,2022,Q4,2022-11-14,2023-03-17,86600.0,78900,down,up
000120,CJ대한통운,산업재,2023,Q1,2023-05-11,2023-05-15,82900.0,81400,up,up
000120,CJ대한통운,산업재,2023,Q2,2023-08-11,2023-08-14,80500.0,81300,up,down
000120,CJ대한통운,산업재,2023,Q3,2023-11-12,2023-11-14,79600.0,79500,up,up
000120,CJ대한통운,산업재,2023,Q4,2024-03-11,2024-03-15,127600.0,124600,up,up
000120,CJ대한통운,산업재,2024,Q1,2024-05-11,2024-05-16,119400.0,114600,down,up
000120,CJ대한통운,산업재,2024,Q2,2024-08-13,2024-08-14,100300.0,96000,up,up
000120,CJ대한통운,산업재,2024,Q3,2025-04-29,2024-11-14,82600.0,78900,up,up
000150,두산,산업재,2016,Q1,2016-05-10,2016-05-16,78380.0,76253,up,up
000150,두산,산업재,2016,Q2,2016-08-12,2016-08-16,89408.0,87833,up,up
000150,두산,산업재,2016,Q3,2016-11-11,2016-11-14,84288.0,90196,up,down
000150,두산,산업재,2016,Q4,2017-03-28,2017-03-31,74047.0,74599,up,down
000150,두산,산업재,2017,Q1,2017-05-10,2017-05-15,78380.0,80743,up,down
000150,두산,산업재,2017,Q2,2017-08-10,2017-08-11,104375.0,103587,up,up
000150,두산,산업재,2017,Q3,,2017-11-14,,105557,,
000150,두산,산업재,2017,Q4,2018-03-23,2018-03-30,85863.0,83894,up,up
000150,두산,산업재,2018,Q1,2018-05-11,2018-05-15,94134.0,94528,down,down
000150,두산,산업재,2018,Q2,2018-08-07,2018-08-14,85469.0,85863,up,down
000150,두산,산업재,2018,Q3,2018-11-11,2018-11-14,98073.0,100042,up,down
000150,두산,산업재,2018,Q4,2019-03-28,2019-03-29,75465.0,72944,up,up
000150,두산,산업재,2019,Q1,2019-05-14,2019-05-15,79561.0,80743,up,down
000150,두산,산업재,2019,Q2,2019-08-09,2019-08-14,73575.0,75859,down,down
000150,두산,산업재,2019,Q3,2019-11-11,2019-11-14,76500.0,72300,up,up
