year,quarter,month,week,code,name,sector,upload_dt,score
2021,Q1,1,1,51600,한전KPS,산업재,,
2021,Q1,1,2,51600,한전KPS,산업재,,
2021,Q1,1,3,51600,한전KPS,산업재,,
2021,Q1,1,4,51600,한전KPS,산업재,,
2021,Q1,2,1,51600,한전KPS,산업재,,
2021,Q1,2,2,51600,한전KPS,산업재,,
2021,Q1,2,3,51600,한전KPS,산업재,,
2021,Q1,2,4,51600,한전KPS,산업재,,
2021,Q1,3,1,51600,한전KPS,산업재,,
2021,Q1,3,2,51600,한전KPS,산업재,,
2021,Q1,3,3,51600,한전KPS,산업재,,
2021,Q1,3,4,51600,한전KPS,산업재,2021-03-29,1.0
2021,Q2,4,1,51600,한전KPS,산업재,,
2021,Q2,4,2,51600,한전KPS,산업재,2021-04-14,1.0
2021,Q2,4,3,51600,한전KPS,산업재,2021-04-20,-1.0
2021,Q2,4,4,51600,한전KPS,산업재,,
2021,Q2,5,1,51600,한전KPS,산업재,,
2021,Q2,5,2,51600,한전KPS,산업재,,
2021,Q2,5,3,51600,한전KPS,산업재,,
2021,Q2,5,4,51600,한전KPS,산업재,,
2021,Q2,6,1,51600,한전KPS,산업재,2021-06-07,1.0
2021,Q2,6,2,51600,한전KPS,산업재,,
2021,Q2,6,3,51600,한전KPS,산업재,,
2021,Q2,6,4,51600,한전KPS,산업재,2021-06-28,0.0
2021,Q3,7,1,51600,한전KPS,산업재,,
2021,Q3,7,2,51600,한전KPS,산업재,,
2021,Q3,7,3,51600,한전KPS,산업재,2021-07-20,1.0
2021,Q3,7,4,51600,한전KPS,산업재,2021-07-22,1.0
2021,Q3,8,1,51600,한전KPS,산업재,2021-08-03,-1.0
2021,Q3,8,2,51600,한전KPS,산업재,2021-08-10,-1.0
2021,Q3,8,3,51600,한전KPS,산업재,,
2021,Q3,8,4,51600,한전KPS,산업재,,
2021,Q3,9,1,51600,한전KPS,산업재,,
2021,Q3,9,2,51600,한전KPS,산업재,,
2021,Q3,9,3,51600,한전KPS,산업재,,
2021,Q3,9,4,51600,한전KPS,산업재,,
2021,Q4,10,1,51600,한전KPS,산업재,2021-10-06,1.0
2021,Q4,10,2,51600,한전KPS,산업재,2021-10-13,-1.0
2021,Q4,10,3,51600,한전KPS,산업재,,
2021,Q4,10,4,51600,한전KPS,산업재,2021-10-22,1.0
2021,Q4,11,1,51600,한전KPS,산업재,2021-11-04,-1.0
2021,Q4,11,2,51600,한전KPS,산업재,,
2021,Q4,11,3,51600,한전KPS,산업재,2021-11-17,1.0
2021,Q4,11,4,51600,한전KPS,산업재,,
2021,Q4,12,1,51600,한전KPS,산업재,2021-12-07,-1.0
2021,Q4,12,2,51600,한전KPS,산업재,2021-12-10,-1.0
2021,Q4,12,3,51600,한전KPS,산업재,2021-12-21,0.0
2021,Q4,12,4,51600,한전KPS,산업재,2021-12-24,-1.0
2022,Q1,1,1,51600,한전KPS,산업재,,
2022,Q1,1,2,51600,한전KPS,산업재,2022-01-12,-1.0
2022,Q1,1,3,51600,한전KPS,산업재,,
2022,Q1,1,4,51600,한전KPS,산업재,2022-01-27,1.0
2022,Q1,2,1,51600,한전KPS,산업재,2022-02-03,-1.0
2022,Q1,2,2,51600,한전KPS,산업재,,
2022,Q1,2,3,51600,한전KPS,산업재,2022-02-21,1.0
2022,Q1,2,4,51600,한전KPS,산업재,,
2022,Q1,3,1,51600,한전KPS,산업재,2022-03-06,1.0
2022,Q1,3,2,51600,한전KPS,산업재,,
2022,Q1,3,3,51600,한전KPS,산업재,,
2022,Q1,3,4,51600,한전KPS,산업재,,
2022,Q2,4,1,51600,한전KPS,산업재,2022-04-06,1.0
2022,Q2,4,2,51600,한전KPS,산업재,,
2022,Q2,4,3,51600,한전KPS,산업재,,
2022,Q2,4,4,51600,한전KPS,산업재,2022-04-27,-1.0
2022,Q2,5,1,51600,한전KPS,산업재,,
2022,Q2,5,2,51600,한전KPS,산업재,,
2022,Q2,5,3,51600,한전KPS,산업재,,
2022,Q2,5,4,51600,한전KPS,산업재,,
2022,Q2,6,1,51600,한전KPS,산업재,,
2022,Q2,6,2,51600,한전KPS,산업재,,
2022,Q2,6,3,51600,한전KPS,산업재,,
2022,Q2,6,4,51600,한전KPS,산업재,2022-06-24,-1.0
2022,Q3,7,1,51600,한전KPS,산업재,,
2022,Q3,7,2,51600,한전KPS,산업재,,
2022,Q3,7,3,51600,한전KPS,산업재,2022-07-19,1.0
2022,Q3,7,4,51600,한전KPS,산업재,,
2022,Q3,8,1,51600,한전KPS,산업재,2022-08-04,0.0
2022,Q3,8,2,51600,한전KPS,산업재,2022-08-12,-1.0
2022,Q3,8,3,51600,한전KPS,산업재,,
2022,Q3,8,4,51600,한전KPS,산업재,2022-08-29,1.0
2022,Q3,9,1,51600,한전KPS,산업재,,
2022,Q3,9,2,51600,한전KPS,산업재,,
2022,Q3,9,3,51600,한전KPS,산업재,2022-09-19,-1.0
2022,Q3,9,4,51600,한전KPS,산업재,2022-09-30,-1.0
2022,Q4,10,1,51600,한전KPS,산업재,2022-10-05,0.0
2022,Q4,10,2,51600,한전KPS,산업재,,
2022,Q4,10,3,51600,한전KPS,산업재,,
2022,Q4,10,4,51600,한전KPS,산업재,2022-10-26,-1.0
2022,Q4,11,1,51600,한전KPS,산업재,,
2022,Q4,11,2,51600,한전KPS,산업재,,
2022,Q4,11,3,51600,한전KPS,산업재,,
2022,Q4,11,4,51600,한전KPS,산업재,,
2022,Q4,12,1,51600,한전KPS,산업재,2022-12-07,1.0
2022,Q4,12,2,51600,한전KPS,산업재,,
2022,Q4,12,3,51600,한전KPS,산업재,2022-12-19,1.0
2022,Q4,12,4,51600,한전KPS,산업재,,
2023,Q1,1,1,51600,한전KPS,산업재,,
2023,Q1,1,2,51600,한전KPS,산업재,,
2023,Q1,1,3,51600,한전KPS,산업재,,
2023,Q1,1,4,51600,한전KPS,산업재,,
2023,Q1,2,1,51600,한전KPS,산업재,,
2023,Q1,2,2,51600,한전KPS,산업재,2023-02-13,1.0
2023,Q1,2,3,51600,한전KPS,산업재,,
2023,Q1,2,4,51600,한전KPS,산업재,,
2023,Q1,3,1,51600,한전KPS,산업재,,
2023,Q1,3,2,51600,한전KPS,산업재,2023-03-08,1.0
2023,Q1,3,3,51600,한전KPS,산업재,2023-03-21,0.0
2023,Q1,3,4,51600,한전KPS,산업재,2023-03-31,1.0
2023,Q2,4,1,51600,한전KPS,산업재,2023-04-04,-1.0
2023,Q2,4,2,51600,한전KPS,산업재,2023-04-14,-1.0
2023,Q2,4,3,51600,한전KPS,산업재,2023-04-17,1.0
2023,Q2,4,4,51600,한전KPS,산업재,2023-04-25,1.0
2023,Q2,5,1,51600,한전KPS,산업재,,
2023,Q2,5,2,51600,한전KPS,산업재,,
2023,Q2,5,3,51600,한전KPS,산업재,,
2023,Q2,5,4,51600,한전KPS,산업재,,
2023,Q2,6,1,51600,한전KPS,산업재,2023-06-06,-1.0
2023,Q2,6,2,51600,한전KPS,산업재,,
2023,Q2,6,3,51600,한전KPS,산업재,2023-06-19,-1.0
2023,Q2,6,4,51600,한전KPS,산업재,2023-06-29,-1.0
2023,Q3,7,1,51600,한전KPS,산업재,,
2023,Q3,7,2,51600,한전KPS,산업재,2023-07-11,1.0
2023,Q3,7,3,51600,한전KPS,산업재,,
2023,Q3,7,4,51600,한전KPS,산업재,,
2023,Q3,8,1,51600,한전KPS,산업재,,
2023,Q3,8,2,51600,한전KPS,산업재,2023-08-08,0.0
2023,Q3,8,3,51600,한전KPS,산업재,2023-08-18,-1.0
2023,Q3,8,4,51600,한전KPS,산업재,,
