year,quarter,month,week,code,name,sector,upload_dt,score
2021,Q1,1,1,42700,한미반도체,정보기술,,
2021,Q1,1,2,42700,한미반도체,정보기술,,
2021,Q1,1,3,42700,한미반도체,정보기술,2021-01-20,1.0
2021,Q1,1,4,42700,한미반도체,정보기술,,
2021,Q1,2,1,42700,한미반도체,정보기술,,
2021,Q1,2,2,42700,한미반도체,정보기술,,
2021,Q1,2,3,42700,한미반도체,정보기술,,
2021,Q1,2,4,42700,한미반도체,정보기술,,
2021,Q1,3,1,42700,한미반도체,정보기술,,
2021,Q1,3,2,42700,한미반도체,정보기술,,
2021,Q1,3,3,42700,한미반도체,정보기술,,
2021,Q1,3,4,42700,한미반도체,정보기술,,
2021,Q2,4,1,42700,한미반도체,정보기술,2021-04-05,1.0
2021,Q2,4,2,42700,한미반도체,정보기술,,
2021,Q2,4,3,42700,한미반도체,정보기술,,
2021,Q2,4,4,42700,한미반도체,정보기술,,
2021,Q2,5,1,42700,한미반도체,정보기술,,
2021,Q2,5,2,42700,한미반도체,정보기술,,
2021,Q2,5,3,42700,한미반도체,정보기술,2021-05-21,1.0
2021,Q2,5,4,42700,한미반도체,정보기술,,
2021,Q2,6,1,42700,한미반도체,정보기술,2021-06-06,1.0
2021,Q2,6,2,42700,한미반도체,정보기술,,
2021,Q2,6,3,42700,한미반도체,정보기술,,
2021,Q2,6,4,42700,한미반도체,정보기술,,
2021,Q3,7,1,42700,한미반도체,정보기술,,
2021,Q3,7,2,42700,한미반도체,정보기술,,
2021,Q3,7,3,42700,한미반도체,정보기술,,
2021,Q3,7,4,42700,한미반도체,정보기술,2021-07-22,1.0
2021,Q3,8,1,42700,한미반도체,정보기술,,
2021,Q3,8,2,42700,한미반도체,정보기술,,
2021,Q3,8,3,42700,한미반도체,정보기술,,
2021,Q3,8,4,42700,한미반도체,정보기술,,
2021,Q3,9,1,42700,한미반도체,정보기술,,
2021,Q3,9,2,42700,한미반도체,정보기술,,
2021,Q3,9,3,42700,한미반도체,정보기술,,
2021,Q3,9,4,42700,한미반도체,정보기술,,
2021,Q4,10,1,42700,한미반도체,정보기술,,
2021,Q4,10,2,42700,한미반도체,정보기술,,
2021,Q4,10,3,42700,한미반도체,정보기술,,
2021,Q4,10,4,42700,한미반도체,정보기술,2021-10-26,1.0
2021,Q4,11,1,42700,한미반도체,정보기술,,
2021,Q4,11,2,42700,한미반도체,정보기술,2021-11-11,1.0
2021,Q4,11,3,42700,한미반도체,정보기술,,
2021,Q4,11,4,42700,한미반도체,정보기술,,
2021,Q4,12,1,42700,한미반도체,정보기술,2021-12-07,1.0
2021,Q4,12,2,42700,한미반도체,정보기술,,
2021,Q4,12,3,42700,한미반도체,정보기술,,
2021,Q4,12,4,42700,한미반도체,정보기술,,
2022,Q1,1,1,42700,한미반도체,정보기술,,
2022,Q1,1,2,42700,한미반도체,정보기술,2022-01-14,1.0
2022,Q1,1,3,42700,한미반도체,정보기술,2022-01-20,-1.0
2022,Q1,1,4,42700,한미반도체,정보기술,,
2022,Q1,2,1,42700,한미반도체,정보기술,,
2022,Q1,2,2,42700,한미반도체,정보기술,,
2022,Q1,2,3,42700,한미반도체,정보기술,,
2022,Q1,2,4,42700,한미반도체,정보기술,,
2022,Q1,3,1,42700,한미반도체,정보기술,,
2022,Q1,3,2,42700,한미반도체,정보기술,,
2022,Q1,3,3,42700,한미반도체,정보기술,,
2022,Q1,3,4,42700,한미반도체,정보기술,,
2022,Q2,4,1,42700,한미반도체,정보기술,,
2022,Q2,4,2,42700,한미반도체,정보기술,,
2022,Q2,4,3,42700,한미반도체,정보기술,,
2022,Q2,4,4,42700,한미반도체,정보기술,,
2022,Q2,5,1,42700,한미반도체,정보기술,,
2022,Q2,5,2,42700,한미반도체,정보기술,2022-05-11,1.0
2022,Q2,5,3,42700,한미반도체,정보기술,2022-05-21,-1.0
2022,Q2,5,4,42700,한미반도체,정보기술,2022-05-31,-1.0
2022,Q2,6,1,42700,한미반도체,정보기술,,
2022,Q2,6,2,42700,한미반도체,정보기술,,
2022,Q2,6,3,42700,한미반도체,정보기술,,
2022,Q2,6,4,42700,한미반도체,정보기술,,
2022,Q3,7,1,42700,한미반도체,정보기술,,
2022,Q3,7,2,42700,한미반도체,정보기술,2022-07-14,-1.0
2022,Q3,7,3,42700,한미반도체,정보기술,,
2022,Q3,7,4,42700,한미반도체,정보기술,,
2022,Q3,8,1,42700,한미반도체,정보기술,,
2022,Q3,8,2,42700,한미반도체,정보기술,,
2022,Q3,8,3,42700,한미반도체,정보기술,,
2022,Q3,8,4,42700,한미반도체,정보기술,,
2022,Q3,9,1,42700,한미반도체,정보기술,,
2022,Q3,9,2,42700,한미반도체,정보기술,,
2022,Q3,9,3,42700,한미반도체,정보기술,,
2022,Q3,9,4,42700,한미반도체,정보기술,,
2022,Q4,10,1,42700,한미반도체,정보기술,,
2022,Q4,10,2,42700,한미반도체,정보기술,,
2022,Q4,10,3,42700,한미반도체,정보기술,,
2022,Q4,10,4,42700,한미반도체,정보기술,,
2022,Q4,11,1,42700,한미반도체,정보기술,,
2022,Q4,11,2,42700,한미반도체,정보기술,2022-11-14,1.0
2022,Q4,11,3,42700,한미반도체,정보기술,,
2022,Q4,11,4,42700,한미반도체,정보기술,,
