year,quarter,month,week,code,name,sector,upload_dt,prediction,reason,score
2021,Q1,1,1,9150,삼성전기,정보기술,,,,
2021,Q1,1,2,9150,삼성전기,정보기술,2021-01-12,긍정,"스마트폰 판매량 회복과 전장용 MLCC 시장의 급성장, 애플의 폴디드줌 카메라 모듈에 대한 관심 등 긍정적인 요소들이 언급되었으며, 증권사들이 목표 주가를 상향 조정한 점도 긍정적인 신호로 판단됨.",1.0
2021,Q1,1,3,9150,삼성전기,정보기술,2021-01-21,중립,"기사 요약에서는 삼성전기가 임원 인사를 통해 기술 및 영업 인재를 발탁하고, 새로운 성장동력의 기반을 마련하려는 노력을 언급하고 있으나, 이러한 인사 변화가 단기 주가에 직접적인 영향을 미칠 것이라는 명확한 근거는 부족함.",0.0
2021,Q1,1,4,9150,삼성전기,정보기술,,,,
2021,Q1,2,1,9150,삼성전기,정보기술,2021-02-01,중립,"요약문에서 삼성전기의 WiFi 모듈 사업이 켐트로닉스의 계열회사 위츠에 인수되었다는 내용이 주를 이루며, 삼성전기의 주가에 직접적인 긍정적 또는 부정적 영향을 미칠 만한 정보는 부족함.",0.0
2021,Q1,2,2,9150,삼성전기,정보기술,,,,
2021,Q1,2,3,9150,삼성전기,정보기술,,,,
2021,Q1,2,4,9150,삼성전기,정보기술,,,,
2021,Q1,3,1,9150,삼성전기,정보기술,2021-03-01,긍정,"삼성전기가 광학 10배 줌을 구현한 새로운 카메라모듈을 출시하고, 이를 갤럭시S21에 공급하며 기술력을 증대시켰다는 점에서 긍정적인 영향을 미칠 것으로 판단됨.",1.0
2021,Q1,3,2,9150,삼성전기,정보기술,,,,
2021,Q1,3,3,9150,삼성전기,정보기술,,,,
2021,Q1,3,4,9150,삼성전기,정보기술,,,,
2021,Q2,4,1,9150,삼성전기,정보기술,,,,
2021,Q2,4,2,9150,삼성전기,정보기술,,,,
2021,Q2,4,3,9150,삼성전기,정보기술,2021-04-15,긍정,"삼성전기가 세계 최초로 고전압을 견딜 수 있는 초소형 MLCC를 개발하여 IT기기 시장을 선점할 전략을 발표했으며, 이는 기술적 우위를 통해 시장 경쟁력을 강화할 수 있는 긍정적인 요소로 판단됨.",1.0
2021,Q2,4,4,9150,삼성전기,정보기술,2021-04-28,중립,"요약문에는 삼성전기와 관련된 구체적인 정보가 없으며, 주가에 직접적인 영향을 줄 수 있는 내용이 포함되어 있지 않음.",0.0
2021,Q2,5,1,9150,삼성전기,정보기술,,,,
2021,Q2,5,2,9150,삼성전기,정보기술,2021-05-13,중립,"기사 요약은 삼성전기가 임직원의 역량 강화를 위해 내부 온라인 강의 사이트를 개설했다는 내용으로, 이는 기업의 내부 교육 강화에 관한 사항일 뿐 주가에 직접적인 영향을 미칠 만한 정보는 포함되어 있지 않음.",0.0
2021,Q2,5,3,9150,삼성전기,정보기술,,,,
2021,Q2,5,4,9150,삼성전기,정보기술,,,,
2021,Q2,6,1,9150,삼성전기,정보기술,2021-06-04,긍정,"삼성전기가 부산사업장에서 '폐기물 매립 제로' 골드 등급을 인증받았으며, 이는 MLCC와 기판 업계에서 유일한 성과로, 자원순환 노력을 인정받고 있다. 이러한 환경적 책임과 지속가능경영 활동은 기업 이미지 개선에 긍정적 영향을 미칠 수 있다.",1.0
2021,Q2,6,2,9150,삼성전기,정보기술,,,,
2021,Q2,6,3,9150,삼성전기,정보기술,,,,
2021,Q2,6,4,9150,삼성전기,정보기술,2021-06-29,긍정,"삼성전기가 5G 스마트폰용 MLCC를 개발하여 기존 제품보다 전기 저장 용량을 20% 늘렸다는 점과, 5G 상용화 및 스마트폰 고성능화로 MLCC 수요가 급증하고 있다는 점이 긍정적인 요소로 작용할 수 있음.",1.0
2021,Q3,7,1,9150,삼성전기,정보기술,2021-07-02,중립,"기사 요약은 삼성전기가 MZ세대와의 소통을 위해 유튜브 콘텐츠 아이디어 공모전을 개최한다는 내용으로, 이는 기업의 이미지 개선 노력에 해당하지만 주가에 직접적인 영향을 미칠 만한 정보는 부족함.",0.0
2021,Q3,7,2,9150,삼성전기,정보기술,2021-07-14,긍정,"삼성전기가 글로벌 전기차 업체와 대규모 카메라 모듈 공급 계약을 체결했으며, 테슬라 사이버트럭에 대한 높은 수요로 인해 추가 공급 가능성이 언급되어 긍정적인 전망이 예상됨.",1.0
2021,Q3,7,3,9150,삼성전기,정보기술,,,,
2021,Q3,7,4,9150,삼성전기,정보기술,2021-07-28,매우 긍정,"삼성전기가 창사 이래 최대 분기 실적을 기록했으며, 주력 제품의 판매 증가와 하반기 전망이 밝다는 점이 긍정적으로 평가됨. 또한, 경쟁사의 생산 차질로 인한 반사수혜 가능성도 언급되어 긍정적인 요인으로 작용함.",2.0
2021,Q3,8,1,9150,삼성전기,정보기술,2021-08-03,긍정,"삼성전기가 반도체 패키지 기판과 MLCC에 대해 세계 최초로 영국 카본 트러스트의 탄소 발자국과 물 발자국 인증을 동시에 획득했다는 점에서 환경적 책임을 다하고 있음을 보여주며, 이는 기업 이미지 개선과 지속가능 경영에 긍정적인 영향을 미칠 수 있다.",1.0
2021,Q3,8,2,9150,삼성전기,정보기술,2021-08-12,긍정,"삼성전기가 전장용 MLCC 시장 공략에 속도를 내며 신제품을 개발하고, 시장 점유율 확대를 목표로 하고 있다는 점에서 긍정적인 논조로 판단됨. 특히, 세계 최대 자동차부품사인 보쉬로부터 우수협력사로 선정된 점도 긍정적인 요소로 작용함.",1.0
2021,Q3,8,3,9150,삼성전기,정보기술,,,,
2021,Q3,8,4,9150,삼성전기,정보기술,2021-08-25,중립,"삼성전기의 와이파이 모듈 사업부 매각과 관련된 내용이 주를 이루며, 이는 사업 구조 재편의 일환으로 보인다. 그러나 이 매각이 삼성전기의 단기 주가에 미칠 직접적인 영향에 대한 정보는 부족하다.",0.0
2021,Q3,9,1,9150,삼성전기,정보기술,,,,
2021,Q3,9,2,9150,삼성전기,정보기술,,,,
2021,Q3,9,3,9150,삼성전기,정보기술,,,,
2021,Q3,9,4,9150,삼성전기,정보기술,2021-09-28,긍정,"삼성전기의 3분기 실적이 컨센서스를 상회할 것으로 예상되며, 전 사업부의 고른 실적 개선이 전망된다. BGA 가격 인상 효과와 5G SiP 출하 확대에 따른 제품 믹스 개선, 환율 우호성, 폴더블 스마트폰의 긍정적 반응 등이 긍정적인 요소로 작용하고 있다.",1.0
2021,Q4,10,1,9150,삼성전기,정보기술,,,,
2021,Q4,10,2,9150,삼성전기,정보기술,,,,
2021,Q4,10,3,9150,삼성전기,정보기술,,,,
2021,Q4,10,4,9150,삼성전기,정보기술,2021-10-27,긍정,삼성전기의 3분기 매출과 영업이익이 전년 동기 대비 각각 21%와 49% 증가한 호실적을 발표하여 긍정적인 논조로 판단됨.,1.0
2021,Q4,11,1,9150,삼성전기,정보기술,,,,
2021,Q4,11,2,9150,삼성전기,정보기술,,,,
2021,Q4,11,3,9150,삼성전기,정보기술,,,,
2021,Q4,11,4,9150,삼성전기,정보기술,2021-11-23,긍정,삼성전기가 5G 이동통신 기지국용 고용량·고전압 MLCC를 개발하여 기술 경쟁력을 높이고 시장에서 선도적 지위를 유지하겠다는 계획을 발표함.,1.0
2021,Q4,12,1,9150,삼성전기,정보기술,2021-12-07,중립,"기사 요약에서는 삼성전기의 신임 대표이사 임명과 관련된 내용이 주를 이루며, 미래 성장성이 큰 사업을 진두지휘하기 위한 결정이라는 업계의 평가가 언급되었으나, 이러한 인사 변화가 단기 주가에 직접적인 영향을 미칠 것이라는 명확한 근거는 부족함.",0.0
2021,Q4,12,2,9150,삼성전기,정보기술,2021-12-09,긍정,"삼성전기의 실적 증가가 주가에 반영되지 않았고, 내년에도 영업이익이 증가할 것으로 전망되며, 삼성전자의 스마트폰 출하량 증가가 기대되어 투자심리가 개선될 것으로 보임.",1.0
2021,Q4,12,3,9150,삼성전기,정보기술,,,,
2021,Q4,12,4,9150,삼성전기,정보기술,2021-12-30,중립,"삼성전기가 와이파이 및 5G 안테나 모듈 사업을 한화솔루션에 매각하고, 전장용 적층세라믹콘덴서(MLCC) 등 고부가가치 사업에 집중할 계획이라는 내용이 포함되어 있으나, 이러한 변화가 단기 주가에 미치는 영향에 대한 명확한 긍정적 또는 부정적 신호는 없음.",0.0
2022,Q1,1,1,9150,삼성전기,정보기술,,,,
2022,Q1,1,2,9150,삼성전기,정보기술,2022-01-14,긍정,"삼성전기가 테슬라에 전장용 카메라 모듈을 추가로 공급할 가능성이 높아지고 있으며, 테슬라의 생산량 확대 계획에 따라 삼성전기의 부품 공급 기회가 증가할 것으로 예상됨. 또한, 기관투자자들이 삼성전기를 순매수하고 있어 긍정적인 전망이 반영됨.",1.0
2022,Q1,1,3,9150,삼성전기,정보기술,2022-01-17,중립,"삼성전기의 MLCC 재고조정이 단기에 마무리될 것이라는 긍정적인 전망과 삼성전자 스마트폰 출하량 회복에 대한 기대가 있으나, 매출과 영업이익이 직전 분기 대비 감소할 것으로 추정되며, 영업이익은 시장 전망치에 미치지 못할 것으로 예상됨. 긍정적 요소와 부정적 요소가 혼재되어 있어 중립적인 논조로 판단됨.",0.0
2022,Q1,1,4,9150,삼성전기,정보기술,,,,
2022,Q1,2,1,9150,삼성전기,정보기술,2022-02-04,중립,"요약문은 에스엠씨지라는 회사의 화장품 용기 사업 확장과 관련된 내용으로, 삼성전기와 직접적인 관련이 없으며, 삼성전기의 주가에 영향을 미칠 만한 정보가 포함되어 있지 않음.",0.0
2022,Q1,2,2,9150,삼성전기,정보기술,,,,
2022,Q1,2,3,9150,삼성전기,정보기술,,,,
2022,Q1,2,4,9150,삼성전기,정보기술,,,,
2022,Q1,3,1,9150,삼성전기,정보기술,,,,
2022,Q1,3,2,9150,삼성전기,정보기술,2022-03-10,긍정,"삼성전기가 차세대 IT와 전장 제품을 중심으로 기술 개발과 시장 우위 확보를 추진하고 있으며, 고성능 반도체 기판에 대한 투자를 확대하고 있어 미래 성장 가능성이 긍정적으로 평가됨.",1.0
2022,Q1,3,3,9150,삼성전기,정보기술,2022-03-16,중립,"삼성전기가 반도체 패키지 기판 공장 증축과 생산 설비 구축에 투자한다는 내용이 있으나, 이 정보만으로는 주가에 직접적인 영향을 미칠지 판단하기 어려움.",0.0
2022,Q1,3,4,9150,삼성전기,정보기술,2022-03-23,긍정,"하이투자증권이 삼성전기의 목표주가를 상향 조정하고, MLCC 업황의 개선이 가시화될 것으로 기대하며, 반도체 기판 사업의 이익 기여도가 크게 확대될 것으로 전망하고 있어 긍정적인 논조로 판단됨.",1.0
2022,Q2,4,1,9150,삼성전기,정보기술,2022-04-04,중립,"요약문은 제일전기공업의 시장 전략과 주택 공급 정책에 대한 내용을 다루고 있으며, 삼성전기와 직접적인 관련이 없어 주가에 영향을 미칠 정보가 부족함.",0.0
2022,Q2,4,2,9150,삼성전기,정보기술,2022-04-11,긍정,삼성전기가 국내 최초로 150도 이상의 고온을 견딜 수 있는 자동차 파워트레인용 MLCC를 개발하여 글로벌 자동차 부품업체에 공급할 예정이라는 점에서 기술적 우위와 시장 점유율 확대 가능성이 긍정적으로 평가됨.,1.0
2022,Q2,4,3,9150,삼성전기,정보기술,2022-04-21,매우 긍정,"삼성전기가 애플의 차세대 M2 프로세서에 반도체 패키지 기판을 공급하는 유일한 한국 업체로 선정되었고, 이에 따라 안정적인 수익원을 확보했다는 점이 긍정적으로 평가된다. 또한, FC-BGA 사업에 대한 대규모 투자를 통해 사업을 본격적으로 확대하고 있으며, 애플과의 협력 강화로 인해 매출 증가가 예상된다.",2.0
2022,Q2,4,4,9150,삼성전기,정보기술,2022-04-27,부정,"삼성전기는 1분기 실적이 증권사 전망치를 웃돌았음에도 불구하고, 미국 증시 급락과 경기 둔화 우려로 인해 주가가 하락했다는 분석이 제시됨.",-1.0
2022,Q2,5,1,9150,삼성전기,정보기술,,,,
2022,Q2,5,2,9150,삼성전기,정보기술,2022-05-12,중립,"기사 요약에는 삼성전기와 관련된 정보가 전혀 포함되어 있지 않으며, 주가에 영향을 미칠 만한 내용이 없습니다.",0.0
2022,Q2,5,3,9150,삼성전기,정보기술,,,,
2022,Q2,5,4,9150,삼성전기,정보기술,,,,
2022,Q2,6,1,9150,삼성전기,정보기술,2022-06-06,부정,"삼성전기의 주가는 안드로이드 진영 스마트폰의 부진으로 인해 신저가를 기록하고 있으며, 삼성전자의 스마트폰 감산 계획과 중국 스마트폰 출하량 급감 등의 부정적인 요인이 주가에 영향을 미치고 있다.",-1.0
2022,Q2,6,2,9150,삼성전기,정보기술,2022-06-08,매우 긍정,"삼성전기가 테슬라에 대규모 카메라모듈 공급 계약을 체결하여 미래 성장동력을 확보하고, 시장 판도를 흔들며 경쟁사를 앞지르는 성과를 거두었다는 점에서 긍정적인 논조로 판단됨.",2.0
2022,Q2,6,3,9150,삼성전기,정보기술,2022-06-21,중립,"요약문은 삼성전기와 관련된 정보가 전혀 없으며, 세븐틴과 관련된 방송 프로그램에 대한 내용만 포함되어 있어 기업 가치나 주가에 영향을 줄 수 있는 정보가 없음.",0.0
2022,Q2,6,4,9150,삼성전기,정보기술,2022-06-22,긍정,"삼성전기가 반도체 패키지기판 사업에 3천억원을 추가 투자하여 주요 거래처의 수요 증가에 대응하고, 서버용 패키지기판을 연내 양산할 계획을 발표하는 등 사업 확장과 기술력 강화에 대한 긍정적인 전망이 제시됨.",1.0
2022,Q3,7,1,9150,삼성전기,정보기술,2022-07-01,중립,"2분기 실적이 예상 대비 소폭 감소할 것으로 예상되며, 목표주가가 하향 조정되었으나, 3분기 실적 개선 기대와 장기적인 투자 매력은 유지되고 있어 긍정과 부정 요소가 혼재되어 있음.",0.0
2022,Q3,7,2,9150,삼성전기,정보기술,,,,
2022,Q3,7,3,9150,삼성전기,정보기술,2022-07-17,긍정,"삼성전기가 반도체 패키지 기판 시장에서의 성장 가능성을 높게 평가받고 있으며, 특히 FCBGA 관련 매출의 가파른 성장세가 기대된다는 분석이 긍정적인 논조로 판단됨.",1.0
2022,Q3,7,4,9150,삼성전기,정보기술,2022-07-27,긍정,"삼성전기는 2분기에 매출과 영업이익이 전년 동기 대비 증가했으며, 특히 반도체 패키지기판 사업이 크게 성장하여 실적 개선에 기여했다. 또한, 애플의 새로운 CPU에 들어갈 FC-BGA 공급처로 선정되었다는 점이 긍정적인 요소로 작용할 수 있다.",1.0
2022,Q3,8,1,9150,삼성전기,정보기술,2022-08-02,중립,"요약문은 K팝 아이돌의 커밍아웃에 관한 내용으로, 삼성전기와 관련된 정보가 전혀 포함되어 있지 않음.",0.0
2022,Q3,8,2,9150,삼성전기,정보기술,,,,
2022,Q3,8,3,9150,삼성전기,정보기술,2022-08-17,중립,"요약문은 현대글로비스의 '파트너스데이' 행사에 대한 내용으로, 삼성전기와 직접적인 관련이 없으며, 삼성전기의 기업 가치나 주가에 영향을 미칠 만한 정보가 포함되어 있지 않음.",0.0
2022,Q3,8,4,9150,삼성전기,정보기술,2022-08-28,중립,"기사 요약은 삼성전기의 임직원 독서 지원 프로그램 강화에 관한 내용으로, 기업의 재무적 성과나 시장 경쟁력에 직접적인 영향을 미치는 정보는 포함되어 있지 않음.",0.0
2022,Q3,9,1,9150,삼성전기,정보기술,2022-09-06,중립,"삼성전기가 자원순환 선도 및 성과 우수 사업장으로 선정되어 대통령상을 수상한 것은 긍정적인 소식이지만, 이는 주가에 직접적인 영향을 미칠 만한 실적 개선이나 수익 증가와는 관련이 없어 보임.",0.0
2022,Q3,9,2,9150,삼성전기,정보기술,,,,
2022,Q3,9,3,9150,삼성전기,정보기술,2022-09-19,긍정,"삼성전기가 자원순환 선도 및 성과 우수 사업장으로 선정되어 대통령상을 수상하고, ESG 경영을 통해 환경 개선에 기여하고 있다는 긍정적인 내용이 포함되어 있음.",1.0
2022,Q3,9,4,9150,삼성전기,정보기술,2022-09-22,중립,"삼성전기가 '2022 한국 IR 대상'을 수상한 것은 긍정적인 활동으로 볼 수 있으나, 이는 주가에 직접적인 영향을 미칠 만한 실적 개선이나 사업 성과와는 직접적으로 연결되지 않음.",0.0
