year,quarter,month,week,code,name,sector,upload_dt,score
2021,Q1,1,1,9150,삼성전기,정보기술,,
2021,Q1,1,2,9150,삼성전기,정보기술,2021-01-12,1.0
2021,Q1,1,3,9150,삼성전기,정보기술,2021-01-21,0.0
2021,Q1,1,4,9150,삼성전기,정보기술,,
2021,Q1,2,1,9150,삼성전기,정보기술,2021-02-01,1.0
2021,Q1,2,2,9150,삼성전기,정보기술,,
2021,Q1,2,3,9150,삼성전기,정보기술,,
2021,Q1,2,4,9150,삼성전기,정보기술,,
2021,Q1,3,1,9150,삼성전기,정보기술,2021-03-01,1.0
2021,Q1,3,2,9150,삼성전기,정보기술,,
2021,Q1,3,3,9150,삼성전기,정보기술,,
2021,Q1,3,4,9150,삼성전기,정보기술,,
2021,Q2,4,1,9150,삼성전기,정보기술,,
2021,Q2,4,2,9150,삼성전기,정보기술,,
2021,Q2,4,3,9150,삼성전기,정보기술,2021-04-15,1.0
2021,Q2,4,4,9150,삼성전기,정보기술,2021-04-28,0.0
2021,Q2,5,1,9150,삼성전기,정보기술,,
2021,Q2,5,2,9150,삼성전기,정보기술,2021-05-13,0.0
2021,Q2,5,3,9150,삼성전기,정보기술,,
2021,Q2,5,4,9150,삼성전기,정보기술,,
2021,Q2,6,1,9150,삼성전기,정보기술,2021-06-04,0.0
2021,Q2,6,2,9150,삼성전기,정보기술,,
2021,Q2,6,3,9150,삼성전기,정보기술,,
2021,Q2,6,4,9150,삼성전기,정보기술,2021-06-29,1.0
2021,Q3,7,1,9150,삼성전기,정보기술,2021-07-02,0.0
2021,Q3,7,2,9150,삼성전기,정보기술,2021-07-14,1.0
2021,Q3,7,3,9150,삼성전기,정보기술,,
2021,Q3,7,4,9150,삼성전기,정보기술,2021-07-28,1.0
2021,Q3,8,1,9150,삼성전기,정보기술,2021-08-03,0.0
2021,Q3,8,2,9150,삼성전기,정보기술,2021-08-12,1.0
2021,Q3,8,3,9150,삼성전기,정보기술,,
2021,Q3,8,4,9150,삼성전기,정보기술,2021-08-25,1.0
2021,Q3,9,1,9150,삼성전기,정보기술,,
2021,Q3,9,2,9150,삼성전기,정보기술,,
2021,Q3,9,3,9150,삼성전기,정보기술,,
2021,Q3,9,4,9150,삼성전기,정보기술,2021-09-28,1.0
2021,Q4,10,1,9150,삼성전기,정보기술,,
2021,Q4,10,2,9150,삼성전기,정보기술,,
2021,Q4,10,3,9150,삼성전기,정보기술,,
2021,Q4,10,4,9150,삼성전기,정보기술,2021-10-27,1.0
2021,Q4,11,1,9150,삼성전기,정보기술,,
2021,Q4,11,2,9150,삼성전기,정보기술,,
2021,Q4,11,3,9150,삼성전기,정보기술,,
2021,Q4,11,4,9150,삼성전기,정보기술,2021-11-23,1.0
2021,Q4,12,1,9150,삼성전기,정보기술,2021-12-07,1.0
2021,Q4,12,2,9150,삼성전기,정보기술,2021-12-09,1.0
2021,Q4,12,3,9150,삼성전기,정보기술,,
2021,Q4,12,4,9150,삼성전기,정보기술,2021-12-30,1.0
2022,Q1,1,1,9150,삼성전기,정보기술,,
2022,Q1,1,2,9150,삼성전기,정보기술,2022-01-14,1.0
2022,Q1,1,3,9150,삼성전기,정보기술,2022-01-17,1.0
2022,Q1,1,4,9150,삼성전기,정보기술,,
2022,Q1,2,1,9150,삼성전기,정보기술,2022-02-04,0.0
2022,Q1,2,2,9150,삼성전기,정보기술,,
2022,Q1,2,3,9150,삼성전기,정보기술,,
2022,Q1,2,4,9150,삼성전기,정보기술,,
2022,Q1,3,1,9150,삼성전기,정보기술,,
2022,Q1,3,2,9150,삼성전기,정보기술,2022-03-10,1.0
2022,Q1,3,3,9150,삼성전기,정보기술,2022-03-16,1.0
2022,Q1,3,4,9150,삼성전기,정보기술,2022-03-23,1.0
2022,Q2,4,1,9150,삼성전기,정보기술,2022-04-04,0.0
2022,Q2,4,2,9150,삼성전기,정보기술,2022-04-11,1.0
2022,Q2,4,3,9150,삼성전기,정보기술,2022-04-21,1.0
2022,Q2,4,4,9150,삼성전기,정보기술,2022-04-27,-1.0
2022,Q2,5,1,9150,삼성전기,정보기술,,
2022,Q2,5,2,9150,삼성전기,정보기술,2022-05-12,0.0
2022,Q2,5,3,9150,삼성전기,정보기술,,
2022,Q2,5,4,9150,삼성전기,정보기술,,
2022,Q2,6,1,9150,삼성전기,정보기술,2022-06-06,0.0
2022,Q2,6,2,9150,삼성전기,정보기술,2022-06-08,1.0
2022,Q2,6,3,9150,삼성전기,정보기술,2022-06-21,0.0
2022,Q2,6,4,9150,삼성전기,정보기술,2022-06-22,1.0
2022,Q3,7,1,9150,삼성전기,정보기술,2022-07-01,-1.0
2022,Q3,7,2,9150,삼성전기,정보기술,,
2022,Q3,7,3,9150,삼성전기,정보기술,2022-07-17,1.0
2022,Q3,7,4,9150,삼성전기,정보기술,2022-07-27,1.0
2022,Q3,8,1,9150,삼성전기,정보기술,2022-08-02,0.0
2022,Q3,8,2,9150,삼성전기,정보기술,,
