year,quarter,month,week,code,name,sector,upload_dt,prediction,reason,score
2021,Q1,1,1,4710,한솔테크닉스,정보기술,,,,
2021,Q1,1,2,4710,한솔테크닉스,정보기술,2021-01-14,긍정,"한솔테크닉스는 다양한 사업 부문에서 성장을 보이고 있으며, 특히 태양광 및 신재생에너지 관련 사업에서 매출이 증가하고 있다는 점이 긍정적으로 평가됩니다. 또한, 기존 주력 사업과 신규 사업의 실적이 더해져 실적 성장이 기대된다는 점에서 긍정적인 전망이 가능합니다.",1.0
2021,Q1,1,3,4710,한솔테크닉스,정보기술,2021-01-19,긍정,"한솔테크닉스가 전자업체들의 외주 생산 확대 정책에 따라 매출 증가가 예상되며, 다양한 가전제품으로의 외주 생산 확대와 대형 스포츠 이벤트로 인한 프리미엄 TV 판매 확대 기대감이 긍정적으로 작용할 것으로 보임.",1.0
2021,Q1,1,4,4710,한솔테크닉스,정보기술,,,,
2021,Q1,2,1,4710,한솔테크닉스,정보기술,,,,
2021,Q1,2,2,4710,한솔테크닉스,정보기술,2021-02-08,중립,"한솔테크닉스는 최근 시장 조정으로 인해 주가가 조정을 받았으나, 기업의 본질 가치는 괜찮다는 평가가 있습니다. 그러나 요약문에서 주가에 직접적인 영향을 줄 수 있는 구체적인 긍정적 또는 부정적 요인은 언급되지 않았습니다.",0.0
2021,Q1,2,3,4710,한솔테크닉스,정보기술,,,,
2021,Q1,2,4,4710,한솔테크닉스,정보기술,2021-02-22,긍정,"한솔테크닉스는 부실 사업부문에 대한 구조조정을 완료하고, 매출액이 증가하며 실적 개선이 기대된다는 긍정적인 전망이 제시됨.",1.0
2021,Q1,3,1,4710,한솔테크닉스,정보기술,,,,
2021,Q1,3,2,4710,한솔테크닉스,정보기술,,,,
2021,Q1,3,3,4710,한솔테크닉스,정보기술,,,,
2021,Q1,3,4,4710,한솔테크닉스,정보기술,2021-03-23,중립,"요약문에서 한솔테크닉스에 대한 구체적인 긍정적 또는 부정적 정보가 제공되지 않았으며, 주가에 영향을 미칠 만한 명확한 사건이나 뉴스가 언급되지 않았습니다.",0.0
2021,Q2,4,1,4710,한솔테크닉스,정보기술,2021-04-06,긍정,"한솔테크닉스는 파워보드와 전자 부품을 다루는 회사로, 올해 영업 수익률이 전년 대비 25% 이상 상승할 것으로 예상되며, 삼성전자의 신규 TV 수주 가능성 등 새로운 모멘텀이 기대된다는 긍정적인 전망이 제시됨.",1.0
2021,Q2,4,2,4710,한솔테크닉스,정보기술,,,,
2021,Q2,4,3,4710,한솔테크닉스,정보기술,,,,
2021,Q2,4,4,4710,한솔테크닉스,정보기술,2021-04-27,중립,"요약문은 한솔제지의 패키징 기술 혁신과 수상에 대한 내용으로, 한솔테크닉스와 직접적인 관련이 없으며 주가에 영향을 미칠 만한 정보가 부족함.",0.0
2021,Q2,5,1,4710,한솔테크닉스,정보기술,,,,
2021,Q2,5,2,4710,한솔테크닉스,정보기술,,,,
2021,Q2,5,3,4710,한솔테크닉스,정보기술,,,,
2021,Q2,5,4,4710,한솔테크닉스,정보기술,,,,
2021,Q2,6,1,4710,한솔테크닉스,정보기술,,,,
2021,Q2,6,2,4710,한솔테크닉스,정보기술,,,,
2021,Q2,6,3,4710,한솔테크닉스,정보기술,,,,
2021,Q2,6,4,4710,한솔테크닉스,정보기술,2021-06-22,중립,"요약문에서는 한솔테크닉스가 스타트업과의 협력을 통해 새로운 미래 가치를 창출하려는 노력을 하고 있다는 내용이 있지만, 이는 기업 가치나 주가에 직접적인 영향을 줄 만한 구체적인 정보가 부족합니다.",0.0
2021,Q3,7,1,4710,한솔테크닉스,정보기술,,,,
2021,Q3,7,2,4710,한솔테크닉스,정보기술,,,,
2021,Q3,7,3,4710,한솔테크닉스,정보기술,,,,
2021,Q3,7,4,4710,한솔테크닉스,정보기술,,,,
2021,Q3,8,1,4710,한솔테크닉스,정보기술,2021-08-02,중립,"기사 요약에서는 한솔테크닉스가 농촌 공동체 회복 프로젝트와 관련된 사회적 가치 실현 활동을 언급하고 있으나, 이는 기업의 직접적인 재무 성과나 주가에 미치는 영향에 대한 정보가 부족하여 주가 등락에 대한 판단이 어렵습니다.",0.0
2021,Q3,8,2,4710,한솔테크닉스,정보기술,,,,
2021,Q3,8,3,4710,한솔테크닉스,정보기술,,,,
2021,Q3,8,4,4710,한솔테크닉스,정보기술,,,,
2021,Q3,9,1,4710,한솔테크닉스,정보기술,,,,
2021,Q3,9,2,4710,한솔테크닉스,정보기술,,,,
2021,Q3,9,3,4710,한솔테크닉스,정보기술,,,,
2021,Q3,9,4,4710,한솔테크닉스,정보기술,,,,
2021,Q4,10,1,4710,한솔테크닉스,정보기술,,,,
2021,Q4,10,2,4710,한솔테크닉스,정보기술,,,,
2021,Q4,10,3,4710,한솔테크닉스,정보기술,,,,
2021,Q4,10,4,4710,한솔테크닉스,정보기술,,,,
2021,Q4,11,1,4710,한솔테크닉스,정보기술,,,,
2021,Q4,11,2,4710,한솔테크닉스,정보기술,,,,
2021,Q4,11,3,4710,한솔테크닉스,정보기술,,,,
2021,Q4,11,4,4710,한솔테크닉스,정보기술,,,,
2021,Q4,12,1,4710,한솔테크닉스,정보기술,2021-12-06,긍정,"한솔테크닉스가 반도체 정밀가공 기업 아이원스의 지분을 인수하여 새로운 성장동력을 확보하고, 반도체 산업으로 포트폴리오를 확장할 수 있는 긍정적인 전망이 제시됨. 또한, 반도체 관련 기업들의 주가가 강세를 보이고 있어 추가적인 상승 가능성이 언급됨.",1.0
2021,Q4,12,2,4710,한솔테크닉스,정보기술,2021-12-08,긍정,"한솔테크닉스가 최근 반도체 기업 아이원스를 인수했으며, 삼성전자를 중심으로 한 랠리가 예상되면서 관련 주식에 대한 관심이 증가할 것으로 보임.",1.0
2021,Q4,12,3,4710,한솔테크닉스,정보기술,2021-12-17,긍정,"한솔테크닉스가 iOS의 지분을 34% 인수하여 신성장동력을 확보하고 있으며, 긍정적인 흐름이 예상된다는 점이 언급됨.",1.0
2021,Q4,12,4,4710,한솔테크닉스,정보기술,,,,
2022,Q1,1,1,4710,한솔테크닉스,정보기술,,,,
2022,Q1,1,2,4710,한솔테크닉스,정보기술,,,,
2022,Q1,1,3,4710,한솔테크닉스,정보기술,,,,
2022,Q1,1,4,4710,한솔테크닉스,정보기술,,,,
2022,Q1,2,1,4710,한솔테크닉스,정보기술,,,,
2022,Q1,2,2,4710,한솔테크닉스,정보기술,,,,
2022,Q1,2,3,4710,한솔테크닉스,정보기술,,,,
2022,Q1,2,4,4710,한솔테크닉스,정보기술,,,,
2022,Q1,3,1,4710,한솔테크닉스,정보기술,,,,
2022,Q1,3,2,4710,한솔테크닉스,정보기술,,,,
2022,Q1,3,3,4710,한솔테크닉스,정보기술,,,,
2022,Q1,3,4,4710,한솔테크닉스,정보기술,,,,
2022,Q2,4,1,4710,한솔테크닉스,정보기술,,,,
2022,Q2,4,2,4710,한솔테크닉스,정보기술,,,,
2022,Q2,4,3,4710,한솔테크닉스,정보기술,,,,
2022,Q2,4,4,4710,한솔테크닉스,정보기술,,,,
2022,Q2,5,1,4710,한솔테크닉스,정보기술,,,,
2022,Q2,5,2,4710,한솔테크닉스,정보기술,,,,
2022,Q2,5,3,4710,한솔테크닉스,정보기술,,,,
2022,Q2,5,4,4710,한솔테크닉스,정보기술,,,,
2022,Q2,6,1,4710,한솔테크닉스,정보기술,,,,
2022,Q2,6,2,4710,한솔테크닉스,정보기술,,,,
2022,Q2,6,3,4710,한솔테크닉스,정보기술,,,,
2022,Q2,6,4,4710,한솔테크닉스,정보기술,,,,
2022,Q3,7,1,4710,한솔테크닉스,정보기술,,,,
2022,Q3,7,2,4710,한솔테크닉스,정보기술,,,,
2022,Q3,7,3,4710,한솔테크닉스,정보기술,,,,
2022,Q3,7,4,4710,한솔테크닉스,정보기술,2022-07-29,긍정,"한솔테크닉스는 2분기 영업이익이 전년 동기 대비 140% 이상 증가하며 강세를 보였고, 태양광 모듈 사업의 수요 증가와 고품질 기술력 보유로 실적 개선이 기대된다는 긍정적인 전망이 제시됨.",1.0
2022,Q3,8,1,4710,한솔테크닉스,정보기술,,,,
2022,Q3,8,2,4710,한솔테크닉스,정보기술,,,,
2022,Q3,8,3,4710,한솔테크닉스,정보기술,,,,
2022,Q3,8,4,4710,한솔테크닉스,정보기술,,,,
2022,Q3,9,1,4710,한솔테크닉스,정보기술,,,,
2022,Q3,9,2,4710,한솔테크닉스,정보기술,,,,
2022,Q3,9,3,4710,한솔테크닉스,정보기술,,,,
2022,Q3,9,4,4710,한솔테크닉스,정보기술,,,,
2022,Q4,10,1,4710,한솔테크닉스,정보기술,,,,
2022,Q4,10,2,4710,한솔테크닉스,정보기술,,,,
2022,Q4,10,3,4710,한솔테크닉스,정보기술,,,,
2022,Q4,10,4,4710,한솔테크닉스,정보기술,,,,
2022,Q4,11,1,4710,한솔테크닉스,정보기술,,,,
2022,Q4,11,2,4710,한솔테크닉스,정보기술,,,,
2022,Q4,11,3,4710,한솔테크닉스,정보기술,,,,
2022,Q4,11,4,4710,한솔테크닉스,정보기술,,,,
2022,Q4,12,1,4710,한솔테크닉스,정보기술,,,,
2022,Q4,12,2,4710,한솔테크닉스,정보기술,2022-12-12,중립,"요약문에서는 한솔테크닉스의 주가가 하락했으나, 내년 상반기에는 긍정적인 전망이 가능하다는 의견이 제시되었고, 추가 매수보다는 현 비중을 유지하라는 조언이 주어졌습니다. 그러나 이 정보만으로는 단기 주가 등락에 대한 명확한 판단을 내리기 어렵습니다.",0.0
2022,Q4,12,3,4710,한솔테크닉스,정보기술,,,,
2022,Q4,12,4,4710,한솔테크닉스,정보기술,,,,
2023,Q1,1,1,4710,한솔테크닉스,정보기술,,,,
2023,Q1,1,2,4710,한솔테크닉스,정보기술,,,,
2023,Q1,1,3,4710,한솔테크닉스,정보기술,,,,
2023,Q1,1,4,4710,한솔테크닉스,정보기술,,,,
2023,Q1,2,1,4710,한솔테크닉스,정보기술,,,,
2023,Q1,2,2,4710,한솔테크닉스,정보기술,,,,
2023,Q1,2,3,4710,한솔테크닉스,정보기술,2023-02-16,긍정,"한솔테크닉스는 지난해 흑자 전환을 했고, 매출 실적과 영업이익이 증가하고 있으며, 반도체 부품주로서 K 반도체 칩스 락스 효과를 받을 수 있는 종목으로 긍정적인 전망이 제시됨.",1.0
2023,Q1,2,4,4710,한솔테크닉스,정보기술,,,,
2023,Q1,3,1,4710,한솔테크닉스,정보기술,,,,
2023,Q1,3,2,4710,한솔테크닉스,정보기술,,,,
2023,Q1,3,3,4710,한솔테크닉스,정보기술,,,,
2023,Q1,3,4,4710,한솔테크닉스,정보기술,,,,
2023,Q2,4,1,4710,한솔테크닉스,정보기술,,,,
2023,Q2,4,2,4710,한솔테크닉스,정보기술,,,,
2023,Q2,4,3,4710,한솔테크닉스,정보기술,,,,
2023,Q2,4,4,4710,한솔테크닉스,정보기술,2023-04-24,중립,"뉴스 요약에서는 한솔테크닉스가 태양광 관련 사업을 진행하고 있으며, 1분기 영업이익이 증가했다는 점이 언급되었으나, 주가에 직접적인 영향을 미칠 만한 구체적인 이슈나 계약 체결 등의 정보는 부족하다.",0.0
2023,Q2,5,1,4710,한솔테크닉스,정보기술,2023-05-03,중립,"요약문에서 한솔테크닉스에 대한 구체적인 정보나 주가에 영향을 미칠 만한 직접적인 내용이 부족하여, 주가 등락에 대한 판단 근거가 부족함.",0.0
2023,Q2,5,2,4710,한솔테크닉스,정보기술,,,,
2023,Q2,5,3,4710,한솔테크닉스,정보기술,,,,
2023,Q2,5,4,4710,한솔테크닉스,정보기술,,,,
2023,Q2,6,1,4710,한솔테크닉스,정보기술,2023-06-07,중립,"요약문은 인티큐브의 수상 소식과 관련된 내용으로, 한솔테크닉스와 직접적인 관련이 없으며, 주가에 영향을 미칠 만한 정보가 포함되어 있지 않음.",0.0
2023,Q2,6,2,4710,한솔테크닉스,정보기술,,,,
2023,Q2,6,3,4710,한솔테크닉스,정보기술,,,,
2023,Q2,6,4,4710,한솔테크닉스,정보기술,2023-06-28,중립,"뉴스 요약에서는 한솔테크닉스의 최근 주가 급등과 관련된 시청자의 매매 전략에 대한 논의가 주를 이루고 있으며, 실적이 좋지 않다는 언급이 있지만, 주가가 상승할 가능성도 제시되고 있어 명확한 주가 등락의 근거가 부족합니다.",0.0
2023,Q3,7,1,4710,한솔테크닉스,정보기술,,,,
2023,Q3,7,2,4710,한솔테크닉스,정보기술,2023-07-12,중립,"한솔테크닉스의 주가는 최근 상승 기조에 있으며, 실적 개선과 신용등급 상향이 긍정적 요인으로 작용하고 있습니다. 그러나 현재 주가가 이미 많이 오른 상태이며, 추가 매수에 대한 조언이 신중하게 이루어지고 있어 단기적으로 큰 변동을 예측하기 어렵습니다.",0.0
2023,Q3,7,3,4710,한솔테크닉스,정보기술,,,,
2023,Q3,7,4,4710,한솔테크닉스,정보기술,,,,
2023,Q3,8,1,4710,한솔테크닉스,정보기술,,,,
2023,Q3,8,2,4710,한솔테크닉스,정보기술,,,,
2023,Q3,8,3,4710,한솔테크닉스,정보기술,,,,
2023,Q3,8,4,4710,한솔테크닉스,정보기술,,,,
2023,Q3,9,1,4710,한솔테크닉스,정보기술,2023-09-04,중립,"요약문은 한솔아이원스가 반도체 전시회에 참가하여 기술력을 선보였다는 내용으로, 한솔테크닉스의 주가에 직접적인 영향을 미칠 만한 정보는 포함되어 있지 않음.",0.0
2023,Q3,9,2,4710,한솔테크닉스,정보기술,,,,
2023,Q3,9,3,4710,한솔테크닉스,정보기술,,,,
2023,Q3,9,4,4710,한솔테크닉스,정보기술,,,,
2023,Q4,10,1,4710,한솔테크닉스,정보기술,,,,
2023,Q4,10,2,4710,한솔테크닉스,정보기술,,,,
2023,Q4,10,3,4710,한솔테크닉스,정보기술,,,,
2023,Q4,10,4,4710,한솔테크닉스,정보기술,,,,
2023,Q4,11,1,4710,한솔테크닉스,정보기술,,,,
2023,Q4,11,2,4710,한솔테크닉스,정보기술,,,,
2023,Q4,11,3,4710,한솔테크닉스,정보기술,,,,
2023,Q4,11,4,4710,한솔테크닉스,정보기술,,,,
2023,Q4,12,1,4710,한솔테크닉스,정보기술,2023-12-07,중립,"기사 요약은 한솔테크닉스의 주가에 직접적인 영향을 미칠 수 있는 정보가 아닌, 존중문화 캠페인에 관한 내용으로 기업의 조직문화 개선에 관한 내용만 포함되어 있어 주가에 미치는 영향은 중립적이라고 판단됨.",0.0
2023,Q4,12,2,4710,한솔테크닉스,정보기술,,,,
2023,Q4,12,3,4710,한솔테크닉스,정보기술,,,,
2023,Q4,12,4,4710,한솔테크닉스,정보기술,,,,
2024,Q1,1,1,4710,한솔테크닉스,정보기술,,,,
2024,Q1,1,2,4710,한솔테크닉스,정보기술,,,,
2024,Q1,1,3,4710,한솔테크닉스,정보기술,,,,
2024,Q1,1,4,4710,한솔테크닉스,정보기술,,,,
2024,Q1,2,1,4710,한솔테크닉스,정보기술,,,,
2024,Q1,2,2,4710,한솔테크닉스,정보기술,,,,
2024,Q1,2,3,4710,한솔테크닉스,정보기술,,,,
2024,Q1,2,4,4710,한솔테크닉스,정보기술,,,,
2024,Q1,3,1,4710,한솔테크닉스,정보기술,2024-03-05,긍정,"한솔테크닉스가 일본 방제 산업전에서 SDGs 솔루션 글로벌 부문 장려상을 수상했으며, 이들의 제품이 일본 방제 시장에서 실시간 정보 전달이 가능한 디지털 사이니지로 다양하게 사용될 것으로 기대된다는 점에서 긍정적인 논조로 판단됨.",1.0
2024,Q1,3,2,4710,한솔테크닉스,정보기술,,,,
2024,Q1,3,3,4710,한솔테크닉스,정보기술,,,,
2024,Q1,3,4,4710,한솔테크닉스,정보기술,,,,
2024,Q2,4,1,4710,한솔테크닉스,정보기술,,,,
2024,Q2,4,2,4710,한솔테크닉스,정보기술,,,,
2024,Q2,4,3,4710,한솔테크닉스,정보기술,,,,
2024,Q2,4,4,4710,한솔테크닉스,정보기술,,,,
2024,Q2,5,1,4710,한솔테크닉스,정보기술,,,,
2024,Q2,5,2,4710,한솔테크닉스,정보기술,2024-05-09,중립,"한솔테크닉스가 국제 그린에너지 엑스포에 플래티넘 스폰서로 참가하여 다양한 솔루션을 전시하고 인지도를 높이려는 노력을 보였으나, 이는 기업 가치나 주가에 직접적인 영향을 미친다고 보기 어려움.",0.0
2024,Q2,5,3,4710,한솔테크닉스,정보기술,,,,
2024,Q2,5,4,4710,한솔테크닉스,정보기술,,,,
2024,Q2,6,1,4710,한솔테크닉스,정보기술,,,,
2024,Q2,6,2,4710,한솔테크닉스,정보기술,,,,
2024,Q2,6,3,4710,한솔테크닉스,정보기술,,,,
2024,Q2,6,4,4710,한솔테크닉스,정보기술,,,,
2024,Q3,7,1,4710,한솔테크닉스,정보기술,,,,
2024,Q3,7,2,4710,한솔테크닉스,정보기술,,,,
2024,Q3,7,3,4710,한솔테크닉스,정보기술,,,,
2024,Q3,7,4,4710,한솔테크닉스,정보기술,,,,
2024,Q3,8,1,4710,한솔테크닉스,정보기술,,,,
2024,Q3,8,2,4710,한솔테크닉스,정보기술,,,,
2024,Q3,8,3,4710,한솔테크닉스,정보기술,,,,
2024,Q3,8,4,4710,한솔테크닉스,정보기술,,,,
2024,Q3,9,1,4710,한솔테크닉스,정보기술,,,,
