year,quarter,month,week,code,name,sector,upload_dt,score
2021,Q1,1,1,1120,LG상사,산업재,,
2021,Q1,1,2,1120,LG상사,산업재,,
2021,Q1,1,3,1120,LG상사,산업재,2021-01-19,1.0
2021,Q1,1,4,1120,LG상사,산업재,2021-01-30,-1.0
2021,Q1,2,1,1120,LG상사,산업재,2021-02-03,1.0
2021,Q1,2,2,1120,LG상사,산업재,,
2021,Q1,2,3,1120,LG상사,산업재,,
2021,Q1,2,4,1120,LG상사,산업재,,
2021,Q1,3,1,1120,LG상사,산업재,2021-03-03,1.0
2021,Q1,3,2,1120,LG상사,산업재,2021-03-10,1.0
2021,Q1,3,3,1120,LG상사,산업재,2021-03-15,0.0
2021,Q1,3,4,1120,LG상사,산업재,,
2021,Q2,4,1,1120,LX인터내셔널,산업재,,
2021,Q2,4,2,1120,LX인터내셔널,산업재,,
2021,Q2,4,3,1120,LX인터내셔널,산업재,,
2021,Q2,4,4,1120,LX인터내셔널,산업재,2021-04-26,0.0
2021,Q2,5,1,1120,LX인터내셔널,산업재,2021-05-03,0.0
2021,Q2,5,2,1120,LX인터내셔널,산업재,2021-05-13,1.0
2021,Q2,5,3,1120,LX인터내셔널,산업재,,
2021,Q2,5,4,1120,LX인터내셔널,산업재,2021-05-27,-1.0
2021,Q2,6,1,1120,LX인터내셔널,산업재,,
2021,Q2,6,2,1120,LX인터내셔널,산업재,2021-06-09,0.0
2021,Q2,6,3,1120,LX인터내셔널,산업재,,
2021,Q2,6,4,1120,LX인터내셔널,산업재,2021-06-24,1.0
2021,Q3,7,1,1120,LX인터내셔널,산업재,2021-07-01,0.0
2021,Q3,7,2,1120,LX인터내셔널,산업재,,
2021,Q3,7,3,1120,LX인터내셔널,산업재,,
2021,Q3,7,4,1120,LX인터내셔널,산업재,2021-07-23,0.0
2021,Q3,8,1,1120,LX인터내셔널,산업재,2021-08-02,1.0
2021,Q3,8,2,1120,LX인터내셔널,산업재,,
2021,Q3,8,3,1120,LX인터내셔널,산업재,,
2021,Q3,8,4,1120,LX인터내셔널,산업재,,
2021,Q3,9,1,1120,LX인터내셔널,산업재,,
2021,Q3,9,2,1120,LX인터내셔널,산업재,2021-09-14,1.0
2021,Q3,9,3,1120,LX인터내셔널,산업재,,
2021,Q3,9,4,1120,LX인터내셔널,산업재,2021-09-28,1.0
2021,Q4,10,1,1120,LX인터내셔널,산업재,2021-10-06,1.0
2021,Q4,10,2,1120,LX인터내셔널,산업재,2021-10-08,0.0
2021,Q4,10,3,1120,LX인터내셔널,산업재,,
2021,Q4,10,4,1120,LX인터내셔널,산업재,,
2021,Q4,11,1,1120,LX인터내셔널,산업재,2021-11-01,-1.0
2021,Q4,11,2,1120,LX인터내셔널,산업재,2021-11-08,1.0
2021,Q4,11,3,1120,LX인터내셔널,산업재,2021-11-18,0.0
2021,Q4,11,4,1120,LX인터내셔널,산업재,2021-11-24,1.0
2021,Q4,12,1,1120,LX인터내셔널,산업재,2021-12-06,0.0
2021,Q4,12,2,1120,LX인터내셔널,산업재,,
2021,Q4,12,3,1120,LX인터내셔널,산업재,2021-12-20,1.0
2021,Q4,12,4,1120,LX인터내셔널,산업재,2021-12-27,1.0
2022,Q1,1,1,1120,LX인터내셔널,산업재,,
2022,Q1,1,2,1120,LX인터내셔널,산업재,,
2022,Q1,1,3,1120,LX인터내셔널,산업재,,
2022,Q1,1,4,1120,LX인터내셔널,산업재,,
2022,Q1,2,1,1120,LX인터내셔널,산업재,2022-02-03,1.0
2022,Q1,2,2,1120,LX인터내셔널,산업재,2022-02-14,1.0
2022,Q1,2,3,1120,LX인터내셔널,산업재,,
2022,Q1,2,4,1120,LX인터내셔널,산업재,,
2022,Q1,3,1,1120,LX인터내셔널,산업재,2022-03-04,1.0
2022,Q1,3,2,1120,LX인터내셔널,산업재,2022-03-10,1.0
2022,Q1,3,3,1120,LX인터내셔널,산업재,,
2022,Q1,3,4,1120,LX인터내셔널,산업재,2022-03-31,1.0
2022,Q2,4,1,1120,LX인터내셔널,산업재,2022-04-06,0.0
2022,Q2,4,2,1120,LX인터내셔널,산업재,2022-04-11,1.0
2022,Q2,4,3,1120,LX인터내셔널,산업재,2022-04-20,0.0
2022,Q2,4,4,1120,LX인터내셔널,산업재,2022-04-29,1.0
2022,Q2,5,1,1120,LX인터내셔널,산업재,2022-05-03,1.0
2022,Q2,5,2,1120,LX인터내셔널,산업재,,
2022,Q2,5,3,1120,LX인터내셔널,산업재,2022-05-18,1.0
2022,Q2,5,4,1120,LX인터내셔널,산업재,2022-05-25,1.0
2022,Q2,6,1,1120,LX인터내셔널,산업재,,
2022,Q2,6,2,1120,LX인터내셔널,산업재,2022-06-08,1.0
2022,Q2,6,3,1120,LX인터내셔널,산업재,,
2022,Q2,6,4,1120,LX인터내셔널,산업재,2022-06-23,0.0
2022,Q3,7,1,1120,LX인터내셔널,산업재,2022-07-05,-1.0
2022,Q3,7,2,1120,LX인터내셔널,산업재,,
2022,Q3,7,3,1120,LX인터내셔널,산업재,,
2022,Q3,7,4,1120,LX인터내셔널,산업재,2022-07-30,1.0
2022,Q3,8,1,1120,LX인터내셔널,산업재,2022-08-02,1.0
2022,Q3,8,2,1120,LX인터내셔널,산업재,,
2022,Q3,8,3,1120,LX인터내셔널,산업재,2022-08-19,1.0
2022,Q3,8,4,1120,LX인터내셔널,산업재,2022-08-25,1.0
