year,quarter,month,week,code,name,sector,upload_dt,score
2021,Q1,1,1,6260,LS,산업재,,
2021,Q1,1,2,6260,LS,산업재,,
2021,Q1,1,3,6260,LS,산업재,2021-01-19,-1.0
2021,Q1,1,4,6260,LS,산업재,,
2021,Q1,2,1,6260,LS,산업재,2021-02-07,1.0
2021,Q1,2,2,6260,LS,산업재,,
2021,Q1,2,3,6260,LS,산업재,2021-02-19,0.0
2021,Q1,2,4,6260,LS,산업재,2021-02-23,1.0
2021,Q1,3,1,6260,LS,산업재,2021-03-05,-1.0
2021,Q1,3,2,6260,LS,산업재,,
2021,Q1,3,3,6260,LS,산업재,,
2021,Q1,3,4,6260,LS,산업재,,
2021,Q2,4,1,6260,LS,산업재,,
2021,Q2,4,2,6260,LS,산업재,,
2021,Q2,4,3,6260,LS,산업재,,
2021,Q2,4,4,6260,LS,산업재,,
2021,Q2,5,1,6260,LS,산업재,,
2021,Q2,5,2,6260,LS,산업재,,
2021,Q2,5,3,6260,LS,산업재,2021-05-21,-1.0
2021,Q2,5,4,6260,LS,산업재,,
2021,Q2,6,1,6260,LS,산업재,,
2021,Q2,6,2,6260,LS,산업재,2021-06-09,1.0
2021,Q2,6,3,6260,LS,산업재,2021-06-19,1.0
2021,Q2,6,4,6260,LS,산업재,,
2021,Q3,7,1,6260,LS,산업재,,
2021,Q3,7,2,6260,LS,산업재,,
2021,Q3,7,3,6260,LS,산업재,,
2021,Q3,7,4,6260,LS,산업재,2021-07-26,1.0
2021,Q3,8,1,6260,LS,산업재,2021-08-04,-1.0
2021,Q3,8,2,6260,LS,산업재,2021-08-10,-1.0
2021,Q3,8,3,6260,LS,산업재,2021-08-18,1.0
2021,Q3,8,4,6260,LS,산업재,,
2021,Q3,9,1,6260,LS,산업재,,
2021,Q3,9,2,6260,LS,산업재,2021-09-09,1.0
2021,Q3,9,3,6260,LS,산업재,,
2021,Q3,9,4,6260,LS,산업재,2021-09-29,1.0
2021,Q4,10,1,6260,LS,산업재,2021-10-01,1.0
2021,Q4,10,2,6260,LS,산업재,,
2021,Q4,10,3,6260,LS,산업재,,
2021,Q4,10,4,6260,LS,산업재,,
2021,Q4,11,1,6260,LS,산업재,,
2021,Q4,11,2,6260,LS,산업재,,
2021,Q4,11,3,6260,LS,산업재,,
2021,Q4,11,4,6260,LS,산업재,2021-11-26,0.0
2021,Q4,12,1,6260,LS,산업재,2021-12-01,-1.0
2021,Q4,12,2,6260,LS,산업재,,
2021,Q4,12,3,6260,LS,산업재,2021-12-17,0.0
2021,Q4,12,4,6260,LS,산업재,,
2022,Q1,1,1,6260,LS,산업재,,
2022,Q1,1,2,6260,LS,산업재,,
2022,Q1,1,3,6260,LS,산업재,,
2022,Q1,1,4,6260,LS,산업재,2022-01-27,1.0
2022,Q1,2,1,6260,LS,산업재,,
2022,Q1,2,2,6260,LS,산업재,2022-02-11,-1.0
2022,Q1,2,3,6260,LS,산업재,2022-02-21,0.0
2022,Q1,2,4,6260,LS,산업재,,
2022,Q1,3,1,6260,LS,산업재,2022-03-03,-1.0
2022,Q1,3,2,6260,LS,산업재,,
2022,Q1,3,3,6260,LS,산업재,,
2022,Q1,3,4,6260,LS,산업재,,
2022,Q2,4,1,6260,LS,산업재,,
2022,Q2,4,2,6260,LS,산업재,,
2022,Q2,4,3,6260,LS,산업재,2022-04-15,1.0
2022,Q2,4,4,6260,LS,산업재,2022-04-25,1.0
2022,Q2,5,1,6260,LS,산업재,2022-05-02,1.0
2022,Q2,5,2,6260,LS,산업재,,
2022,Q2,5,3,6260,LS,산업재,2022-05-20,1.0
2022,Q2,5,4,6260,LS,산업재,2022-05-26,-1.0
2022,Q2,6,1,6260,LS,산업재,2022-06-07,1.0
2022,Q2,6,2,6260,LS,산업재,,
2022,Q2,6,3,6260,LS,산업재,,
2022,Q2,6,4,6260,LS,산업재,,
2022,Q3,7,1,6260,LS,산업재,,
2022,Q3,7,2,6260,LS,산업재,2022-07-11,1.0
2022,Q3,7,3,6260,LS,산업재,,
2022,Q3,7,4,6260,LS,산업재,2022-07-28,1.0
2022,Q3,8,1,6260,LS,산업재,,
2022,Q3,8,2,6260,LS,산업재,,
2022,Q3,8,3,6260,LS,산업재,,
2022,Q3,8,4,6260,LS,산업재,,
2022,Q3,9,1,6260,LS,산업재,2022-09-03,-1.0
2022,Q3,9,2,6260,LS,산업재,,
2022,Q3,9,3,6260,LS,산업재,,
2022,Q3,9,4,6260,LS,산업재,2022-09-28,-1.0
2022,Q4,10,1,6260,LS,산업재,2022-10-06,-1.0
2022,Q4,10,2,6260,LS,산업재,2022-10-13,1.0
2022,Q4,10,3,6260,LS,산업재,2022-10-18,1.0
2022,Q4,10,4,6260,LS,산업재,2022-10-24,1.0
2022,Q4,11,1,6260,LS,산업재,2022-11-03,1.0
2022,Q4,11,2,6260,LS,산업재,,
2022,Q4,11,3,6260,LS,산업재,2022-11-16,0.0
2022,Q4,11,4,6260,LS,산업재,,
2022,Q4,12,1,6260,LS,산업재,,
2022,Q4,12,2,6260,LS,산업재,2022-12-12,1.0
2022,Q4,12,3,6260,LS,산업재,,
2022,Q4,12,4,6260,LS,산업재,,
2023,Q1,1,1,6260,LS,산업재,2023-01-02,1.0
2023,Q1,1,2,6260,LS,산업재,,
2023,Q1,1,3,6260,LS,산업재,,
2023,Q1,1,4,6260,LS,산업재,,
2023,Q1,2,1,6260,LS,산업재,,
2023,Q1,2,2,6260,LS,산업재,,
2023,Q1,2,3,6260,LS,산업재,,
2023,Q1,2,4,6260,LS,산업재,,
2023,Q1,3,1,6260,LS,산업재,2023-03-02,1.0
2023,Q1,3,2,6260,LS,산업재,,
2023,Q1,3,3,6260,LS,산업재,2023-03-16,1.0
2023,Q1,3,4,6260,LS,산업재,,
2023,Q2,4,1,6260,LS,산업재,,
2023,Q2,4,2,6260,LS,산업재,2023-04-14,1.0
2023,Q2,4,3,6260,LS,산업재,2023-04-20,1.0
2023,Q2,4,4,6260,LS,산업재,,
2023,Q2,5,1,6260,LS,산업재,2023-05-02,1.0
2023,Q2,5,2,6260,LS,산업재,2023-05-08,1.0
2023,Q2,5,3,6260,LS,산업재,2023-05-17,-1.0
2023,Q2,5,4,6260,LS,산업재,2023-05-30,-1.0
2023,Q2,6,1,6260,LS,산업재,2023-06-05,1.0
2023,Q2,6,2,6260,LS,산업재,2023-06-14,1.0
2023,Q2,6,3,6260,LS,산업재,2023-06-16,1.0
2023,Q2,6,4,6260,LS,산업재,2023-06-22,1.0
2023,Q3,7,1,6260,LS,산업재,,
2023,Q3,7,2,6260,LS,산업재,2023-07-10,-1.0
2023,Q3,7,3,6260,LS,산업재,2023-07-19,1.0
2023,Q3,7,4,6260,LS,산업재,2023-07-26,1.0
2023,Q3,8,1,6260,LS,산업재,2023-08-03,1.0
2023,Q3,8,2,6260,LS,산업재,2023-08-08,-1.0
2023,Q3,8,3,6260,LS,산업재,2023-08-16,1.0
2023,Q3,8,4,6260,LS,산업재,2023-08-22,1.0
2023,Q3,9,1,6260,LS,산업재,2023-09-06,-1.0
2023,Q3,9,2,6260,LS,산업재,,
2023,Q3,9,3,6260,LS,산업재,2023-09-18,0.0
2023,Q3,9,4,6260,LS,산업재,,
2023,Q4,10,1,6260,LS,산업재,2023-10-05,1.0
2023,Q4,10,2,6260,LS,산업재,,
2023,Q4,10,3,6260,LS,산업재,2023-10-19,1.0
2023,Q4,10,4,6260,LS,산업재,2023-10-23,1.0
2023,Q4,11,1,6260,LS,산업재,2023-11-01,-1.0
2023,Q4,11,2,6260,LS,산업재,2023-11-08,0.0
2023,Q4,11,3,6260,LS,산업재,,
2023,Q4,11,4,6260,LS,산업재,2023-11-29,1.0
2023,Q4,12,1,6260,LS,산업재,2023-12-03,1.0
2023,Q4,12,2,6260,LS,산업재,2023-12-13,1.0
2023,Q4,12,3,6260,LS,산업재,,
2023,Q4,12,4,6260,LS,산업재,2023-12-28,1.0
2024,Q1,1,1,6260,LS,산업재,2024-01-03,1.0
2024,Q1,1,2,6260,LS,산업재,2024-01-10,-1.0
2024,Q1,1,3,6260,LS,산업재,,
2024,Q1,1,4,6260,LS,산업재,,
2024,Q1,2,1,6260,LS,산업재,,
2024,Q1,2,2,6260,LS,산업재,,
2024,Q1,2,3,6260,LS,산업재,2024-02-16,1.0
2024,Q1,2,4,6260,LS,산업재,2024-02-29,-1.0
2024,Q1,3,1,6260,LS,산업재,2024-03-07,1.0
2024,Q1,3,2,6260,LS,산업재,2024-03-12,1.0
2024,Q1,3,3,6260,LS,산업재,2024-03-18,1.0
2024,Q1,3,4,6260,LS,산업재,2024-03-22,1.0
2024,Q2,4,1,6260,LS,산업재,,
2024,Q2,4,2,6260,LS,산업재,,
2024,Q2,4,3,6260,LS,산업재,,
2024,Q2,4,4,6260,LS,산업재,,
2024,Q2,5,1,6260,LS,산업재,2024-05-06,-1.0
2024,Q2,5,2,6260,LS,산업재,2024-05-12,1.0
2024,Q2,5,3,6260,LS,산업재,,
2024,Q2,5,4,6260,LS,산업재,2024-05-30,1.0
2024,Q2,6,1,6260,LS,산업재,2024-06-07,-1.0
2024,Q2,6,2,6260,LS,산업재,2024-06-10,-1.0
2024,Q2,6,3,6260,LS,산업재,,
2024,Q2,6,4,6260,LS,산업재,,
2024,Q3,7,1,6260,LS,산업재,,
2024,Q3,7,2,6260,LS,산업재,,
2024,Q3,7,3,6260,LS,산업재,2024-07-19,1.0
2024,Q3,7,4,6260,LS,산업재,,
2024,Q3,8,1,6260,LS,산업재,2024-08-07,-1.0
2024,Q3,8,2,6260,LS,산업재,2024-08-12,1.0
2024,Q3,8,3,6260,LS,산업재,2024-08-15,1.0
2024,Q3,8,4,6260,LS,산업재,2024-08-28,1.0
2024,Q3,9,1,6260,LS,산업재,2024-09-05,1.0
2024,Q3,9,2,6260,LS,산업재,2024-09-12,1.0
