종목명,code,year,quarter,공시일,시가,종가,수익률,LLM 예측,판단
CJ대한통운,000120,2022,Q4,2023-03-17,77600,82500,0.0631,down,false
CJ대한통운,000120,2023,Q1,2023-05-15,81800,83000,0.0147,up,true
CJ대한통운,000120,2023,Q2,2023-08-14,83100,79200,-0.0469,up,false
CJ대한통운,000120,2023,Q3,2023-11-14,79900,126100,0.5782,up,true
두산,000150,2022,Q4,2023-03-21,102600,93400,-0.0897,up,false
두산,000150,2023,Q1,2023-05-15,93100,106900,0.1482,up,true
두산,000150,2023,Q2,2023-08-14,106200,76400,-0.2806,down,true
두산,000150,2023,Q3,2023-11-14,76500,142100,0.8575,down,false
LX인터내셔널,001120,2022,Q4,2023-03-15,28950,30900,0.0674,down,false
LX인터내셔널,001120,2023,Q1,2023-05-15,30700,36050,0.1743,up,true
LX인터내셔널,001120,2023,Q2,2023-08-14,36350,29350,-0.1926,up,false
LX인터내셔널,001120,2023,Q3,2023-11-14,29100,26550,-0.0876,up,false
대한항공,003490,2022,Q4,2023-03-14,22900,22800,-0.0044,down,true
대한항공,003490,2023,Q1,2023-05-12,22800,25000,0.0965,up,true
대한항공,003490,2023,Q2,2023-08-14,25000,21100,-0.156,up,false
대한항공,003490,2023,Q3,2023-11-14,21300,22250,0.0446,up,true
S&T중공업,003570,2022,Q4,2023-02-20,9590,9590,0.0,up,false
SNT다이내믹스,003570,2023,Q1,2023-05-11,9600,9750,0.0156,up,true
SNT다이내믹스,003570,2023,Q2,2023-08-10,9730,13180,0.3546,,excluded
SNT다이내믹스,003570,2023,Q3,2023-11-09,13160,16800,0.2766,,excluded
LS,006260,2022,Q4,2023-03-21,71200,92700,0.302,up,true
LS,006260,2023,Q1,2023-05-15,92600,116500,0.2581,up,true
LS,006260,2023,Q2,2023-08-14,118000,76500,-0.3517,up,false
LS,006260,2023,Q3,2023-11-14,77200,107400,0.3912,up,true
LS일렉트릭,010120,2022,Q4,2023-03-20,55500,63900,0.1514,up,true
LS일렉트릭,010120,2023,Q1,2023-05-15,63600,100300,0.577,up,true
LS일렉트릭,010120,2023,Q2,2023-08-14,99800,64900,-0.3497,up,false
LS일렉트릭,010120,2023,Q3,2023-11-14,65600,81100,0.2363,down,false
HMM,011200,2022,Q4,2023-03-23,20300,19680,-0.0305,down,true
HMM,011200,2023,Q1,2023-05-15,19510,17300,-0.1133,up,false
HMM,011200,2023,Q2,2023-08-10,17250,16390,-0.0499,up,false
HMM,011200,2023,Q3,2023-11-10,16220,15680,-0.0333,up,false
한국단자,025540,2022,Q4,2023-03-23,55700,66200,0.1885,,excluded
한국단자,025540,2023,Q1,2023-05-15,66400,56800,-0.1446,down,true
한국단자,025540,2023,Q2,2023-08-14,57400,69800,0.216,down,false
한국단자,025540,2023,Q3,2023-11-14,69700,63000,-0.0961,down,true
포스코인터내셔널,047050,2022,Q4,2023-03-10,21700,27050,0.2465,up,true
포스코인터내셔널,047050,2023,Q1,2023-05-15,27450,91000,2.3151,up,true
포스코인터내셔널,047050,2023,Q2,2023-08-11,92700,58100,-0.3732,down,true
