Variable,VIF
const,1.2439707955382597
F_유동자산 변화율,1.3628280597587028
F_비유동자산 변화율,1.5672965870562299
F_자산총계 변화율,1.8617168844906986
F_유동부채 변화율,8.928060877257382
F_비유동부채 변화율,1.1260246077128813
F_부채총계 변화율,8.394975254689669
F_이익잉여금 변화율,1.0198486042088368
F_자본총계 변화율,1.0847823413432038
F_매출액 변화율,1.3275924692434153
F_영업이익 변화율,1.0180600572448428
F_법인세차감전 순이익 변화율,1.010882432825517
F_당기순이익 변화율,inf
F_당기순이익(손실) 변화율,inf
M_소비자물가지수 변화율,1.4077600545271116
M_환율 변화율,29.294813111148112
M_GDP 변화율,77.82306429512995
M_금리 변화율,2.8079127026961292
M_수출액 변화율,15.65726053608186
M_실업률 변화율,5.260278622235708
M_국제유가 변화율,4.3379923909102835
M_주택가격 변화율,58.020303846765714
Relative Return,1.0519678652990343
