Variable,VIF
const,1.2223456984890326
F_유동자산 변화율,2.260685851368295
F_비유동자산 변화율,2.1158988426441288
F_자산총계 변화율,2.390246463046913
F_유동부채 변화율,12.019161400213228
F_비유동부채 변화율,1.1659223301581445
F_부채총계 변화율,11.387804746084964
F_이익잉여금 변화율,1.1440298871702468
F_자본총계 변화율,2.5409339398172075
F_매출액 변화율,1.4637869850477718
F_영업이익 변화율,1.1564481009075704
F_법인세차감전 순이익 변화율,1.1923029717916953
F_당기순이익 변화율,inf
F_당기순이익(손실) 변화율,inf
M_소비자물가지수 변화율,1.4237761621905503
M_환율 변화율,25.038678015505717
M_GDP 변화율,63.73904362896622
M_금리 변화율,2.7625257080022196
M_수출액 변화율,14.003915128019134
M_실업률 변화율,4.480107207646522
M_국제유가 변화율,4.152974780037533
M_주택가격 변화율,46.71441969126791
Relative Return,1.1617372754888828
