Variable,VIF
const,1.308290177978473
F_유동자산 변화율,1.3535186844943539
F_비유동자산 변화율,2.1437039108041858
F_자산총계 변화율,3.227815092166019
F_유동부채 변화율,2.365075446340425
F_비유동부채 변화율,1.4170023053854386
F_부채총계 변화율,2.910531128226424
F_이익잉여금 변화율,1.0088124183941327
F_자본총계 변화율,1.1899635377168085
F_매출액 변화율,1.119709410869423
F_영업이익 변화율,1.018177785488814
F_법인세차감전 순이익 변화율,1.7992951352483064
F_당기순이익 변화율,inf
F_당기순이익(손실) 변화율,inf
M_소비자물가지수 변화율,1.4174766633859466
M_환율 변화율,35.06953718019015
M_GDP 변화율,97.69391100870554
M_금리 변화율,3.084844922022064
M_수출액 변화율,18.273740873032324
M_실업률 변화율,6.262862224790271
M_국제유가 변화율,4.624324041764894
M_주택가격 변화율,74.29404970065255
Relative Return,1.0524942692881412
