Variable,VIF
const,1.2385606878727131
F_유동자산 변화율,1.1106079790304868
F_비유동자산 변화율,1.8823805179869897
F_자산총계 변화율,5.6964907086025365
F_유동부채 변화율,1.5991697876137474
F_비유동부채 변화율,1.0127392583403256
F_부채총계 변화율,4.546155756438802
F_이익잉여금 변화율,1.0068238374931304
F_자본총계 변화율,2.8890925234899947
F_매출액 변화율,1.0377069636454186
F_영업이익 변화율,1.0346857295915106
F_법인세차감전 순이익 변화율,1.0540798903068218
F_당기순이익 변화율,inf
F_당기순이익(손실) 변화율,inf
M_소비자물가지수 변화율,1.413010787221914
M_환율 변화율,38.397616361017796
M_GDP 변화율,114.35988163558322
M_금리 변화율,3.2617214317384207
M_수출액 변화율,19.298291245423687
M_실업률 변화율,7.5602023022630584
M_국제유가 변화율,4.977281401577072
M_주택가격 변화율,85.97888184469659
Relative Return,1.0404016150199022
