날짜,시가,고가,저가,종가,거래량,등락률,SMA_20,SMA_60,EMA_20,RSI,BB_UPPER,BB_MIDDLE,BB_LOWER,MACD,MACD_SIGNAL,MACD_HIST,STOCH_SLOWK,STOCH_SLOWD,OBV
2020-03-02,14850,15100,14550,14800,423243,-1.0033444816053512,,,,,,,,,,,,,423243.0
2020-03-03,15100,15250,14850,14950,432186,1.0135135135135136,,,,,,,,,,,,,855429.0
2020-03-04,14800,15150,14750,15050,240746,0.6688963210702341,,,,,,,,,,,,,1096175.0
2020-03-05,15200,15700,15150,15550,321292,3.322259136212625,,,,,,,,,,,,,1417467.0
2020-03-06,15350,15350,14900,15000,275833,-3.536977491961415,,,,,,,,,,,,,1141634.0
2020-03-09,14500,14500,13650,13750,856008,-8.333333333333332,,,,,,,,,,,,,285626.0
2020-03-10,13400,13950,13350,13850,480257,0.7272727272727273,,,,,,,,,,,,,765883.0
2020-03-11,13950,14100,13450,13600,365188,-1.8050541516245489,,,,,,,,,,,,,400695.0
2020-03-12,13600,13600,12350,12650,986916,-6.985294117647059,,,,,,,,,,,13.97163120567376,15.999212813589745,-586221.0
2020-03-13,11400,12050,11150,11850,894262,-6.324110671936759,,,,,,,,,,,13.844606753466712,13.360184030547833,-1480483.0
2020-03-16,11900,12250,11200,11250,405830,-5.063291139240507,,,,,,,,,,,11.428450965511429,13.081562974883967,-1886313.0
2020-03-17,10650,11150,10550,10850,522024,-3.555555555555556,,,,,,,,,,,10.912019040628799,12.061692253202315,-2408337.0
2020-03-18,10900,10950,10150,10150,599194,-6.451612903225806,,,,,,,,,,,3.9468449112755644,8.762438305805265,-3007531.0
2020-03-19,10300,10500,9030,9090,1009767,-10.44334975369458,,,,,,,,,,,3.4380194208730663,6.098961124259144,-4017298.0
2020-03-20,9380,9730,9000,9730,657286,7.04070407040704,,,,18.509316770186334,,,,,,,8.108297499601848,5.164387277250161,-3360012.0
2020-03-23,9010,9360,8640,8700,659090,-10.585817060637206,,,,16.267741664567062,,,,,,,8.905110248605832,6.817142389693584,-4019102.0
2020-03-24,8960,9360,8760,9360,616264,7.586206896551724,,,,22.725619608053563,,,,,,,18.673602625793862,11.895670124667182,-3402838.0
2020-03-25,9600,10250,9600,10250,843342,9.508547008547009,,,,30.50880801363651,,,,,,,40.039469733596455,22.53939420266538,-2559496.0
2020-03-26,10350,11200,10100,10550,828665,2.9268292682926838,,,,32.959970711119965,,,,,,,64.11244865125913,40.94184033688315,-1730831.0
2020-03-27,11150,11200,10200,10800,497446,2.3696682464454977,12089.0,,12089.0,35.01702339915432,16564.98436100932,12089.0,7613.0156389906815,,,,81.84783826164875,61.99991888216812,-1233385.0
