code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익
240,Hankook_Tire_Worldwide,Automotive_&_Parts,2018,Q1,"241,321,875,393","2,071,674,768,557","2,312,996,643,950","53,237,184,936","58,333,738,814","111,570,923,750","863,984,908,299","2,201,425,720,200",30406799024.0,25248106567.0,27234604630.0,23655327303.0,23655327303.0,"46,510,086,500",
270,Kia_Corp,Automotive_&_Parts,2018,Q1,"14,639,973,000,000","23,812,279,000,000","38,452,252,000,000","8,535,018,000,000","6,908,391,000,000","15,443,409,000,000","19,324,863,000,000","23,008,843,000,000",7161352000000.0,15385000000.0,288602000000.0,268527000000.0,268527000000.0,,
2350,Nexen_Tire,Automotive_&_Parts,2018,Q1,"717,408,411,696","1,614,517,892,619","2,331,926,304,315","433,205,889,642","599,434,255,604","1,032,640,145,246","1,180,874,003,102","1,299,286,159,069",367213557303.0,35767086977.0,40744724502.0,31023976626.0,31023976626.0,"54,083,938,500",
3490,Korean_Air,Automotive_&_Parts,2018,Q1,"3,725,662,351,417","20,361,926,020,829","24,087,588,372,246","6,350,774,083,288","14,140,930,245,905","20,491,704,329,193","659,815,237,486","3,595,884,043,053",3017276278086.0,176788781074.0,33338330414.0,23312672872.0,23312672872.0,"479,777,140,000",
3620,SsangYong_Motor,Automotive_&_Parts,2018,Q1,"609,213,380,984","1,591,302,409,078","2,200,515,790,062","987,566,545,260","468,692,356,756","1,456,258,902,016","-34,170,129,746","744,256,888,046",806787583701.0,-31120816007.0,-34166888634.0,-34166888634.0,-34166888634.0,"689,746,980,000",
4490,SEBANG_Global_Battery,Automotive_&_Parts,2018,Q1,"711,253,382,175","453,033,987,247","1,164,287,369,422","249,446,050,660","8,083,506,505","257,529,557,165","849,789,786,673","906,757,812,257",293928520991.0,18766186787.0,23979868848.0,18244381821.0,18244381821.0,"7,000,000,000",
5380,Hyundai_Motor,Automotive_&_Parts,2018,Q1,"23,084,566,000,000","46,818,532,000,000","69,903,098,000,000","10,914,902,000,000","5,157,419,000,000","16,072,321,000,000","49,795,875,000,000","53,830,777,000,000",9672471000000.0,185324000000.0,487712000000.0,,,"1,488,993,000,000",
7340,Dong-A_Tire,Automotive_&_Parts,2018,Q1,"49,147,510,688","247,586,310,156","296,733,820,844","23,377,718,900","5,457,519,435","28,835,238,335","536,095,057,704","267,898,582,509",32839089307.0,1780827436.0,1907987688.0,1462699085.0,1462699085.0,"4,997,002,500",
7860,Seoyon,Automotive_&_Parts,2018,Q1,"4,992,987,193","351,592,539,510","356,585,526,703","11,405,018,861","2,732,791,081","14,137,809,942","596,449,532,071","342,447,716,761",5443053660.0,2525204049.0,2699062254.0,2703695132.0,2703695132.0,"11,739,922,000",
8490,Seohung,Automotive_&_Parts,2018,Q1,"128,960,484,105","290,236,118,450","419,196,602,555","143,411,032,867","51,145,096,710","194,556,129,577","178,457,408,988","224,640,472,978",77269534983.0,5998561264.0,6827521490.0,6533683407.0,6533683407.0,"6,084,556,500",
9680,Motonic,Automotive_&_Parts,2018,Q1,"312,659,633,737","110,447,333,169","423,106,966,906","18,886,405,629","12,357,800,704","31,244,206,333","341,286,957,978","391,862,760,573",43601641922.0,736273524.0,2363563887.0,1752700948.0,1752700948.0,"16,500,000,000",
10690,Hwashin,Automotive_&_Parts,2018,Q1,"351,825,629,853","271,817,883,502","623,643,513,355","224,502,152,492","14,750,357,707","239,252,510,199","382,545,576,218","384,391,003,156",111059204601.0,-13740484501.0,-18538857349.0,-18254381286.0,-18254381286.0,"17,460,205,000",
12330,Hyundai_Mobis,Automotive_&_Parts,2018,Q1,"12,287,112,000,000","13,897,198,000,000","26,184,310,000,000","4,537,269,000,000","388,323,000,000","4,925,592,000,000","19,792,656,000,000","21,258,718,000,000",4592497000000.0,318566000000.0,481822000000.0,359970000000.0,359970000000.0,"491,096,000,000",
18880,Hanon_Systems,Automotive_&_Parts,2018,Q1,"1,104,240,154,774","1,787,659,436,156","2,891,899,590,930","708,221,759,534","478,103,180,694","1,186,324,940,228","1,401,134,392,617","1,705,574,650,702",593289819340.0,41690991728.0,39375224775.0,31151386853.0,31151386853.0,"53,380,000,000",
20000,Hansum,Automotive_&_Parts,2018,Q1,"361,370,291,350","771,942,297,447","1,133,312,588,797","193,290,667,185","1,442,466,632","194,733,133,817","830,761,414,517",,198662562051.0,23007487848.0,34970898761.0,25963307286.0,25963307286.0,"12,315,000,000",
73240,Kumho_Tire,Automotive_&_Parts,2018,Q1,"1,126,323,487,335","2,119,309,315,625","3,245,632,802,960","1,601,496,286,185","495,282,902,480","2,096,779,188,665","151,770,616,080","1,148,853,614,295",457437500237.0,-2680674822.0,-4691448824.0,-1086733127.0,-1086733127.0,"789,965,790,000",
86280,Hyundai_Glovis,Automotive_&_Parts,2018,Q1,"3,088,891,168,951","4,139,609,697,968","7,228,500,866,919","2,316,160,063,027","1,393,694,129,489","3,709,854,192,516","3,267,730,907,984","3,518,646,674,403",2968589475240.0,102834359608.0,115403795727.0,91099109316.0,91099109316.0,"18,750,000,000",
161390,Hankook_Tire_&_Technology,Automotive_&_Parts,2018,Q1,"2,102,226,615,256","4,179,062,980,472","6,281,289,595,728","1,344,547,002,999","613,312,616,456","1,957,859,619,455","1,806,752,937,695","4,323,429,976,273",745518377587.0,31735423210.0,91168169854.0,67735718533.0,67735718533.0,"61,937,534,500",
