code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익
70,Samyang_Holdings,Conglomerate,2018,Q3,"285,102,000,000","1,327,618,000,000","1,612,720,000,000","97,949,000,000","108,249,000,000","206,198,000,000","1,021,929,000,000","1,406,522,000,000",19121000000.0,10720000000.0,13431000000.0,12206000000.0,12206000000.0,"44,342,000,000",
140,Hite_Jinro_Holdings,Conglomerate,2018,Q3,"1,026,651,397","1,624,709,344,300","1,625,735,995,697","593,585,851,760","28,566,503,495","622,152,355,255","16,990,209,533","1,003,583,640,442",1122591525.0,605976917.0,-2901652966.0,-3568909324.0,-3568909324.0,"118,387,875,000",
150,Doosan_Corp,Conglomerate,2018,Q3,"1,255,440,278,446","3,536,342,736,072","4,791,783,014,518","1,425,723,802,007","1,029,767,917,631","2,455,491,719,638","1,734,061,146,016","2,336,291,294,880",,43424083019.0,23284365744.0,18780661144.0,18780661144.0,"134,845,735,000",
210,DL_Holdings,Conglomerate,2018,Q3,"5,383,777,542,909","5,097,823,745,877","10,481,601,288,786","3,814,175,768,445","1,509,906,031,679","5,324,081,800,124","4,469,160,099,014","5,157,519,488,662",2062821005221.0,167254130500.0,476591189462.0,368219268257.0,368219268257.0,"218,500,000,000",
640,Dong-A_Socio_Holdings,Conglomerate,2018,Q3,"100,782,411,498","807,942,049,661","908,724,461,159","149,533,121,699","102,559,412,343","252,092,534,042","441,440,335,791","656,631,927,117",20510339839.0,8729230176.0,5512281533.0,5553145982.0,5553145982.0,"30,691,470,000",
880,Hanwha_Corp,Conglomerate,2018,Q3,"2,211,902,000,000","5,776,226,000,000","7,988,128,000,000","3,119,255,000,000","1,556,410,000,000","4,675,665,000,000","2,260,021,000,000","3,312,463,000,000",1391623000000.0,91259000000.0,73743000000.0,57099000000.0,57099000000.0,"489,550,000,000",
1040,CJ_Corp,Conglomerate,2018,Q3,"80,017,191,000","2,718,922,704,000","2,798,939,895,000","39,262,699,000","110,803,351,000","150,066,050,000","1,714,082,561,000","2,648,873,845,000",,11278726000.0,5238620000.0,3967616000.0,3967616000.0,"157,914,810,000",
1120,LG_International,Conglomerate,2018,Q3,"682,035,637,389","2,148,109,771,129","2,830,145,408,518","793,619,582,040","888,736,083,498","1,682,355,665,538","912,276,515,410","1,147,789,742,980",763140272355.0,-396682055.0,27406543831.0,23240575059.0,23240575059.0,"193,800,000,000",
3550,LG_Corp,Conglomerate,2018,Q3,"411,025,000,000","8,952,503,000,000","9,363,528,000,000","161,935,000,000","164,309,000,000","326,244,000,000","5,705,239,000,000","9,037,284,000,000",98249000000.0,47279000000.0,48759000000.0,37008000000.0,37008000000.0,"879,359,000,000",
4150,Hansol_Holdings,Conglomerate,2018,Q3,"53,675,867,320","415,922,472,199","469,598,339,519","30,729,915,108","2,371,032,971","33,100,948,079","-136,453,778,304","436,497,391,440",,3149924878.0,2318617739.0,6810783838.0,6810783838.0,"231,799,355,000",
6260,LS_Corp,Conglomerate,2018,Q3,"17,619,000,000","2,175,069,000,000","2,192,688,000,000","197,936,000,000","108,714,000,000","306,650,000,000","1,641,742,000,000","1,886,038,000,000",,1213000000.0,-1014000000.0,-1089000000.0,-1089000000.0,"161,000,000,000",
34730,SK_Holdings,Conglomerate,2018,Q3,"861,812,000,000","20,066,968,000,000","20,928,780,000,000","2,709,585,000,000","5,517,759,000,000","8,227,344,000,000","8,277,436,000,000","12,701,436,000,000",545154000000.0,131594000000.0,107771000000.0,85635000000.0,85635000000.0,"15,385,000,000",
60980,Halla_Holdings,Conglomerate,2018,Q3,"283,754,650,489","1,165,860,106,611","1,449,614,757,100","213,622,585,483","362,823,128,167","576,445,713,650","611,082,489,071","873,169,043,450",176973539042.0,16869020572.0,-5125947691.0,-8046172603.0,-8046172603.0,"55,086,180,000",
78930,GS_Holdings,Conglomerate,2018,Q3,"44,001,000,000","6,175,162,000,000","6,219,163,000,000","335,489,000,000","578,343,000,000","913,832,000,000","3,545,954,000,000","5,305,331,000,000",34626000000.0,26418000000.0,21570000000.0,16382000000.0,16382000000.0,"473,501,000,000",
