code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익
50,Kyungbang,Materials_&_Chemicals,2016,Q2,"81,771,535,314","1,166,585,199,462","1,248,356,734,776","124,259,141,712","438,422,097,830","562,681,239,542","672,199,833,473","685,675,495,234",78285042550.0,10777827335.0,9014162562.0,12302469428.0,12302469428.0,,
480,Chosun_Refractories,Materials_&_Chemicals,2016,Q2,"218,317,484,472","366,722,162,705","585,039,647,177","129,583,635,494","5,640,051,241","135,223,686,735","352,513,413,547","449,815,960,442",112129395175.0,5284910962.0,8890011580.0,6172131795.0,6172131795.0,,
670,Youngpoong,Materials_&_Chemicals,2016,Q2,"471,904,996,302","1,635,978,095,468","2,107,883,091,770","84,997,758,561","327,058,700,547","412,056,459,108","1,692,646,312,923","1,695,826,632,662",279615645641.0,19613994651.0,21169551002.0,16114957587.0,16114957587.0,,
1230,Dongkuk_Steel,Materials_&_Chemicals,2016,Q2,"1,692,596,675,000","4,852,252,240,000","6,544,848,915,000","2,866,358,165,000","1,009,745,726,000","3,876,103,891,000","1,135,551,883,000","2,668,745,024,000",1165721746000.0,99023067000.0,47447821000.0,45648674000.0,45648674000.0,"588,968,595,000",
1430,SeAH_Besteel,Materials_&_Chemicals,2016,Q2,"760,691,868,031","1,726,137,268,297","2,486,829,136,328","203,750,279,443","691,671,420,694","895,421,700,137","1,070,328,754,212","1,591,407,436,191",434900494576.0,32682557398.0,26217830458.0,23528265763.0,23528265763.0,,
2240,KIS_Wire,Materials_&_Chemicals,2016,Q2,"233,270,980,404","1,140,649,683,355","1,373,920,663,759","248,003,884,622","91,393,454,472","339,397,339,094","997,105,709,961","1,034,523,324,665",116967542100.0,7810867417.0,6419652486.0,5036161405.0,5036161405.0,,
2380,KCC,Materials_&_Chemicals,2016,Q2,"1,727,912,665,357","6,632,609,314,542","8,360,521,979,899","1,494,740,395,698","1,293,529,695,478","2,788,270,091,176","4,151,925,165,261","5,572,251,888,723",814745710811.0,86491848678.0,63019414674.0,47205818559.0,47205818559.0,,
3030,SeAH_Steel,Materials_&_Chemicals,2016,Q2,"471,185,579,553","1,097,914,666,760","1,569,100,246,313","297,371,577,314","123,854,111,899","421,225,689,213","1,023,292,373,077","1,147,874,557,100",335490688332.0,17867433976.0,16105935158.0,9943445607.0,9943445607.0,,
3200,Ilshin_Spinning,Materials_&_Chemicals,2016,Q2,"171,519,708,737","386,278,311,923","557,798,020,660","44,150,776,649","20,734,496,067","64,885,272,716","468,746,801,808","492,912,747,944",87862767242.0,3883532098.0,4999054430.0,3972383951.0,3972383951.0,"12,000,000,000",
3300,Hanil_Cement,Materials_&_Chemicals,2016,Q2,"775,004,282,543","1,197,630,985,687","1,972,635,268,230","334,282,677,816","261,809,296,198","596,091,974,014","1,309,189,662,311","1,376,543,294,216",288130529531.0,28472489174.0,29654807587.0,22473954568.0,22473954568.0,,
3410,Ssangyong_Cement,Materials_&_Chemicals,2016,Q2,"305,916,391,089","2,042,285,973,053","2,348,202,364,142","850,457,031,033","282,016,546,819","1,132,473,577,852","221,662,420,120","1,215,728,786,290",355626854800.0,52869591928.0,45804208322.0,36750939666.0,36750939666.0,"401,515,760,000",
4000,Samsung_Fine Chemicals,Materials_&_Chemicals,2016,Q2,"558,539,708,384","978,177,327,358","1,536,717,035,742","144,248,575,029","328,162,517,954","472,411,092,983","592,079,709,488","1,064,305,942,759",292737094527.0,24197935445.0,22417070758.0,17259271403.0,17259271403.0,,
4020,Hyundai_Steel,Materials_&_Chemicals,2016,Q2,"4,927,276,989,832","24,937,507,818,338","29,864,784,808,170","5,176,302,203,224","9,106,533,361,803","14,282,835,565,027","10,076,194,202,574","15,581,949,243,143",3615075564188.0,352244165963.0,276821759764.0,201071184529.0,201071184529.0,,
