code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익
660,S_hynix,Technology,2015,Q4,"8,421,984,000,000","20,320,214,000,000","28,742,198,000,000","4,750,892,000,000","3,308,841,000,000","8,059,733,000,000","13,614,710,000,000","20,682,465,000,000",18780792000000.0,5076507000000.0,5002479000000.0,4019080000000.0,4019080000000.0,,
4710,Hansol_Technics,Technology,2015,Q4,"91,702,233,410","347,719,445,099","439,421,678,509","102,104,885,632","104,681,708,257","206,786,593,889","357,434,540","232,635,084,620",519929470481.0,8267419007.0,3961327310.0,2867401752.0,2867401752.0,"110,549,390,000",
5930,Samsung_Electronics,Technology,2015,Q4,"67,002,055,000,000","101,967,575,000,000","168,969,630,000,000","29,630,488,000,000","2,910,887,000,000","32,541,375,000,000","143,629,177,000,000","136,428,255,000,000",135205045000000.0,13398215000000.0,14352617000000.0,12238469000000.0,12238469000000.0,,
6400,Samsung_SDI,Technology,2015,Q4,"3,473,781,557,850","11,183,004,952,357","14,656,786,510,207","2,473,160,239,921","1,383,033,484,073","3,856,193,723,994","4,867,904,004,436","10,800,592,786,213",6680135828651.0,-204822385805.0,-227199453273.0,-141934840632.0,-141934840632.0,"356,712,130,000",
8060,Daeduck_Electronics,Technology,2015,Q4,"288,629,974,620","236,776,897,289","525,406,871,909","67,033,955,352","2,182,867,021","69,216,822,373","34,477,409,096","456,190,049,536",512596613599.0,26807441773.0,40120356940.0,30599487242.0,30599487242.0,"24,398,150,000",
9150,Samsung_Electro-Mechanics,Technology,2015,Q4,"2,025,557,321,811","3,297,287,991,926","5,322,845,313,737","809,825,373,490","446,919,502,688","1,256,744,876,178",,"4,066,100,437,559",5297402353460.0,1565394093.0,236747906935.0,118432190852.0,118432190852.0,"388,003,400,000",
10780,IS_Dongseo,Technology,2015,Q4,"1,170,051,296,361","423,901,724,066","1,593,953,020,427","570,080,085,359","465,160,820,424","1,035,240,905,783","291,726,624,220","558,712,114,644",780108970857.0,107668927793.0,130136383786.0,101793854040.0,101793854040.0,"13,635,073,500",
11070,LG_Innotek,Technology,2015,Q4,"1,506,662,499,458","2,092,090,153,166","3,598,752,652,624","1,215,028,042,029","823,220,694,615","2,038,248,736,644","291,726,708,826","1,560,503,915,980",5691346072943.0,184135101845.0,53396128944.0,43578085800.0,43578085800.0,,
18260,Samsung_SDS,Technology,2015,Q4,"2,731,868,723,692","2,553,205,913,975","5,285,074,637,667","949,518,710,964","68,351,008,793","1,017,869,719,757","3,075,651,418,853","4,267,204,917,910",4352976599247.0,339767216182.0,468384288479.0,350251400716.0,350251400716.0,"38,688,900,000",
34220,LG_Display,Technology,2015,Q4,"8,246,330,000,000","11,964,363,000,000","20,210,693,000,000","6,505,979,000,000","2,375,131,000,000","8,881,110,000,000","7,289,333,000,000","11,329,583,000,000",25856426000000.0,770856000000.0,1181626000000.0,968209000000.0,968209000000.0,,
35420,NAVER_Corp,Technology,2015,Q4,"1,804,796,316,000","1,578,921,333,000","3,383,717,649,000","739,150,464,000","268,850,850,000","1,008,001,314,000","3,293,691,504,000","2,375,716,335,000",2141274744000.0,826491298000.0,848500733000.0,642595653000.0,642595653000.0,,
36570,NCSOFT,Technology,2015,Q4,"924,363,836,603","1,177,272,046,775","2,101,635,883,378","225,123,834,576","81,555,879,918","306,679,714,494","1,338,997,265,387","1,794,956,168,884",616604463077.0,257250508328.0,253201665610.0,187589129416.0,187589129416.0,,
42700,Hanmi_Semiconductor,Technology,2015,Q4,"108,768,706,547","132,614,756,297","241,383,462,844","25,812,216,965","5,615,378,780","31,427,595,745","179,401,970,699","209,955,867,099",117791353740.0,23346709861.0,27150098450.0,20894749279.0,20894749279.0,,
66570,LG_Electronics,Technology,2015,Q4,"8,268,810,000,000","17,597,565,000,000","25,866,375,000,000","9,750,390,000,000","7,154,976,000,000","16,905,366,000,000","5,046,104,000,000","8,961,009,000,000",28368428000000.0,-17537000000.0,-265823000000.0,-355839000000.0,-355839000000.0,"904,169,000,000",
