Year,Quarter,sj_div,account_nm,thstrm_dt,thstrm_amount
2020,Q1,BS,유동자산,2020.03.31 현재,"22,629,747,480"
2020,Q1,BS,비유동자산,2020.03.31 현재,"706,516,247,630"
2020,Q1,BS,자산총계,2020.03.31 현재,"729,145,995,110"
2020,Q1,BS,유동부채,2020.03.31 현재,"49,752,609,270"
2020,Q1,BS,비유동부채,2020.03.31 현재,"30,482,302,043"
2020,Q1,BS,부채총계,2020.03.31 현재,"80,234,911,313"
2020,Q1,BS,자본금,2020.03.31 현재,"20,708,285,000"
2020,Q1,BS,이익잉여금,2020.03.31 현재,"537,248,507,024"
2020,Q1,BS,자본총계,2020.03.31 현재,"648,911,083,797"
2020,Q1,IS,매출액,2020.01.01 ~ 2020.03.31,8600015314
2020,Q1,IS,영업이익,2020.01.01 ~ 2020.03.31,7143912073
2020,Q1,IS,법인세차감전 순이익,2020.01.01 ~ 2020.03.31,9697607339
2020,Q1,IS,당기순이익,2020.01.01 ~ 2020.03.31,9817330028
2020,Q1,IS,당기순이익(손실),2020.01.01 ~ 2020.03.31,9817330028
2020,Q2,BS,유동자산,2020.06.30 현재,"9,216,735,110"
2020,Q2,BS,비유동자산,2020.06.30 현재,"697,126,620,936"
2020,Q2,BS,자산총계,2020.06.30 현재,"706,343,356,046"
2020,Q2,BS,유동부채,2020.06.30 현재,"37,775,556,589"
2020,Q2,BS,비유동부채,2020.06.30 현재,"15,965,377,452"
2020,Q2,BS,부채총계,2020.06.30 현재,"53,740,934,041"
2020,Q2,BS,자본금,2020.06.30 현재,"20,708,285,000"
2020,Q2,BS,이익잉여금,2020.06.30 현재,"540,541,465,669"
2020,Q2,BS,자본총계,2020.06.30 현재,"652,602,422,005"
2020,Q2,IS,매출액,2020.01.01 ~ 2020.06.30,1360500722
2020,Q2,IS,영업이익,2020.01.01 ~ 2020.06.30,-315832791
2020,Q2,IS,법인세차감전 순이익,2020.01.01 ~ 2020.06.30,-3290821768
2020,Q2,IS,당기순이익,2020.01.01 ~ 2020.06.30,-763041355
2020,Q2,IS,당기순이익(손실),2020.01.01 ~ 2020.06.30,-763041355
2020,Q3,BS,유동자산,2020.09.30 현재,"17,566,737,508"
2020,Q3,BS,비유동자산,2020.09.30 현재,"699,112,825,345"
2020,Q3,BS,자산총계,2020.09.30 현재,"716,679,562,853"
2020,Q3,BS,유동부채,2020.09.30 현재,"59,180,059,188"
2020,Q3,BS,비유동부채,2020.09.30 현재,"3,589,827,364"
2020,Q3,BS,부채총계,2020.09.30 현재,"62,769,886,552"
2020,Q3,BS,자본금,2020.09.30 현재,"20,708,285,000"
2020,Q3,BS,이익잉여금,2020.09.30 현재,"541,024,783,812"
2020,Q3,BS,자본총계,2020.09.30 현재,"653,909,676,301"
2020,Q3,IS,매출액,2020.01.01 ~ 2020.09.30,1900598324
2020,Q3,IS,영업이익,2020.01.01 ~ 2020.09.30,141722003
2020,Q3,IS,법인세차감전 순이익,2020.01.01 ~ 2020.09.30,134843248
2020,Q3,IS,당기순이익,2020.01.01 ~ 2020.09.30,1291188531
2020,Q3,IS,당기순이익(손실),2020.01.01 ~ 2020.09.30,1291188531
2020,Q4,BS,유동자산,2020.12.31 현재,"12,448,417,162"
2020,Q4,BS,비유동자산,2020.12.31 현재,"702,589,425,774"
2020,Q4,BS,자산총계,2020.12.31 현재,"715,037,842,936"
2020,Q4,BS,유동부채,2020.12.31 현재,"48,935,814,444"
2020,Q4,BS,비유동부채,2020.12.31 현재,"7,770,773,991"
2020,Q4,BS,부채총계,2020.12.31 현재,"56,706,588,435"
2020,Q4,BS,자본금,2020.12.31 현재,"20,708,285,000"
2020,Q4,BS,이익잉여금,2020.12.31 현재,"545,173,563,689"
2020,Q4,BS,자본총계,2020.12.31 현재,"658,331,254,501"
2020,Q4,IS,매출액,2020.01.01 ~ 2020.12.31,1439205598
2020,Q4,IS,영업이익,2020.01.01 ~ 2020.12.31,-499868784
2020,Q4,IS,법인세차감전 순이익,2020.01.01 ~ 2020.12.31,4019051372
2020,Q4,IS,당기순이익,2020.01.01 ~ 2020.12.31,3798410043
2020,Q4,IS,당기순이익(손실),2020.01.01 ~ 2020.12.31,3798410043
