,name,sector,year,quarter,자본총계변화율,매출액변화율,이익잉여금변화율,Code
30,Kyungbang,Materials_&_Chemicals,2017,Q1,-0.0018172435021077682,0.07752464893045097,-0.0018528525817571584,000050
31,Chosun_Refractories,Materials_&_Chemicals,2017,Q1,0.0013545865858206607,0.03081658235551954,0.026091999267954802,000480
30,Youngpoong,Materials_&_Chemicals,2017,Q1,-0.019976726004732548,-0.044811913856212415,-0.02001396121182375,000670
30,Dongkuk_Steel,Materials_&_Chemicals,2017,Q1,-0.014253267551991744,-0.1427144843925221,-0.033524799050413945,001230
30,SeAH_Besteel,Materials_&_Chemicals,2017,Q1,0.006539352739820314,-0.1521958567248951,0.010068851522880173,001430
30,KIS_Wire,Materials_&_Chemicals,2017,Q1,-0.009076915924076223,0.11409545052656278,-0.00965032322928372,002240
30,KCC,Materials_&_Chemicals,2017,Q1,-0.009395888795514118,0.09665704410147802,0.01093788491599601,002380
30,SeAH_Steel,Materials_&_Chemicals,2017,Q1,-0.01242979787283005,-0.038914038459560096,-0.008893234401503802,003030
30,Ilshin_Spinning,Materials_&_Chemicals,2017,Q1,0.014012996342052553,-0.03639220149751665,0.013680179663432823,003200
30,Hanil_Cement,Materials_&_Chemicals,2017,Q1,0.006673519763493174,0.16746392158309653,0.0063019927753203975,003300
30,Ssangyong_Cement,Materials_&_Chemicals,2017,Q1,-0.0611770923647037,0.38640329868723866,-0.5376793536105042,003410
30,Samsung_Fine Chemicals,Materials_&_Chemicals,2017,Q1,-0.01570687287206418,-0.16040944361337695,-0.02765793759449031,004000
30,Hyundai_Steel,Materials_&_Chemicals,2017,Q1,-0.006192766954276729,0.023400403921830515,-0.019084597810078874,004020
30,POSCO_Holdings,Materials_&_Chemicals,2017,Q1,-0.009168333279070628,-0.0971444413634368,-0.008532069343835547,005490
31,Korea_Petrochemical_Ind,Materials_&_Chemicals,2017,Q1,-0.04135752623997124,0.0038278275966319164,-0.054633895332561355,006650
31,Kukdo_Chemical,Materials_&_Chemicals,2017,Q1,0.005858800231016259,-0.20716509040779973,0.006320525563557111,007690
30,Moorim_P&P,Materials_&_Chemicals,2017,Q1,-0.005368442109976446,0.03343509683289869,-0.011110489401291668,009580
30,Hanwha_Solutions,Materials_&_Chemicals,2017,Q1,-0.05096676931023825,-0.017497762716941256,-0.08108832170399083,009830
30,OCI,Materials_&_Chemicals,2017,Q1,-0.008217405675772671,0.002242912638893202,-0.00964460023921232,010060
30,Korea_Zinc,Materials_&_Chemicals,2017,Q1,-0.0010717916047593423,0.035278233258589586,0.0004894277021562088,010130
30,Lotte_Chemical,Materials_&_Chemicals,2017,Q1,-0.06983396349207438,-0.16647612737199546,-0.0527820021954859,011170
30,Kumho_Petrochemical,Materials_&_Chemicals,2017,Q1,-0.047230490472039754,-0.27762604541713376,-0.036864562615012364,011780
30,SKC,Materials_&_Chemicals,2017,Q1,0.014191587920097226,-0.14559257231135003,0.0024503515096414574,011790
31,Hansol_Chemical,Materials_&_Chemicals,2017,Q1,-0.016420439918770402,-0.12922838375349377,-0.027374119071937875,014680
30,Iljin_Materials,Materials_&_Chemicals,2017,Q1,-0.04628633346467437,-0.161391073567013,-0.19051711789141956,020150
30,Namhae_Chemical,Materials_&_Chemicals,2017,Q1,-0.015524894960166957,0.4284526627342504,-0.019886754283985564,025860
30,LG_Chem,Materials_&_Chemicals,2017,Q1,-0.06215779354187734,-0.13745583224828062,-0.00322368547630858,051910
30,Huchems,Materials_&_Chemicals,2017,Q1,-0.016442532995830206,-0.25061901495388694,-0.03652898260436954,069260
30,Huvis,Materials_&_Chemicals,2017,Q1,-0.07073055931748251,-1.0870468439519314,-0.23604585717981874,093370
30,Poongsan,Materials_&_Chemicals,2017,Q1,-0.015914254132118888,0.13122087762752166,-0.05986325352522592,103140
30,Korea_Steel,Materials_&_Chemicals,2017,Q1,0.0007843682747575853,0.11274451010152675,0.003814994382737469,104700
30,LG_Hausys,Materials_&_Chemicals,2017,Q1,0.005208327807420199,0.014860554858972308,0.01659106937894983,108670
30,Kolon_Industries,Materials_&_Chemicals,2017,Q1,-0.0008208288117856899,0.07197806059306755,0.004387821366869771,120110
