,name,sector,year,quarter,매출액변화율,자본총계변화율,비유동부채변화율,Code
3,S_hynix,Technology,2023,Q4,-0.2579098194766316,0.02274507169260276,0.02657288232389543,000660
4,Hansol_Technics,Technology,2023,Q4,0.2924388837234564,-0.012656543850652069,0.394149449133404,004710
4,Samsung_Electronics,Technology,2023,Q4,0.07099178253697103,0.00627855684382983,-0.005607177575007505,005930
4,Samsung_SDI,Technology,2023,Q4,0.0067606872154191144,-0.0025220319892858,0.039511698248709703,006400
3,Daeduck_Electronics,Technology,2023,Q4,-0.2767430892583238,-0.00616027322581747,0.3111796785165374,008060
4,Samsung_Electro-Mechanics,Technology,2023,Q4,0.0770085533471101,-0.0033022662405071124,-0.2277207966383954,009150
3,IS_Dongseo,Technology,2023,Q4,-0.2058628905960822,0.028536330766415152,-0.020472352577068476,010780
3,LG_Innotek,Technology,2023,Q4,-0.6049595488304413,-0.050748314088221225,0.07334114695637683,011070
4,Samsung_SDS,Technology,2023,Q4,-0.08335691900127218,-0.016646791997025012,0.041565605186125176,018260
3,LG_Display,Technology,2023,Q4,-0.46117175234772545,0.013568231978587808,0.09265601394164857,034220
3,NAVER_Corp,Technology,2023,Q4,-0.030568293587590167,-0.04488091595611565,0.0140283593764442,035420
3,NCSOFT,Technology,2023,Q4,-0.053708873159404424,-0.02706524746959338,0.011943363080861191,036570
3,Hanmi_Semiconductor,Technology,2023,Q4,-0.681147007689809,-0.08269667929981717,-0.2570767434661989,042700
3,LG_Electronics,Technology,2023,Q4,0.08899368129322027,0.08911310738334388,-0.025489748098778797,066570
